timestamp,timestamp_sample,pub_timestamp,device_id,x,y,z,temperature,error_count,publisher_id,clip_counter[0],clip_counter[1],clip_counter[2],samples
1771685523476000,1771685523476000,1771685523476000,1310988,0.010120012,0.0015978967,-0.008522116,0.0,0,25,0,0,0,1
1771685523480000,1771685523480000,1771685523480000,1310988,-0.0026631611,-0.0005326322,-0.0053263223,0.0,0,25,0,0,0,1
1771685523484000,1771685523484000,1771685523484000,1310988,0.0010652645,0.004261058,-0.002130529,0.0,0,25,0,0,0,1
1771685523488000,1771685523488000,1771685523488000,1310988,-0.0010652645,0.0026631611,0.007456851,0.0,0,25,0,0,0,1
1771685523492000,1771685523492000,1771685523492000,1310988,0.0005326322,0.0015978967,0.006924219,0.0,0,25,0,0,0,1
1771685523496000,1771685523496000,1771685523496000,1310988,0.010120012,-0.009054748,-0.008522116,0.0,0,25,0,0,0,1
1771685523500000,1771685523500000,1771685523500000,1310988,0.0037284256,-0.010652645,-0.0053263223,0.0,0,25,0,0,0,1
1771685523504000,1771685523504000,1771685523504000,1310988,0.0005326322,0.0031957934,0.012250541,0.0,0,25,0,0,0,1
1771685523508000,1771685523508000,1771685523508000,1310988,0.0005326322,0.006924219,0.0005326322,0.0,0,25,0,0,0,1
1771685523512000,1771685523512000,1771685523512000,1310988,0.0037284256,0.0026631611,-0.006924219,0.0,0,25,0,0,0,1
1771685523516000,1771685523516000,1771685523516000,1310988,0.009054748,0.0026631611,0.0063915867,0.0,0,25,0,0,0,1
1771685523520000,1771685523520000,1771685523520000,1310988,0.0058589545,0.0037284256,0.0053263223,0.0,0,25,0,0,0,1
1771685523524000,1771685523524000,1771685523524000,1310988,0.0010652645,-0.0026631611,0.0,0.0,0,25,0,0,0,1
1771685523528000,1771685523528000,1771685523528000,1310988,-0.0026631611,-0.0015978967,0.0031957934,0.0,0,25,0,0,0,1
1771685523532000,1771685523532000,1771685523532000,1310988,-0.006924219,0.015446335,0.0005326322,0.0,0,25,0,0,0,1
1771685523536000,1771685523536000,1771685523536000,1310988,-0.0058589545,0.0127831735,-0.0031957934,0.0,0,25,0,0,0,1
1771685523540000,1771685523540000,1771685523540000,1310988,0.013315806,-0.0015978967,0.007989483,0.0,0,25,0,0,0,1
1771685523544000,1771685523544000,1771685523544000,1310988,0.016511599,0.0058589545,0.011185277,0.0,0,25,0,0,0,1
1771685523548000,1771685523548000,1771685523548000,1310988,0.0058589545,0.006924219,-0.0010652645,0.0,0,25,0,0,0,1
1771685523552000,1771685523552000,1771685523552000,1310988,-0.0010652645,0.0015978967,0.0026631611,0.0,0,25,0,0,0,1
1771685523556000,1771685523556000,1771685523556000,1310988,-0.008522116,0.002130529,0.007989483,0.0,0,25,0,0,0,1
1771685523560000,1771685523560000,1771685523560000,1310988,-0.010120012,-0.00479369,0.008522116,0.0,0,25,0,0,0,1
1771685523564000,1771685523564000,1771685523564000,1310988,-0.0053263223,-0.0058589545,0.0026631611,0.0,0,25,0,0,0,1
1771685523568000,1771685523568000,1771685523568000,1310988,0.002130529,0.0,-0.0031957934,0.0,0,25,0,0,0,1
1771685523572000,1771685523572000,1771685523572000,1310988,-0.0058589545,0.0010652645,-0.0031957934,0.0,0,25,0,0,0,1
1771685523576000,1771685523576000,1771685523576000,1310988,-0.017576864,0.004261058,-0.00479369,0.0,0,25,0,0,0,1
1771685523580000,1771685523580000,1771685523580000,1310988,0.0015978967,0.004261058,0.0053263223,0.0,0,25,0,0,0,1
1771685523584000,1771685523584000,1771685523584000,1310988,0.018642128,0.0010652645,0.010120012,0.0,0,25,0,0,0,1
1771685523588000,1771685523588000,1771685523588000,1310988,-0.0005326322,0.0031957934,0.009054748,0.0,0,25,0,0,0,1
1771685523592000,1771685523592000,1771685523592000,1310988,0.0015978967,-0.0010652645,0.002130529,0.0,0,25,0,0,0,1
1771685523596000,1771685523596000,1771685523596000,1310988,0.010120012,0.0037284256,-0.011185277,0.0,0,25,0,0,0,1
1771685523600000,1771685523600000,1771685523600000,1310988,-0.002130529,0.014913702,-0.00479369,0.0,0,25,0,0,0,1
1771685523604000,1771685523604000,1771685523604000,1310988,-0.006924219,0.006924219,-0.004261058,0.0,0,25,0,0,0,1
1771685523608000,1771685523608000,1771685523608000,1310988,-0.004261058,-0.008522116,-0.006924219,0.0,0,25,0,0,0,1
1771685523612000,1771685523612000,1771685523612000,1310988,-0.0026631611,-0.00958738,0.0037284256,0.0,0,25,0,0,0,1
1771685523616000,1771685523616000,1771685523616000,1310988,-0.0026631611,0.008522116,0.013848438,0.0,0,25,0,0,0,1
1771685523620000,1771685523620000,1771685523620000,1310988,-0.00479369,0.010652645,0.0053263223,0.0,0,25,0,0,0,1
1771685523624000,1771685523624000,1771685523624000,1310988,-0.009054748,0.0010652645,-0.007989483,0.0,0,25,0,0,0,1
1771685523628000,1771685523628000,1771685523628000,1310988,0.0010652645,-0.0026631611,-0.0015978967,0.0,0,25,0,0,0,1
1771685523632000,1771685523632000,1771685523632000,1310988,-0.0037284256,0.0015978967,-0.0005326322,0.0,0,25,0,0,0,1
1771685523636000,1771685523636000,1771685523636000,1310988,-0.007456851,-0.0005326322,-0.007989483,0.0,0,25,0,0,0,1
1771685523640000,1771685523640000,1771685523640000,1310988,0.0015978967,-0.0063915867,-0.00479369,0.0,0,25,0,0,0,1
1771685523644000,1771685523644000,1771685523644000,1310988,-0.0015978967,-0.009054748,-0.00479369,0.0,0,25,0,0,0,1
1771685523648000,1771685523648000,1771685523648000,1310988,-0.0015978967,-0.004261058,-0.0058589545,0.0,0,25,0,0,0,1
1771685523652000,1771685523652000,1771685523652000,1310988,0.0,0.007456851,0.0015978967,0.0,0,25,0,0,0,1
1771685523656000,1771685523656000,1771685523656000,1310988,0.002130529,0.00479369,0.0005326322,0.0,0,25,0,0,0,1
1771685523660000,1771685523660000,1771685523660000,1310988,0.0053263223,0.0015978967,0.0026631611,0.0,0,25,0,0,0,1
1771685523664000,1771685523664000,1771685523664000,1310988,0.0,-0.0010652645,0.0010652645,0.0,0,25,0,0,0,1
1771685523668000,1771685523668000,1771685523668000,1310988,-0.0058589545,-0.014913702,0.0031957934,0.0,0,25,0,0,0,1
1771685523672000,1771685523672000,1771685523672000,1310988,0.0005326322,-0.013848438,-0.0015978967,0.0,0,25,0,0,0,1
1771685523676000,1771685523676000,1771685523676000,1310988,0.0063915867,-0.0053263223,-0.014913702,0.0,0,25,0,0,0,1
1771685523680000,1771685523680000,1771685523680000,1310988,0.010652645,-0.0010652645,-0.004261058,0.0,0,25,0,0,0,1
1771685523684000,1771685523684000,1771685523684000,1310988,0.006924219,0.011185277,0.0037284256,0.0,0,25,0,0,0,1
1771685523688000,1771685523688000,1771685523688000,1310988,-0.0026631611,0.010120012,0.004261058,0.0,0,25,0,0,0,1
1771685523692000,1771685523692000,1771685523692000,1310988,-0.0063915867,0.0026631611,0.0053263223,0.0,0,25,0,0,0,1
1771685523696000,1771685523696000,1771685523696000,1310988,-0.0026631611,-0.004261058,-0.0058589545,0.0,0,25,0,0,0,1
1771685523700000,1771685523700000,1771685523700000,1310988,-0.0015978967,-0.0015978967,-0.0037284256,0.0,0,25,0,0,0,1
1771685523704000,1771685523704000,1771685523704000,1310988,-0.0037284256,0.0053263223,0.0053263223,0.0,0,25,0,0,0,1
1771685523708000,1771685523708000,1771685523708000,1310988,-0.0026631611,0.0,0.006924219,0.0,0,25,0,0,0,1
1771685523712000,1771685523712000,1771685523712000,1310988,-0.0053263223,-0.0015978967,0.004261058,0.0,0,25,0,0,0,1
1771685523716000,1771685523716000,1771685523716000,1310988,0.0037284256,-0.0010652645,-0.011185277,0.0,0,25,0,0,0,1
1771685523720000,1771685523720000,1771685523720000,1310988,0.00958738,-0.0053263223,-0.016511599,0.0,0,25,0,0,0,1
1771685523724000,1771685523724000,1771685523724000,1310988,-0.0005326322,-0.0026631611,-0.007989483,0.0,0,25,0,0,0,1
1771685523728000,1771685523728000,1771685523728000,1310988,-0.007456851,-0.004261058,-0.004261058,0.0,0,25,0,0,0,1
1771685523732000,1771685523732000,1771685523732000,1310988,-0.0058589545,0.004261058,-0.007456851,0.0,0,25,0,0,0,1
1771685523736000,1771685523736000,1771685523736000,1310988,-0.0058589545,0.015978966,-0.0026631611,0.0,0,25,0,0,0,1
1771685523740000,1771685523740000,1771685523740000,1310988,-0.008522116,0.007989483,0.004261058,0.0,0,25,0,0,0,1
1771685523744000,1771685523744000,1771685523744000,1310988,-0.009054748,0.0005326322,0.0010652645,0.0,0,25,0,0,0,1
1771685523748000,1771685523748000,1771685523748000,1310988,-0.004261058,-0.004261058,-0.002130529,0.0,0,25,0,0,0,1
1771685523752000,1771685523752000,1771685523752000,1310988,0.0031957934,-0.01438107,0.0,0.0,0,25,0,0,0,1
1771685523756000,1771685523756000,1771685523756000,1310988,-0.0037284256,-0.012250541,0.0005326322,0.0,0,25,0,0,0,1
1771685523760000,1771685523760000,1771685523760000,1310988,-0.0058589545,-0.0026631611,-0.0010652645,0.0,0,25,0,0,0,1
1771685523764000,1771685523764000,1771685523764000,1310988,-0.0015978967,-0.0005326322,-0.002130529,0.0,0,25,0,0,0,1
1771685523768000,1771685523768000,1771685523768000,1310988,0.0005326322,-0.002130529,0.0053263223,0.0,0,25,0,0,0,1
1771685523772000,1771685523772000,1771685523772000,1310988,-0.0010652645,0.008522116,0.00479369,0.0,0,25,0,0,0,1
1771685523776000,1771685523776000,1771685523776000,1310988,-0.006924219,0.0127831735,-0.008522116,0.0,0,25,0,0,0,1
1771685523780000,1771685523780000,1771685523780000,1310988,0.0015978967,-0.0037284256,-0.007456851,0.0,0,25,0,0,0,1
1771685523784000,1771685523784000,1771685523784000,1310988,0.006924219,-0.0015978967,-0.008522116,0.0,0,25,0,0,0,1
1771685523788000,1771685523788000,1771685523788000,1310988,0.007989483,0.004261058,-0.007456851,0.0,0,25,0,0,0,1
1771685523792000,1771685523792000,1771685523792000,1310988,0.0026631611,-0.0015978967,-0.0031957934,0.0,0,25,0,0,0,1
1771685523796000,1771685523796000,1771685523796000,1310988,-0.00958738,0.0063915867,-0.0031957934,0.0,0,25,0,0,0,1
1771685523800000,1771685523800000,1771685523800000,1310988,-0.0063915867,0.010652645,0.0058589545,0.0,0,25,0,0,0,1
1771685523804000,1771685523804000,1771685523804000,1310988,0.002130529,0.0031957934,0.010120012,0.0,0,25,0,0,0,1
1771685523808000,1771685523808000,1771685523808000,1310988,0.0026631611,-0.0010652645,0.0037284256,0.0,0,25,0,0,0,1
1771685523812000,1771685523812000,1771685523812000,1310988,0.0026631611,0.00479369,-0.0010652645,0.0,0,25,0,0,0,1
1771685523816000,1771685523816000,1771685523816000,1310988,-0.0026631611,0.011185277,0.00958738,0.0,0,25,0,0,0,1
1771685523820000,1771685523820000,1771685523820000,1310988,-0.004261058,0.006924219,0.012250541,0.0,0,25,0,0,0,1
1771685523824000,1771685523824000,1771685523824000,1310988,0.007456851,0.0063915867,-0.0031957934,0.0,0,25,0,0,0,1
1771685523828000,1771685523828000,1771685523828000,1310988,0.002130529,0.0005326322,0.00479369,0.0,0,25,0,0,0,1
1771685523832000,1771685523832000,1771685523832000,1310988,-0.00479369,-0.0127831735,0.013848438,0.0,0,25,0,0,0,1
1771685523836000,1771685523836000,1771685523836000,1310988,-0.00479369,-0.0127831735,0.009054748,0.0,0,25,0,0,0,1
1771685523840000,1771685523840000,1771685523840000,1310988,-0.0037284256,-0.0031957934,-0.0037284256,0.0,0,25,0,0,0,1
1771685523844000,1771685523844000,1771685523844000,1310988,0.0010652645,0.0031957934,-0.018109497,0.0,0,25,0,0,0,1
1771685523848000,1771685523848000,1771685523848000,1310988,0.0010652645,0.008522116,-0.0053263223,0.0,0,25,0,0,0,1
1771685523852000,1771685523852000,1771685523852000,1310988,0.008522116,0.010120012,0.007989483,0.0,0,25,0,0,0,1
1771685523856000,1771685523856000,1771685523856000,1310988,0.008522116,0.011185277,-0.0010652645,0.0,0,25,0,0,0,1
1771685523860000,1771685523860000,1771685523860000,1310988,0.0026631611,0.0,-0.0026631611,0.0,0,25,0,0,0,1
1771685523864000,1771685523864000,1771685523864000,1310988,0.0031957934,-0.0053263223,-0.0005326322,0.0,0,25,0,0,0,1
1771685523868000,1771685523868000,1771685523868000,1310988,0.0053263223,0.007456851,-0.009054748,0.0,0,25,0,0,0,1
1771685523872000,1771685523872000,1771685523872000,1310988,0.0,0.009054748,-0.0005326322,0.0,0,25,0,0,0,1
1771685523876000,1771685523876000,1771685523876000,1310988,-0.004261058,0.0010652645,0.0010652645,0.0,0,25,0,0,0,1
1771685523880000,1771685523880000,1771685523880000,1310988,0.0010652645,-0.002130529,-0.004261058,0.0,0,25,0,0,0,1
1771685523884000,1771685523884000,1771685523884000,1310988,0.0058589545,0.004261058,0.0058589545,0.0,0,25,0,0,0,1
1771685523888000,1771685523888000,1771685523888000,1310988,0.0063915867,0.0,0.0037284256,0.0,0,25,0,0,0,1
1771685523892000,1771685523892000,1771685523892000,1310988,0.011185277,-0.002130529,-0.0058589545,0.0,0,25,0,0,0,1
1771685523896000,1771685523896000,1771685523896000,1310988,0.014913702,0.0037284256,-0.00958738,0.0,0,25,0,0,0,1
1771685523900000,1771685523900000,1771685523900000,1310988,0.0,0.00479369,-0.007456851,0.0,0,25,0,0,0,1
1771685523904000,1771685523904000,1771685523904000,1310988,0.0005326322,-0.0037284256,-0.002130529,0.0,0,25,0,0,0,1
1771685523908000,1771685523908000,1771685523908000,1310988,-0.0015978967,-0.01438107,0.0063915867,0.0,0,25,0,0,0,1
1771685523912000,1771685523912000,1771685523912000,1310988,-0.0063915867,-0.010652645,0.010652645,0.0,0,25,0,0,0,1
1771685523916000,1771685523916000,1771685523916000,1310988,-0.0010652645,-0.00958738,-0.0015978967,0.0,0,25,0,0,0,1
1771685523920000,1771685523920000,1771685523920000,1310988,-0.008522116,-0.0063915867,-0.0037284256,0.0,0,25,0,0,0,1
1771685523924000,1771685523924000,1771685523924000,1310988,-0.0063915867,0.0026631611,0.0015978967,0.0,0,25,0,0,0,1
1771685523928000,1771685523928000,1771685523928000,1310988,-0.0005326322,-0.0005326322,0.011185277,0.0,0,25,0,0,0,1
1771685523932000,1771685523932000,1771685523932000,1310988,-0.0026631611,-0.004261058,0.012250541,0.0,0,25,0,0,0,1
