timestamp,timestamp_sample,pub_timestamp,time_last_fuse,device_id,observation,observation_variance,innovation,innovation_filtered,innovation_variance,test_ratio,test_ratio_filtered,publisher_id,estimator_instance,innovation_rejected,fused
1771685525140000,1771685524986000,0,1771685524988000,0,-487.994,0.5625,0.008636475,0.027738819,0.57547694,5.184478e-06,7.538775e-05,0,0,0,1
1771685525196000,1771685525038000,0,1771685525044000,0,-487.987,0.5625,0.0007324219,0.025194738,0.575506,3.728488e-08,6.828951e-05,0,0,0,1
1771685525244000,1771685525090000,0,1771685525092000,0,-487.991,0.5625,0.004119873,0.023209425,0.57547694,1.1797764e-06,6.196758e-05,0,0,0,1
1771685525300000,1771685525142000,0,1771685525148000,0,-487.999,0.5625,0.011199951,0.022078097,0.575506,8.718513e-06,5.695136e-05,0,0,0,1
1771685525348000,1771685525194000,0,1771685525196000,0,-487.999,0.5625,0.010253906,0.020964224,0.57547694,7.3082056e-06,5.227483e-05,0,0,0,1
1771685525404000,1771685525246000,0,1771685525252000,0,-488.012,0.5625,0.022155762,0.02107647,0.575506,3.4117995e-05,5.0564406e-05,0,0,0,1
1771685525452000,1771685525298000,0,1771685525300000,0,-488.009,0.5625,0.018005371,0.020787165,0.57547694,2.2533892e-05,4.792385e-05,0,0,0,1
1771685525508000,1771685525350000,0,1771685525356000,0,-488.014,0.5625,0.021606445,0.020864343,0.575506,3.244717e-05,4.6465902e-05,0,0,0,1
1771685525556000,1771685525402000,0,1771685525404000,0,-488.009,0.5625,0.015319824,0.020342033,0.57547694,1.6313217e-05,4.362543e-05,0,0,0,1
1771685525612000,1771685525454000,0,1771685525460000,0,-487.999,0.5625,0.004119873,0.01881386,0.575506,1.179717e-06,3.962692e-05,0,0,0,1
1771685525660000,1771685525506000,0,1771685525508000,0,-487.993,0.5625,-0.0026245117,0.016794303,0.57547694,4.787724e-07,3.5848847e-05,0,0,0,1
1771685525716000,1771685525558000,0,1771685525564000,0,-487.999,0.5625,0.0025634766,0.015453719,0.575506,4.567398e-07,3.2514807e-05,0,0,0,1
1771685525764000,1771685525610000,0,1771685525612000,0,-488.009,0.5625,0.01184082,0.015113373,0.57547694,9.745309e-06,3.0369854e-05,0,0,0,1
1771685525820000,1771685525662000,0,1771685525668000,0,-487.994,0.5625,-0.0043945312,0.013275672,0.575506,1.3422557e-06,2.738248e-05,0,0,0,1
1771685525868000,1771685525714000,0,1771685525716000,0,-487.987,0.5625,-0.012054443,0.010889501,0.57547694,1.0100116e-05,2.3851511e-05,0,0,0,1
1771685525924000,1771685525766000,0,1771685525772000,0,-487.989,0.5625,-0.010803223,0.008845984,0.575506,8.111792e-06,2.0840474e-05,0,0,0,1
1771685525972000,1771685525818000,0,1771685525820000,0,-487.988,0.5625,-0.012298584,0.006854104,0.57547694,1.0513378e-05,1.788685e-05,0,0,0,1
1771685526028000,1771685525870000,0,1771685525876000,0,-487.992,0.5625,-0.009063721,0.0053545986,0.575506,5.70983e-06,1.5663974e-05,0,0,0,1
1771685526076000,1771685525922000,0,1771685525924000,0,-487.996,0.5625,-0.0056762695,0.0043154587,0.57547694,2.2395361e-06,1.3977412e-05,0,0,0,1
1771685526132000,1771685525974000,0,1771685525980000,0,-488.004,0.5625,0.0014038086,0.0040411726,0.575506,1.3697016e-07,1.2673602e-05,0,0,0,1
1771685526180000,1771685526026000,0,1771685526028000,0,-488.007,0.5625,0.0036621094,0.004005464,0.57547694,9.3216903e-07,1.1567525e-05,0,0,0,1
1771685526236000,1771685526078000,0,1771685526084000,0,-488.017,0.5625,0.012573242,0.0048125735,0.575506,1.0987647e-05,1.1512899e-05,0,0,0,1
1771685526284000,1771685526130000,0,1771685526132000,0,-488.013,0.5625,0.0074768066,0.005063552,0.57547694,3.885656e-06,1.0794391e-05,0,0,0,1
1771685526340000,1771685526182000,0,1771685526188000,0,-488.014,0.5625,0.0072631836,0.0052707638,0.575506,3.6666056e-06,1.01229325e-05,0,0,0,1
1771685526388000,1771685526234000,0,1771685526236000,0,-488.014,0.5625,0.0063476562,0.00537221,0.57547694,2.80065e-06,9.433152e-06,0,0,0,1
1771685526444000,1771685526286000,0,1771685526292000,0,-488.024,0.5625,0.015319824,0.0063093044,0.575506,1.6312395e-05,1.0081197e-05,0,0,0,1
1771685526492000,1771685526338000,0,1771685526340000,0,-488.019,0.5625,0.009338379,0.006594652,0.57547694,6.0614293e-06,9.702523e-06,0,0,0,1
1771685526548000,1771685526390000,0,1771685526396000,0,-488.014,0.5625,0.0031738281,0.0062724003,0.575506,7.001272e-07,8.854471e-06,0,0,0,1
1771685526596000,1771685526442000,0,1771685526444000,0,-487.996,0.5625,-0.015563965,0.0042153513,0.57547694,1.6837303e-05,6.434231e-06,0,0,0,1
1771685526652000,1771685526494000,0,1771685526500000,0,-487.996,0.5625,-0.016113281,0.002300335,0.575506,1.8045883e-05,4.1281332e-06,0,0,0,1
1771685526700000,1771685526546000,0,1771685526548000,0,-487.992,0.5625,-0.020568848,0.00014599157,0.57547694,2.9407085e-05,9.690182e-07,0,0,0,1
1771685526756000,1771685526598000,0,1771685526604000,0,-487.995,0.5625,-0.018127441,-0.001575419,0.575506,2.283932e-05,-1.2737964e-06,0,0,0,1
1771685526804000,1771685526650000,0,1771685526652000,0,-487.997,0.5625,-0.016540527,-0.0029851757,0.57547694,1.9016508e-05,-2.9452115e-06,0,0,0,1
1771685526860000,1771685526702000,0,1771685526708000,0,-487.995,0.5625,-0.019226074,-0.0045151156,0.575506,2.5691614e-05,-5.087989e-06,0,0,0,1
1771685526908000,1771685526754000,0,1771685526756000,0,-487.998,0.5625,-0.016571045,-0.0056508193,0.57547694,1.9086743e-05,-6.406712e-06,0,0,0,1
1771685526964000,1771685526806000,0,1771685526812000,0,-488.01,0.5625,-0.0052490234,-0.005612969,0.575506,1.914993e-06,-5.9835793e-06,0,0,0,1
1771685527012000,1771685526858000,0,1771685526860000,0,-488.011,0.5625,-0.00491333,-0.005547061,0.57547694,1.6779691e-06,-5.5779783e-06,0,0,0,1
1771685527068000,1771685526910000,0,1771685526916000,0,-488.016,0.5625,-0.00064086914,-0.0050848834,0.575506,2.8546237e-08,-5.0552057e-06,0,0,0,1
1771685527116000,1771685526962000,0,1771685526964000,0,-488.01,0.5625,-0.007293701,-0.0052929604,0.57547694,3.6976687e-06,-4.9273217e-06,0,0,0,1
1771685527172000,1771685527014000,0,1771685527020000,0,-488.013,0.5625,-0.005004883,-0.0052658226,0.575506,1.7409968e-06,-4.6271607e-06,0,0,0,1
1771685527220000,1771685527066000,0,1771685527068000,0,-487.998,0.5625,-0.020568848,-0.006707412,0.57547694,2.9407085e-05,-6.9615016e-06,0,0,0,1
1771685527276000,1771685527118000,0,1771685527124000,0,-487.995,0.5625,-0.023986816,-0.008335182,0.575506,3.9990366e-05,-1.0072917e-05,0,0,0,1
1771685527324000,1771685527170000,0,1771685527172000,0,-487.997,0.5625,-0.022338867,-0.00965437,0.57547694,3.468601e-05,-1.23915415e-05,0,0,0,1
1771685527380000,1771685527222000,0,1771685527228000,0,-488.004,0.5625,-0.016540527,-0.010303066,0.575506,1.9015548e-05,-1.3015542e-05,0,0,0,1
1771685527428000,1771685527274000,0,1771685527276000,0,-488.004,0.5625,-0.018554688,-0.011080393,0.57547694,2.3929815e-05,-1.4043699e-05,0,0,0,1
