timestamp,pub_timestamp,publisher_id,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
1771685522468000,1771685522468000,60,0,1,1,1,1,1,1,0,0,0,1,1
1771685523468000,1771685523468000,60,0,1,1,1,1,1,1,0,0,0,1,1
1771685524468000,1771685524468000,60,0,1,1,1,1,1,1,0,0,0,1,1
1771685525148000,1771685525148000,60,0,1,0,0,1,1,1,0,0,0,1,0
1771685525244000,1771685525244000,60,0,0,0,0,1,0,1,0,0,0,1,0
1771685526244000,1771685526244000,60,0,0,0,0,1,0,0,0,0,0,1,0
1771685527244000,1771685527244000,60,0,0,0,0,1,0,0,0,0,0,1,0
1771685527340000,1771685527340000,60,0,0,0,0,0,0,0,0,0,0,1,0
1771685528340000,1771685528340000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771685529340000,1771685529340000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771685530340000,1771685530340000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771685531340000,1771685531340000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771685532340000,1771685532340000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771685533340000,1771685533340000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771685534340000,1771685534340000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771685535340000,1771685535340000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771685536340000,1771685536340000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771685537340000,1771685537340000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771685538340000,1771685538340000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771685539340000,1771685539340000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771685540340000,1771685540340000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771685541340000,1771685541340000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771685542340000,1771685542340000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771685543340000,1771685543340000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771685544340000,1771685544340000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771685545340000,1771685545340000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771685546340000,1771685546340000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771685547340000,1771685547340000,60,0,0,0,0,0,0,0,1,0,0,1,0
