timestamp,pub_timestamp,control_power[0],control_power[1],control_power[2],publisher_id
1771685523268000,1771685523268000,4.2389424e-06,4.0918544e-06,2.412685e-07,39
1771685523768000,1771685523768000,3.5018477e-06,4.024237e-06,1.2700816e-07,39
1771685524268000,1771685524268000,2.9541372e-06,4.426486e-06,4.6756075e-08,39
1771685524768000,1771685524768000,1.1521535e-05,6.2746944e-06,1.4173702e-07,39
1771685525268000,1771685525268000,1.6328546e-05,8.239997e-06,3.737303e-07,39
1771685525768000,1771685525768000,3.623424e-05,1.8889852e-05,3.4229467e-07,39
1771685526268000,1771685526268000,6.116045e-05,2.384587e-05,3.141614e-07,39
1771685526768000,1771685526768000,9.9504214e-05,3.9946997e-05,2.1509793e-07,39
1771685527268000,1771685527268000,9.662085e-05,3.623534e-05,7.058488e-08,39
1771685527768000,1771685527768000,1.07449605e-05,5.9806407e-06,7.8416186e-08,39
1771685528268000,1771685528268000,8.81352e-06,1.0912167e-05,1.0483747e-07,39
1771685528768000,1771685528768000,4.311651e-06,7.2440776e-06,1.1612752e-07,39
1771685529268000,1771685529268000,4.7169997e-06,1.0385877e-05,4.4538023e-08,39
1771685529768000,1771685529768000,5.4863617e-06,8.963318e-06,1.19058164e-07,39
1771685530268000,1771685530268000,5.398814e-06,1.3239916e-05,1.3590932e-07,39
1771685530768000,1771685530768000,4.685968e-06,1.0126919e-05,1.0169003e-07,39
1771685531268000,1771685531268000,3.5507242e-06,8.075377e-06,2.4564514e-07,39
1771685531768000,1771685531768000,4.1299954e-06,1.1199967e-05,6.85853e-08,39
1771685532268000,1771685532268000,4.6532755e-06,9.490816e-06,1.8891726e-07,39
1771685532768000,1771685532768000,3.6348085e-06,7.70595e-06,2.181013e-07,39
1771685533268000,1771685533268000,4.794758e-06,8.284702e-06,6.4826345e-08,39
1771685533768000,1771685533768000,5.4353704e-06,5.6301233e-06,1.5081127e-07,39
1771685534268000,1771685534268000,4.2468473e-06,2.2614031e-05,2.407686e-07,39
1771685534768000,1771685534768000,8.079335e-06,1.0435224e-05,1.9135643e-07,39
1771685535268000,1771685535268000,5.869443e-06,9.912228e-06,7.6579006e-08,39
1771685535768000,1771685535768000,6.2345894e-06,1.1527328e-05,8.254739e-08,39
1771685536268000,1771685536268000,3.4950854e-06,3.9629535e-06,3.1505567e-07,39
1771685536768000,1771685536768000,6.26709e-06,1.3848001e-05,2.901593e-07,39
1771685537268000,1771685537268000,3.41042e-06,8.573417e-06,6.643596e-08,39
1771685537768000,1771685537768000,5.1377465e-06,1.0003192e-05,4.170817e-08,39
1771685538268000,1771685538268000,8.1343815e-06,6.2438016e-06,2.475647e-07,39
1771685538768000,1771685538768000,4.4670605e-06,1.4274079e-05,3.0170946e-07,39
1771685539268000,1771685539268000,8.526099e-06,4.601642e-06,1.9835315e-07,39
1771685539768000,1771685539768000,5.802393e-06,8.409065e-06,1.5560607e-07,39
1771685540268000,1771685540268000,4.805292e-06,5.1131733e-06,4.262113e-08,39
1771685540768000,1771685540768000,4.3432215e-06,5.788564e-06,2.0590063e-07,39
1771685541268000,1771685541268000,3.843698e-06,1.0715645e-05,3.4161252e-07,39
1771685541768000,1771685541768000,5.850809e-06,7.1923196e-06,2.4973156e-07,39
1771685542268000,1771685542268000,8.934693e-06,6.595981e-06,3.1305026e-07,39
1771685542768000,1771685542768000,3.81742e-06,3.2195876e-05,2.9368465e-07,39
1771685543268000,1771685543268000,6.6885095e-06,1.3697091e-05,9.728451e-08,39
1771685543768000,1771685543768000,6.753651e-06,9.11641e-06,2.31671e-07,39
1771685544268000,1771685544268000,3.6813917e-06,8.226596e-06,7.1516425e-08,39
1771685544768000,1771685544768000,4.547127e-06,1.2939167e-05,3.5133803e-07,39
1771685545268000,1771685545268000,7.192798e-06,6.145485e-06,3.7195207e-07,39
1771685545768000,1771685545768000,4.4011563e-06,7.317211e-06,5.661264e-07,39
1771685546268000,1771685546268000,3.3283425e-06,7.5044e-06,9.972348e-08,39
1771685546768000,1771685546768000,3.3324602e-06,8.201672e-06,3.6843332e-07,39
1771685547268000,1771685547268000,5.2575433e-06,6.41676e-06,2.0625883e-07,39
1771685547768000,1771685547768000,7.1248455e-06,6.078422e-06,1.035176e-07,39
1771685548268000,1771685548268000,4.211737e-06,8.240642e-06,6.284806e-08,39
1771685548768000,1771685548768000,3.623345e-06,3.9746838e-06,4.567856e-08,39
1771685549268000,1771685549268000,6.12735e-06,6.5954114e-06,1.8315447e-07,39
1771685549768000,1771685549768000,4.2660863e-06,6.9793964e-06,2.0441178e-07,39
1771685550268000,1771685550268000,4.9846067e-06,1.0329674e-05,6.64514e-08,39
1771685550768000,1771685550768000,4.8089237e-06,3.1234808e-06,3.7857703e-08,39
1771685551268000,1771685551268000,7.2775874e-06,5.6597432e-06,2.3748377e-07,39
1771685551768000,1771685551768000,4.7981775e-06,1.7030694e-05,4.298463e-08,39
1771685552268000,1771685552268000,6.3903026e-06,7.556024e-06,1.0355904e-07,39
1771685552768000,1771685552768000,5.634843e-06,5.4809184e-06,6.435059e-08,39
1771685553268000,1771685553268000,6.8575355e-06,6.372341e-06,1.3994833e-07,39
1771685553768000,1771685553768000,3.1341033e-06,1.28589945e-05,1.4367248e-07,39
1771685554268000,1771685554268000,6.820153e-06,9.5118e-06,1.2743139e-07,39
1771685554768000,1771685554768000,3.401848e-06,1.0863432e-05,2.1825119e-07,39
1771685555268000,1771685555268000,5.6131807e-06,5.4186894e-06,2.329563e-07,39
