timestamp,pub_timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,publisher_id,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,open_drone_id_system_healthy,parachute_system_healthy
1771685522908000,0,4e+06,1.0,17289.842,0.0,225035,0,41.832672,646,0,0,0,0,0.0,0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685523884000,0,4e+06,1.0,17179.283,0.0,225410,0,46.81275,647,0,0,0,0,0.0,0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685524880000,0,4e+06,1.0,17705.18,0.0,225789,0,20.916336,648,0,0,0,0,0.0,0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685525884000,0,4e+06,1.0,17169.322,0.0,226166,0,20.916336,649,0,0,0,0,0.0,0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685526828000,0,4e+06,1.0,17279.88,0.0,226522,0,20.916336,650,0,0,0,0,0.0,0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685527756000,0,4e+06,1.0,17316.734,0.0,226870,0,20.916336,651,0,0,0,0,0.0,0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685528740000,0,4e+06,1.0,17124.502,0.0,227240,0,20.916336,652,0,0,0,0,0.0,0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685529736000,0,4e+06,1.0,17236.057,0.0,227613,0,20.916336,653,0,0,0,0,0.0,0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685530732000,0,4e+06,1.0,17134.463,0.0,227987,0,20.916336,654,0,0,0,0,0.0,0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685531728000,0,4e+06,1.0,17279.88,0.0,228358,0,20.916336,655,0,0,0,0,0.0,0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685532728000,0,4e+06,1.0,17215.14,0.0,228737,0,20.916336,657,0,0,0,0,0.0,0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685533728000,0,4e+06,1.0,17278.885,0.0,229110,0,46.81275,658,0,0,0,0,0.0,0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685534728000,0,4e+06,1.0,17147.41,0.0,229486,0,20.916336,658,0,0,0,0,0.0,0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685534732000,0,4e+06,1.0,17147.41,0.0,229488,0,20.916336,659,0,0,0,0,0.0,0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685535724000,0,4e+06,1.0,17173.307,0.0,229861,0,20.916336,660,0,0,0,0,0.0,0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685536708000,0,4e+06,1.0,17204.184,0.0,230230,0,20.916336,661,0,0,0,0,0.0,0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685537708000,0,4e+06,1.0,17303.785,0.0,230603,0,20.916336,662,0,0,0,0,0.0,0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685538700000,0,4e+06,1.0,17124.502,0.0,230979,0,20.916336,663,0,0,0,0,0.0,0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
