timestamp,pub_timestamp,defer_failsafes_timeout_s,publisher_id,disable_auto_disarm,defer_failsafes,source_type,source_id
1771685523304000,1771685523304000,0,93,0,0,0,0
1771685523316000,1771685523316000,0,93,0,0,0,0
1771685523328000,1771685523328000,0,93,0,0,0,0
1771685523328000,1771685523328000,0,93,0,0,0,0
1771685523340000,1771685523340000,0,93,0,0,0,0
1771685523352000,1771685523352000,0,93,0,0,0,0
1771685523364000,1771685523364000,0,93,0,0,0,0
1771685523376000,1771685523376000,0,93,0,0,0,0
1771685523388000,1771685523388000,0,93,0,0,0,0
1771685523400000,1771685523400000,0,93,0,0,0,0
1771685523412000,1771685523412000,0,93,0,0,0,0
1771685523424000,1771685523424000,0,93,0,0,0,0
1771685523436000,1771685523436000,0,93,0,0,0,0
1771685523448000,1771685523448000,0,93,0,0,0,0
1771685523460000,1771685523460000,0,93,0,0,0,0
1771685523472000,1771685523472000,0,93,0,0,0,0
1771685523484000,1771685523484000,0,93,0,0,0,0
1771685523496000,1771685523496000,0,93,0,0,0,0
1771685523508000,1771685523508000,0,93,0,0,0,0
1771685523520000,1771685523520000,0,93,0,0,0,0
1771685523532000,1771685523532000,0,93,0,0,0,0
1771685523544000,1771685523544000,0,93,0,0,0,0
1771685523556000,1771685523556000,0,93,0,0,0,0
1771685523568000,1771685523568000,0,93,0,0,0,0
1771685523580000,1771685523580000,0,93,0,0,0,0
1771685523592000,1771685523592000,0,93,0,0,0,0
1771685523604000,1771685523604000,0,93,0,0,0,0
1771685523616000,1771685523616000,0,93,0,0,0,0
1771685523628000,1771685523628000,0,93,0,0,0,0
1771685523640000,1771685523640000,0,93,0,0,0,0
1771685523652000,1771685523652000,0,93,0,0,0,0
1771685523664000,1771685523664000,0,93,0,0,0,0
1771685523676000,1771685523676000,0,93,0,0,0,0
1771685523688000,1771685523688000,0,93,0,0,0,0
1771685523700000,1771685523700000,0,93,0,0,0,0
1771685523712000,1771685523712000,0,93,0,0,0,0
1771685523724000,1771685523724000,0,93,0,0,0,0
1771685523736000,1771685523736000,0,93,0,0,0,0
1771685523748000,1771685523748000,0,93,0,0,0,0
1771685523760000,1771685523760000,0,93,0,0,0,0
1771685523772000,1771685523772000,0,93,0,0,0,0
1771685523784000,1771685523784000,0,93,0,0,0,0
1771685523796000,1771685523796000,0,93,0,0,0,0
1771685523808000,1771685523808000,0,93,0,0,0,0
1771685523820000,1771685523820000,0,93,0,0,0,0
1771685523832000,1771685523832000,0,93,0,0,0,0
1771685523844000,1771685523844000,0,93,0,0,0,0
1771685523856000,1771685523856000,0,93,0,0,0,0
1771685523868000,1771685523868000,0,93,0,0,0,0
1771685523880000,1771685523880000,0,93,0,0,0,0
1771685523892000,1771685523892000,0,93,0,0,0,0
1771685523904000,1771685523904000,0,93,0,0,0,0
1771685523916000,1771685523916000,0,93,0,0,0,0
1771685523928000,1771685523928000,0,93,0,0,0,0
1771685523940000,1771685523940000,0,93,0,0,0,0
1771685523952000,1771685523952000,0,93,0,0,0,0
1771685523964000,1771685523964000,0,93,0,0,0,0
1771685523976000,1771685523976000,0,93,0,0,0,0
1771685523988000,1771685523988000,0,93,0,0,0,0
1771685524000000,1771685524000000,0,93,0,0,0,0
1771685524012000,1771685524012000,0,93,0,0,0,0
1771685524024000,1771685524024000,0,93,0,0,0,0
1771685524036000,1771685524036000,0,93,0,0,0,0
1771685524048000,1771685524048000,0,93,0,0,0,0
1771685524060000,1771685524060000,0,93,0,0,0,0
1771685524072000,1771685524072000,0,93,0,0,0,0
1771685524084000,1771685524084000,0,93,0,0,0,0
1771685524096000,1771685524096000,0,93,0,0,0,0
1771685524108000,1771685524108000,0,93,0,0,0,0
1771685524120000,1771685524120000,0,93,0,0,0,0
1771685524132000,1771685524132000,0,93,0,0,0,0
1771685524144000,1771685524144000,0,93,0,0,0,0
1771685524156000,1771685524156000,0,93,0,0,0,0
1771685524168000,1771685524168000,0,93,0,0,0,0
1771685524180000,1771685524180000,0,93,0,0,0,0
1771685524192000,1771685524192000,0,93,0,0,0,0
1771685524204000,1771685524204000,0,93,0,0,0,0
1771685524216000,1771685524216000,0,93,0,0,0,0
