timestamp,pub_timestamp,id,event_sequence,publisher_id,arguments[0],arguments[1],arguments[2],arguments[3],arguments[4],arguments[5],arguments[6],arguments[7],arguments[8],arguments[9],arguments[10],arguments[11],arguments[12],arguments[13],arguments[14],arguments[15],arguments[16],arguments[17],arguments[18],arguments[19],arguments[20],arguments[21],arguments[22],arguments[23],arguments[24],log_levels
1771685521852000,1771685521852000,27825120,95,0,0,0,0,16,0,128,0,0,0,176,59,127,128,176,59,127,128,0,0,0,0,0,0,0,0,136
1771685521852000,1771685521852000,17154777,96,0,8,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
1771685521852000,1771685521852000,19865031,97,0,0,64,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
1771685521852000,1771685521852000,17231145,98,0,255,255,255,255,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
1771685521852000,1771685521852000,18691879,99,0,0,10,29,2,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136
1771685523328000,1771685523328000,26266355,100,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
1771685523332000,1771685523332000,17980399,101,0,234,7,2,21,14,52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
1771685523352000,1771685523352000,32375217,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
1771685523352000,1771685523352000,24986204,103,0,12,23,171,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
1771685523892000,1771685523892000,27825120,104,0,0,0,0,16,0,128,0,0,0,184,59,127,128,184,59,127,128,0,0,0,0,0,0,0,0,136
1771685523892000,1771685523892000,19865031,105,0,0,64,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
1771685523892000,1771685523892000,17231145,106,0,255,255,255,255,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
1771685523892000,1771685523892000,18691879,107,0,0,10,29,2,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136
1771685525152000,1771685525152000,21054825,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
1771685627164000,1771685627164000,22161044,109,0,62,2,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
1771685652516000,1771685652516000,16962474,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
1771685718820000,1771685718820000,26622124,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
1771685720824000,1771685720824000,32794487,112,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
