timestamp,pub_timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,publisher_id,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
1771685523328000,1771685523328000,-0.00030568242,-0.00040161877,0.00064851844,0.0,0.0,-1.1641532e-10,0,27,1,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685523336000,1771685523336000,0.0010885466,0.00021552225,0.00053902855,0.0,0.0,0.0,0,27,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1771685523344000,1771685523344000,-0.00041817204,0.0,0.00042283337,0.0,0.0,-1.1641532e-10,0,27,1,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685523352000,1771685523352000,-0.0005697513,0.0012405821,0.00028255957,0.0,0.0,0.0,0,27,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1771685523360000,1771685523360000,4.77134e-05,2.910383e-11,0.00021434412,0.0,0.0,-1.1641532e-10,0,27,1,1,0,0,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1771685523368000,1771685523368000,0.001894328,1.1641532e-10,8.731149e-11,0.0,0.0,-1.1641532e-10,0,27,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685523376000,1771685523376000,-7.14559e-05,-0.0010713239,0.00026504358,0.0,0.0,-1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685523384000,1771685523384000,0.0008981109,0.00078704464,0.00024710322,0.0,0.0,-1.1641532e-10,0,27,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1771685523392000,1771685523392000,0.003012783,0.0013691138,0.00016617292,0.0,0.0,0.0,0,27,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1771685523400000,1771685523400000,0.0005378022,-6.738794e-05,4.392849e-05,0.0,0.0,-2.3283064e-10,0,27,1,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685523408000,1771685523408000,-0.0018943452,-0.00073532574,3.8417853e-05,0.0,0.0,-1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685523416000,1771685523416000,8.731149e-11,0.0,-1.6370905e-11,0.0,0.0,-1.1641532e-10,0,27,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
