timestamp,pub_timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro,publisher_id
1771685523316000,1771685523316000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.039173294,0.007827613,6.668591e-11,0.0036391867,-0.004500928,-9.815748,-0.0028975194,-0.000596548,-0.003941478,0.00046436567,0.0011542361,0.0011154045,6.1256826e-05,4.2798543e-05,3.4587403e-05,0.0,0.0,126
1771685523416000,1771685523416000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.039307576,0.0075033545,4.404948e-11,-0.011204863,0.011109267,-9.802628,-0.00027696876,0.0010652646,0.0014274544,0.0013908804,0.0012471743,0.0016321149,3.1540498e-05,3.7684433e-05,1.7298904e-05,0.0,0.0,126
1771685523516000,1771685523516000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0414177,0.0074936287,6.031702e-11,-0.015993267,0.0018197644,-9.812204,-0.00044741106,0.000511327,-0.0017683391,0.0018399031,0.0008876696,0.0018967543,3.1199117e-05,3.823953e-05,4.2713433e-05,0.0,0.0,126
1771685523616000,1771685523616000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.04202843,0.007843342,7.092473e-11,-0.0045010988,0.0015324601,-9.807608,-0.00025566353,0.0024288031,0.002066613,0.0016190222,0.0011831647,0.0016131562,7.0832546e-05,4.16108e-05,4.0150706e-05,0.0,0.0,126
1771685523716000,1771685523716000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.041662008,0.007719248,6.237193e-11,-0.0052672448,-0.010630083,-9.814024,-0.0008309062,-0.00044741115,-0.0012357067,0.0018978366,0.0006554199,0.00078289094,2.3194129e-05,4.474565e-05,3.3067736e-05,0.0,0.0,126
1771685523816000,1771685523816000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03988704,0.00765049,6.5487143e-11,0.0113964,-0.019153442,-9.782421,-0.0015765914,0.0013635386,-0.0015339807,0.001112181,0.00041415155,0.0008977213,2.9894109e-05,5.494456e-05,4.0008854e-05,0.0,0.0,126
1771685523916000,1771685523916000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.040486816,0.0077483575,6.7883546e-11,-0.011013328,0.013503468,-9.80349,0.0019600866,2.13054e-05,2.1305008e-05,0.0014354389,0.002396003,0.0009767439,3.0088913e-05,5.8074686e-05,5.8027406e-05,0.0,0.0,126
1771685524016000,1771685524016000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.039949257,0.0077411374,6.5015424e-11,-0.0098641105,0.001628228,-9.787688,-0.0026418557,-0.00078829564,0.0015339808,0.0013238138,0.0005740418,0.0013823877,3.6844685e-05,4.1990003e-05,4.4618933e-05,0.0,0.0,126
1771685524116000,1771685524116000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03962224,0.0074424255,3.6524263e-11,-0.014460978,-0.012353909,-9.810385,0.0002769688,0.00046871632,0.001470065,0.0008017821,0.0014644247,0.00084220164,2.3053224e-05,2.8873743e-05,2.4664627e-05,0.0,0.0,126
1771685524216000,1771685524216000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.04026475,0.007475178,6.815899e-11,-0.010917559,-0.023175701,-9.789699,-0.002428803,-0.0052197957,0.0011078749,0.001176095,0.001270982,0.001072369,1.1988093e-05,7.0238675e-05,3.621677e-05,0.0,0.0,126
1771685524316000,1771685524316000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03863951,0.007435784,7.5875486e-11,-0.018674774,0.02039877,-9.799659,-0.0007456851,-0.0025566348,-0.00221575,0.00124962,0.0006984306,0.0013250655,4.099423e-05,4.891411e-05,5.777208e-05,0.0,0.0,126
1771685524416000,1771685524416000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.037135594,0.0077379146,7.4400604e-11,-0.008906431,0.011300803,-9.798701,-0.0021944449,0.00034088467,-0.0004687164,0.00064129964,0.0012708865,0.001372261,5.6463286e-05,6.394722e-05,2.4192745e-05,0.0,0.0,126
