timestamp,pub_timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],publisher_id,quat_reset_counter
1771685523460000,1771685523460000,1771685523460000,-0.9999554,0.00045355188,0.00018379367,-0.009422805,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523464000,1771685523464000,1771685523464000,-0.99995565,0.0004546479,0.0001725388,-0.009407816,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523468000,1771685523468000,1771685523468000,-0.9999556,0.0004536863,0.00015380004,-0.0094088,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523472000,1771685523472000,1771685523472000,-0.9999555,0.0004586583,0.0001287278,-0.009416693,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523476000,1771685523476000,1771685523476000,-0.99995565,0.00044915781,0.00011311396,-0.00940968,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523480000,1771685523480000,1771685523480000,-0.9999557,0.00044156512,0.000111292735,-0.009396842,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523484000,1771685523484000,1771685523484000,-0.9999558,0.00044305247,0.00010689073,-0.009390393,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523488000,1771685523488000,1771685523488000,-0.9999557,0.00044298702,9.927941e-05,-0.009396712,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523492000,1771685523492000,1771685523492000,-0.9999556,0.00044343,9.433213e-05,-0.0094120875,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523496000,1771685523496000,1771685523496000,-0.9999556,0.00043252978,0.00010094571,-0.009410605,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523500000,1771685523500000,1771685523500000,-0.9999557,0.0004183174,0.00011978453,-0.009396878,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523504000,1771685523504000,1771685523504000,-0.99995565,0.00041382218,0.00012646144,-0.009403902,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523508000,1771685523508000,1771685523508000,-0.99995553,0.00041268865,0.00011558987,-0.009416776,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523512000,1771685523512000,1771685523512000,-0.9999556,0.0004083643,0.0001052352,-0.009410461,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523516000,1771685523516000,1771685523516000,-0.9999556,0.0003954787,9.905883e-05,-0.009410007,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523520000,1771685523520000,1771685523520000,-0.9999556,0.00038048616,9.180127e-05,-0.0094217975,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523524000,1771685523524000,1771685523524000,-0.99995536,0.0003734319,8.9947454e-05,-0.009427195,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523528000,1771685523528000,1771685523528000,-0.9999554,0.0003748608,9.350963e-05,-0.009430459,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523532000,1771685523532000,1771685523532000,-0.9999555,0.0003844497,7.9038255e-05,-0.009434247,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523536000,1771685523536000,1771685523536000,-0.9999553,0.0003972832,5.013371e-05,-0.009431665,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523540000,1771685523540000,1771685523540000,-0.99995536,0.0003897173,3.8078775e-05,-0.009436549,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523544000,1771685523544000,1771685523544000,-0.9999552,0.00035972943,3.2741475e-05,-0.009455807,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523548000,1771685523548000,1771685523548000,-0.9999552,0.00033727847,1.8956189e-05,-0.009466008,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523552000,1771685523552000,1771685523552000,-0.999955,0.00033237506,9.611323e-06,-0.009467678,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523556000,1771685523556000,1771685523556000,-0.999955,0.00034180685,5.1930942e-06,-0.009478406,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523560000,1771685523560000,1771685523560000,-0.9999548,0.00036024983,7.2347048e-06,-0.009495058,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523564000,1771685523564000,1771685523564000,-0.9999547,0.00037542128,1.7237013e-05,-0.009506387,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523568000,1771685523568000,1771685523568000,-0.9999547,0.00037839933,2.2343742e-05,-0.009505987,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523572000,1771685523572000,1771685523572000,-0.99995476,0.0003819757,2.053384e-05,-0.009499726,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523576000,1771685523576000,1771685523576000,-0.9999548,0.00040531033,1.46607035e-05,-0.009491837,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523580000,1771685523580000,1771685523580000,-0.9999548,0.00042121892,5.5176793e-06,-0.00949247,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523584000,1771685523584000,1771685523584000,-0.99995464,0.00040079062,-8.4806584e-07,-0.0095080305,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523588000,1771685523588000,1771685523588000,-0.9999546,0.0003824827,-6.129772e-06,-0.009527322,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523592000,1771685523592000,1771685523592000,-0.9999544,0.00038120977,-9.103342e-06,-0.009538599,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523596000,1771685523596000,1771685523596000,-0.99995446,0.00036928998,-1.2703469e-05,-0.009529639,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523600000,1771685523600000,1771685523600000,-0.99995464,0.00036126224,-3.2231714e-05,-0.009513724,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523604000,1771685523604000,1771685523604000,-0.9999547,0.00037030812,-5.479597e-05,-0.009504732,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523608000,1771685523608000,1771685523608000,-0.9999548,0.00038127293,-5.3892516e-05,-0.009493595,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523612000,1771685523612000,1771685523612000,-0.9999548,0.00038781966,-3.652171e-05,-0.009490452,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523616000,1771685523616000,1771685523616000,-0.99995464,0.0003928887,-3.62221e-05,-0.009508332,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523620000,1771685523620000,1771685523620000,-0.99995446,0.00040028058,-5.614194e-05,-0.0095278025,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523624000,1771685523624000,1771685523624000,-0.9999546,0.0004140042,-6.852408e-05,-0.009525417,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523628000,1771685523628000,1771685523628000,-0.9999546,0.00042174262,-6.7643974e-05,-0.009516112,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523632000,1771685523632000,1771685523632000,-0.9999546,0.0004241606,-6.7424924e-05,-0.009514088,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523636000,1771685523636000,1771685523636000,-0.99995476,0.00043512104,-6.9252514e-05,-0.009505673,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523640000,1771685523640000,1771685523640000,-0.9999548,0.00044059398,-6.323132e-05,-0.009493013,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523644000,1771685523644000,1771685523644000,-0.9999549,0.0004401272,-4.8745413e-05,-0.009483553,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523648000,1771685523648000,1771685523648000,-0.999955,0.0004428881,-3.6346013e-05,-0.009473003,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523652000,1771685523652000,1771685523652000,-0.99995506,0.00044420734,-4.0475432e-05,-0.009468838,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523656000,1771685523656000,1771685523656000,-0.999955,0.00044189682,-5.3682666e-05,-0.009471059,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
1771685523660000,1771685523660000,1771685523660000,-0.99995506,0.0004342048,-6.108214e-05,-0.00947435,-0.9999639,3.5061015e-10,4.001776e-11,-0.008495918,160,5
