timestamp,timestamp_sample,pub_timestamp,time_last_fuse,observation[0],observation[1],device_id,observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_filtered[0],innovation_filtered[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],test_ratio_filtered[0],test_ratio_filtered[1],publisher_id,estimator_instance,innovation_rejected,fused
1771685524364000,1771685524206000,0,1771685524212000,47.397742,8.5455936,0,0.25,0.25,0.0040080096,-0.0013026872,0.0057635675,-0.0039321925,0.2575057,0.25751442,2.4953451e-06,2.6359595e-07,1.1636532e-05,-6.7511214e-06,0,0,0,1
1771685524412000,1771685524258000,0,1771685524260000,47.397742099999995,8.5455937,0,0.25,0.25,-0.007163103,-0.009044457,0.0045458376,-0.0044137826,0.2574796,0.25748825,7.9711235e-06,1.2707719e-05,9.7894335e-06,-7.31225e-06,0,0,0,1
1771685524468000,1771685524310000,0,1771685524316000,47.397742,8.545593799999999,0,0.25,0.25,0.0042990996,-0.01666387,0.004522594,-0.0055677765,0.25750548,0.25751427,2.8709692e-06,4.3133077e-05,9.137694e-06,-1.0686676e-05,0,0,0,1
1771685524516000,1771685524362000,0,1771685524364000,47.397742,8.5455936,0,0.25,0.25,0.0042228806,-0.0012840845,0.00449436,-0.0051642405,0.25747937,0.2574881,2.7703534e-06,2.5614747e-07,8.537872e-06,-9.70409e-06,0,0,0,1
1771685524572000,1771685524414000,0,1771685524420000,47.397742099999995,8.5455936,0,0.25,0.25,-0.0069285803,-0.0016282034,0.0034182859,-0.0048311353,0.25750569,0.25751436,7.456958e-06,4.1179004e-07,7.031113e-06,-8.828729e-06,0,0,0,1
1771685524620000,1771685524466000,0,1771685524468000,47.397742099999995,8.5455936,0,0.25,0.25,-0.006668157,-0.0019043527,0.0024681136,-0.0045554237,0.25747952,0.25748813,6.9076277e-06,5.6337495e-07,5.718043e-06,-8.050109e-06,0,0,0,1
1771685524676000,1771685524518000,0,1771685524524000,47.397742099999995,8.5455936,0,0.25,0.25,-0.0063701686,-0.002279506,0.0016355217,-0.004341026,0.25750545,0.25751418,6.303408e-06,8.071242e-07,4.5855877e-06,-7.3677984e-06,0,0,0,1
1771685524724000,1771685524570000,0,1771685524572000,47.397742,8.5455937,0,0.25,0.25,0.0049998,-0.010022766,0.0019524464,-0.0048762625,0.2574793,0.25748804,3.883497e-06,1.5605516e-05,4.519449e-06,-8.143816e-06,0,0,0,1
1771685524780000,1771685524622000,0,1771685524628000,47.3977419,8.5455936,0,0.25,0.25,0.01615937,-0.0025761218,0.00329078,-0.0046595824,0.25750524,0.2575141,4.0562318e-05,1.0308412e-06,7.914792e-06,-7.4737527e-06,0,0,0,1
1771685524828000,1771685524674000,0,1771685524676000,47.397742,8.5455936,0,0.25,0.25,0.004599421,-0.002760469,0.0034140577,-0.0044806805,0.25747946,0.25748807,3.2864248e-06,1.1837735e-06,7.4787863e-06,-6.8812183e-06,0,0,0,1
