timestamp,pub_timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],publisher_id
1771685523332000,1771685523332000,1771685523332000,0.0,0.0,-0.001,39
1771685523336000,1771685523336000,1771685523336000,0.0,0.0,-0.001,39
1771685523340000,1771685523340000,1771685523340000,0.0,0.0,-0.001,39
1771685523344000,1771685523344000,1771685523344000,0.0,0.0,-0.001,39
1771685523348000,1771685523348000,1771685523348000,0.0,0.0,-0.001,39
1771685523352000,1771685523352000,1771685523352000,0.0,0.0,-0.001,39
1771685523356000,1771685523356000,1771685523356000,0.0,0.0,-0.001,39
1771685523360000,1771685523360000,1771685523360000,0.0,0.0,-0.001,39
1771685523364000,1771685523364000,1771685523364000,0.0,0.0,-0.001,39
1771685523368000,1771685523368000,1771685523368000,0.0,0.0,-0.001,39
1771685523372000,1771685523372000,1771685523372000,0.0,0.0,-0.001,39
1771685523376000,1771685523376000,1771685523376000,0.0,0.0,-0.001,39
1771685523380000,1771685523380000,1771685523380000,0.0,0.0,-0.001,39
1771685523384000,1771685523384000,1771685523384000,0.0,0.0,-0.001,39
1771685523388000,1771685523388000,1771685523388000,0.0,0.0,-0.001,39
1771685523392000,1771685523392000,1771685523392000,0.0,0.0,-0.001,39
1771685523396000,1771685523396000,1771685523396000,0.0,0.0,-0.001,39
1771685523400000,1771685523400000,1771685523400000,0.0,0.0,-0.001,39
1771685523404000,1771685523404000,1771685523404000,0.0,0.0,-0.001,39
1771685523408000,1771685523408000,1771685523408000,0.0,0.0,-0.001,39
1771685523412000,1771685523412000,1771685523412000,0.0,0.0,-0.001,39
1771685523416000,1771685523416000,1771685523416000,0.0,0.0,-0.001,39
1771685523420000,1771685523420000,1771685523420000,0.0,0.0,-0.001,39
1771685523424000,1771685523424000,1771685523424000,0.0,0.0,-0.001,39
1771685523428000,1771685523428000,1771685523428000,0.0,0.0,-0.001,39
1771685523432000,1771685523432000,1771685523432000,0.0,0.0,-0.001,39
1771685523436000,1771685523436000,1771685523436000,0.0,0.0,-0.001,39
1771685523440000,1771685523440000,1771685523440000,0.0,0.0,-0.001,39
1771685523444000,1771685523444000,1771685523444000,0.0,0.0,-0.001,39
1771685523448000,1771685523448000,1771685523448000,0.0,0.0,-0.001,39
1771685523452000,1771685523452000,1771685523452000,0.0,0.0,-0.001,39
1771685523456000,1771685523456000,1771685523456000,0.0,0.0,-0.001,39
1771685523460000,1771685523460000,1771685523460000,0.0,0.0,-0.001,39
1771685523464000,1771685523464000,1771685523464000,0.0,0.0,-0.001,39
1771685523468000,1771685523468000,1771685523468000,0.0,0.0,-0.001,39
1771685523472000,1771685523472000,1771685523472000,0.0,0.0,-0.001,39
1771685523476000,1771685523476000,1771685523476000,0.0,0.0,-0.001,39
