timestamp,pub_timestamp,publisher_id,armed,prearmed,ready_to_arm,lockdown,kill,termination,in_esc_calibration_mode
1771685523328000,1771685523328000,93,1,0,1,0,0,0,0
1771685523340000,1771685523340000,93,1,0,1,0,0,0,0
1771685523352000,1771685523352000,93,1,0,1,0,0,0,0
1771685523856000,1771685523856000,93,1,0,1,0,0,0,0
1771685524360000,1771685524360000,93,1,0,1,0,0,0,0
1771685524864000,1771685524864000,93,1,0,1,0,0,0,0
1771685525368000,1771685525368000,93,1,0,1,0,0,0,0
1771685525872000,1771685525872000,93,1,0,1,0,0,0,0
1771685526376000,1771685526376000,93,1,0,1,0,0,0,0
1771685526880000,1771685526880000,93,1,0,1,0,0,0,0
1771685527384000,1771685527384000,93,1,0,1,0,0,0,0
1771685527888000,1771685527888000,93,1,0,1,0,0,0,0
1771685528392000,1771685528392000,93,1,0,1,0,0,0,0
1771685528896000,1771685528896000,93,1,0,1,0,0,0,0
1771685529400000,1771685529400000,93,1,0,1,0,0,0,0
1771685529904000,1771685529904000,93,1,0,1,0,0,0,0
1771685530408000,1771685530408000,93,1,0,1,0,0,0,0
1771685530912000,1771685530912000,93,1,0,1,0,0,0,0
1771685531416000,1771685531416000,93,1,0,1,0,0,0,0
1771685531920000,1771685531920000,93,1,0,1,0,0,0,0
1771685532424000,1771685532424000,93,1,0,1,0,0,0,0
1771685532928000,1771685532928000,93,1,0,1,0,0,0,0
1771685533432000,1771685533432000,93,1,0,1,0,0,0,0
1771685533936000,1771685533936000,93,1,0,1,0,0,0,0
1771685534440000,1771685534440000,93,1,0,1,0,0,0,0
1771685534944000,1771685534944000,93,1,0,1,0,0,0,0
1771685535448000,1771685535448000,93,1,0,1,0,0,0,0
1771685535952000,1771685535952000,93,1,0,1,0,0,0,0
1771685536456000,1771685536456000,93,1,0,1,0,0,0,0
1771685536960000,1771685536960000,93,1,0,1,0,0,0,0
1771685537464000,1771685537464000,93,1,0,1,0,0,0,0
1771685537968000,1771685537968000,93,1,0,1,0,0,0,0
1771685538472000,1771685538472000,93,1,0,1,0,0,0,0
1771685538976000,1771685538976000,93,1,0,1,0,0,0,0
1771685539480000,1771685539480000,93,1,0,1,0,0,0,0
1771685539984000,1771685539984000,93,1,0,1,0,0,0,0
1771685540488000,1771685540488000,93,1,0,1,0,0,0,0
1771685540992000,1771685540992000,93,1,0,1,0,0,0,0
1771685541496000,1771685541496000,93,1,0,1,0,0,0,0
1771685542000000,1771685542000000,93,1,0,1,0,0,0,0
1771685542504000,1771685542504000,93,1,0,1,0,0,0,0
1771685543008000,1771685543008000,93,1,0,1,0,0,0,0
1771685543512000,1771685543512000,93,1,0,1,0,0,0,0
1771685544016000,1771685544016000,93,1,0,1,0,0,0,0
1771685544520000,1771685544520000,93,1,0,1,0,0,0,0
1771685545024000,1771685545024000,93,1,0,1,0,0,0,0
1771685545528000,1771685545528000,93,1,0,1,0,0,0,0
1771685546032000,1771685546032000,93,1,0,1,0,0,0,0
1771685546536000,1771685546536000,93,1,0,1,0,0,0,0
1771685547040000,1771685547040000,93,1,0,1,0,0,0,0
1771685547544000,1771685547544000,93,1,0,1,0,0,0,0
1771685548048000,1771685548048000,93,1,0,1,0,0,0,0
1771685548552000,1771685548552000,93,1,0,1,0,0,0,0
1771685549056000,1771685549056000,93,1,0,1,0,0,0,0
1771685549560000,1771685549560000,93,1,0,1,0,0,0,0
1771685550064000,1771685550064000,93,1,0,1,0,0,0,0
1771685550568000,1771685550568000,93,1,0,1,0,0,0,0
1771685551072000,1771685551072000,93,1,0,1,0,0,0,0
1771685551576000,1771685551576000,93,1,0,1,0,0,0,0
1771685552080000,1771685552080000,93,1,0,1,0,0,0,0
1771685552584000,1771685552584000,93,1,0,1,0,0,0,0
1771685553088000,1771685553088000,93,1,0,1,0,0,0,0
1771685553592000,1771685553592000,93,1,0,1,0,0,0,0
1771685554096000,1771685554096000,93,1,0,1,0,0,0,0
1771685554600000,1771685554600000,93,1,0,1,0,0,0,0
1771685555104000,1771685555104000,93,1,0,1,0,0,0,0
1771685555608000,1771685555608000,93,1,0,1,0,0,0,0
1771685556112000,1771685556112000,93,1,0,1,0,0,0,0
1771685556616000,1771685556616000,93,1,0,1,0,0,0,0
1771685557120000,1771685557120000,93,1,0,1,0,0,0,0
1771685557624000,1771685557624000,93,1,0,1,0,0,0,0
1771685558128000,1771685558128000,93,1,0,1,0,0,0,0
1771685558632000,1771685558632000,93,1,0,1,0,0,0,0
1771685559136000,1771685559136000,93,1,0,1,0,0,0,0
1771685559640000,1771685559640000,93,1,0,1,0,0,0,0
1771685560144000,1771685560144000,93,1,0,1,0,0,0,0
1771685560648000,1771685560648000,93,1,0,1,0,0,0,0
1771685561152000,1771685561152000,93,1,0,1,0,0,0,0
1771685561656000,1771685561656000,93,1,0,1,0,0,0,0
1771685562160000,1771685562160000,93,1,0,1,0,0,0,0
1771685562664000,1771685562664000,93,1,0,1,0,0,0,0
1771685563168000,1771685563168000,93,1,0,1,0,0,0,0
1771685563672000,1771685563672000,93,1,0,1,0,0,0,0
1771685564176000,1771685564176000,93,1,0,1,0,0,0,0
1771685564680000,1771685564680000,93,1,0,1,0,0,0,0
1771685565184000,1771685565184000,93,1,0,1,0,0,0,0
1771685565688000,1771685565688000,93,1,0,1,0,0,0,0
1771685566192000,1771685566192000,93,1,0,1,0,0,0,0
1771685566696000,1771685566696000,93,1,0,1,0,0,0,0
1771685567200000,1771685567200000,93,1,0,1,0,0,0,0
1771685567704000,1771685567704000,93,1,0,1,0,0,0,0
1771685568208000,1771685568208000,93,1,0,1,0,0,0,0
1771685568712000,1771685568712000,93,1,0,1,0,0,0,0
1771685569216000,1771685569216000,93,1,0,1,0,0,0,0
1771685569720000,1771685569720000,93,1,0,1,0,0,0,0
1771685570224000,1771685570224000,93,1,0,1,0,0,0,0
1771685570728000,1771685570728000,93,1,0,1,0,0,0,0
1771685571232000,1771685571232000,93,1,0,1,0,0,0,0
1771685571736000,1771685571736000,93,1,0,1,0,0,0,0
1771685572240000,1771685572240000,93,1,0,1,0,0,0,0
1771685572744000,1771685572744000,93,1,0,1,0,0,0,0
1771685573248000,1771685573248000,93,1,0,1,0,0,0,0
1771685573752000,1771685573752000,93,1,0,1,0,0,0,0
1771685574256000,1771685574256000,93,1,0,1,0,0,0,0
