timestamp,pub_timestamp,publisher_id,led_mask,color,mode,num_blinks,priority
1771685521852000,1771685521852000,93,255,1,5,0,0
1771685522296000,1771685522296000,93,255,2,5,0,0
1771685523004000,1771685523004000,93,255,2,6,0,0
1771685523328000,1771685523328000,93,255,2,6,0,0
1771685523328000,1771685523328000,93,255,2,1,0,0
1771685523340000,1771685523340000,93,255,2,1,0,0
1771685589832000,1771685589832000,93,255,2,1,0,0
1771685589832000,1771685589832000,93,255,2,1,0,0
1771685589832000,1771685589832000,93,255,2,1,0,0
1771685627140000,1771685627140000,93,255,2,1,0,0
1771685627164000,1771685627164000,93,255,2,1,0,0
1771685627164000,1771685627164000,93,255,2,1,0,0
1771685627164000,1771685627164000,93,255,2,1,0,0
1771685627164000,1771685627164000,93,255,2,1,0,0
1771685627164000,1771685627164000,93,255,2,1,0,0
1771685627164000,1771685627164000,93,255,2,1,0,0
1771685718844000,1771685718844000,93,255,2,1,0,0
1771685720824000,1771685720824000,93,255,8,5,0,0
1771685721532000,1771685721532000,93,255,2,6,0,0
