timestamp,pub_timestamp,publisher_id,nav_state,failure
1771685523328000,1771685523328000,96,4,0
1771685523352000,1771685523352000,96,3,0
1771685523856000,1771685523856000,96,3,0
1771685524360000,1771685524360000,96,3,0
1771685524864000,1771685524864000,96,3,0
1771685525368000,1771685525368000,96,3,0
1771685525872000,1771685525872000,96,3,0
1771685526376000,1771685526376000,96,3,0
1771685526880000,1771685526880000,96,3,0
1771685527384000,1771685527384000,96,3,0
1771685527888000,1771685527888000,96,3,0
1771685528392000,1771685528392000,96,3,0
1771685528896000,1771685528896000,96,3,0
1771685529400000,1771685529400000,96,3,0
1771685529904000,1771685529904000,96,3,0
1771685530408000,1771685530408000,96,3,0
1771685530912000,1771685530912000,96,3,0
1771685531416000,1771685531416000,96,3,0
1771685531920000,1771685531920000,96,3,0
1771685532424000,1771685532424000,96,3,0
1771685532928000,1771685532928000,96,3,0
1771685533432000,1771685533432000,96,3,0
1771685533936000,1771685533936000,96,3,0
1771685534440000,1771685534440000,96,3,0
1771685534944000,1771685534944000,96,3,0
1771685535448000,1771685535448000,96,3,0
1771685535952000,1771685535952000,96,3,0
1771685536456000,1771685536456000,96,3,0
1771685536960000,1771685536960000,96,3,0
1771685537464000,1771685537464000,96,3,0
1771685537968000,1771685537968000,96,3,0
1771685538472000,1771685538472000,96,3,0
1771685538976000,1771685538976000,96,3,0
1771685539480000,1771685539480000,96,3,0
1771685539984000,1771685539984000,96,3,0
1771685540488000,1771685540488000,96,3,0
1771685540992000,1771685540992000,96,3,0
1771685541496000,1771685541496000,96,3,0
1771685542000000,1771685542000000,96,3,0
1771685542504000,1771685542504000,96,3,0
1771685543008000,1771685543008000,96,3,0
1771685543512000,1771685543512000,96,3,0
1771685544016000,1771685544016000,96,3,0
1771685544520000,1771685544520000,96,3,0
1771685545024000,1771685545024000,96,3,0
1771685545528000,1771685545528000,96,3,0
1771685546032000,1771685546032000,96,3,0
1771685546536000,1771685546536000,96,3,0
1771685547040000,1771685547040000,96,3,0
1771685547544000,1771685547544000,96,3,0
1771685548048000,1771685548048000,96,3,0
1771685548552000,1771685548552000,96,3,0
1771685549056000,1771685549056000,96,3,0
1771685549560000,1771685549560000,96,3,0
1771685550064000,1771685550064000,96,3,0
1771685550568000,1771685550568000,96,3,0
1771685551072000,1771685551072000,96,3,0
1771685551576000,1771685551576000,96,3,0
1771685552080000,1771685552080000,96,3,0
1771685552584000,1771685552584000,96,3,0
1771685553088000,1771685553088000,96,3,0
1771685553592000,1771685553592000,96,3,0
1771685554096000,1771685554096000,96,3,0
1771685554600000,1771685554600000,96,3,0
1771685555104000,1771685555104000,96,3,0
1771685555608000,1771685555608000,96,3,0
1771685556112000,1771685556112000,96,3,0
1771685556616000,1771685556616000,96,3,0
1771685557120000,1771685557120000,96,3,0
1771685557624000,1771685557624000,96,3,0
1771685558128000,1771685558128000,96,3,0
1771685558632000,1771685558632000,96,3,0
1771685559136000,1771685559136000,96,3,0
1771685559640000,1771685559640000,96,3,0
1771685560144000,1771685560144000,96,3,0
1771685560648000,1771685560648000,96,3,0
1771685561152000,1771685561152000,96,3,0
1771685561656000,1771685561656000,96,3,0
1771685562160000,1771685562160000,96,3,0
1771685562664000,1771685562664000,96,3,0
1771685563168000,1771685563168000,96,3,0
