timestamp,pub_timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags,publisher_id
1771685122640000,1771685122640000,1771685122640000,2.910383e-11,0.0019999999,0.0,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685122644000,1771685122644000,1771685122644000,0.00014985276,0.0021958074,0.0013305236,0.00032381597,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685122648000,1771685122648000,1771685122648000,0.0,0.0019999999,0.0,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685122652000,1771685122652000,1771685122652000,0.0,0.0020000003,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685122656000,1771685122656000,1771685122656000,0.0,0.002,0.0,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685122660000,1771685122660000,1771685122660000,0.00046625777,0.0015337421,0.0,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685122664000,1771685122664000,1771685122664000,0.0,0.0019999999,0.0,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685122668000,1771685122668000,1771685122668000,0.0,0.002,0.0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685122672000,1771685122672000,1771685122672000,0.0,0.0019999999,0.0,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685122676000,1771685122676000,1771685122676000,0.0002058837,0.0017941161,0.0,0.0019999996,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685122680000,1771685122680000,1771685122680000,0.0007773611,0.0012226389,0.0,0.0019999996,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685122684000,1771685122684000,1771685122684000,0.0015302856,0.00046971437,0.0,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685122688000,1771685122688000,1771685122688000,0.0,0.0020000003,0.0,0.0019999996,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685122692000,1771685122692000,1771685122692000,0.0,0.0019999999,0.0,0.0019999996,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685122696000,1771685122696000,1771685122696000,0.0,0.0019999999,2.3283064e-10,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685122700000,1771685122700000,1771685122700000,0.0,0.0018998935,0.00035792636,0.0017421799,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685122704000,1771685122704000,1771685122704000,0.0019999999,0.0,0.0019999999,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685122708000,1771685122708000,1771685122708000,0.0019999999,0.0,0.0019999999,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685122712000,1771685122712000,1771685122712000,0.002,0.0,0.0019999999,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685122716000,1771685122716000,1771685122716000,0.002,0.0,0.0019999996,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685122720000,1771685122720000,1771685122720000,0.0019999994,0.0,0.0019999999,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685122724000,1771685122724000,1771685122724000,0.002,0.0,0.00082307874,0.0011769211,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685122728000,1771685122728000,1771685122728000,0.0,0.0019999999,0.0,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0,27
