timestamp,pub_timestamp,tilt_limit,publisher_id,takeoff_state
1771685122644000,1771685122644000,0.20943952,52,2
1771685123644000,1771685123644000,0.20943952,52,4
1771685126652000,1771685126652000,0.21103951,52,5
1771685126660000,1771685126660000,0.21263951,52,5
1771685126668000,1771685126668000,0.21423951,52,5
1771685126676000,1771685126676000,0.2158395,52,5
1771685126684000,1771685126684000,0.2174395,52,5
1771685126692000,1771685126692000,0.2190395,52,5
1771685126700000,1771685126700000,0.2206395,52,5
1771685126708000,1771685126708000,0.2222395,52,5
1771685126716000,1771685126716000,0.22383949,52,5
1771685126724000,1771685126724000,0.22543949,52,5
1771685126732000,1771685126732000,0.22703949,52,5
1771685126740000,1771685126740000,0.22863948,52,5
1771685126748000,1771685126748000,0.23023948,52,5
1771685126756000,1771685126756000,0.23183948,52,5
1771685126764000,1771685126764000,0.23343948,52,5
1771685126772000,1771685126772000,0.23503947,52,5
1771685126780000,1771685126780000,0.23663947,52,5
1771685126788000,1771685126788000,0.23823947,52,5
1771685126796000,1771685126796000,0.23983946,52,5
1771685126804000,1771685126804000,0.24143946,52,5
1771685126812000,1771685126812000,0.24303946,52,5
1771685126820000,1771685126820000,0.24463946,52,5
1771685126828000,1771685126828000,0.24623945,52,5
1771685126836000,1771685126836000,0.24783945,52,5
1771685126844000,1771685126844000,0.24943945,52,5
1771685126852000,1771685126852000,0.25103945,52,5
1771685126860000,1771685126860000,0.25263944,52,5
1771685126868000,1771685126868000,0.25423944,52,5
1771685126876000,1771685126876000,0.25583944,52,5
1771685126884000,1771685126884000,0.25743943,52,5
1771685126892000,1771685126892000,0.25903943,52,5
1771685126900000,1771685126900000,0.26063943,52,5
1771685126908000,1771685126908000,0.26223943,52,5
1771685126916000,1771685126916000,0.26383942,52,5
1771685126924000,1771685126924000,0.26543942,52,5
1771685126932000,1771685126932000,0.26703942,52,5
1771685126940000,1771685126940000,0.26863942,52,5
1771685126948000,1771685126948000,0.2702394,52,5
1771685126956000,1771685126956000,0.2718394,52,5
1771685126964000,1771685126964000,0.2734394,52,5
1771685126972000,1771685126972000,0.2750394,52,5
1771685126980000,1771685126980000,0.2766394,52,5
1771685126988000,1771685126988000,0.2782394,52,5
