timestamp,pub_timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,publisher_id
1771685123032000,1771685123032000,0.0,0.0,0.0,39
1771685123036000,1771685123036000,0.0,0.0,0.0,39
1771685123040000,1771685123040000,0.0,0.0,0.0,39
1771685123044000,1771685123044000,0.0,0.0,0.0,39
1771685123048000,1771685123048000,0.0,0.0,0.0,39
1771685123052000,1771685123052000,0.0,0.0,0.0,39
1771685123056000,1771685123056000,0.0,0.0,0.0,39
1771685123060000,1771685123060000,0.0,0.0,0.0,39
1771685123064000,1771685123064000,0.0,0.0,0.0,39
1771685123068000,1771685123068000,0.0,0.0,0.0,39
1771685123072000,1771685123072000,0.0,0.0,0.0,39
1771685123076000,1771685123076000,0.0,0.0,0.0,39
1771685123080000,1771685123080000,0.0,0.0,0.0,39
1771685123084000,1771685123084000,0.0,0.0,0.0,39
1771685123088000,1771685123088000,0.0,0.0,0.0,39
1771685123092000,1771685123092000,0.0,0.0,0.0,39
1771685123096000,1771685123096000,0.0,0.0,0.0,39
1771685123100000,1771685123100000,0.0,0.0,0.0,39
1771685123104000,1771685123104000,0.0,0.0,0.0,39
1771685123108000,1771685123108000,0.0,0.0,0.0,39
1771685123112000,1771685123112000,0.0,0.0,0.0,39
1771685123116000,1771685123116000,0.0,0.0,0.0,39
1771685123120000,1771685123120000,0.0,0.0,0.0,39
1771685123124000,1771685123124000,0.0,0.0,0.0,39
1771685123128000,1771685123128000,0.0,0.0,0.0,39
1771685123132000,1771685123132000,0.0,0.0,0.0,39
1771685123136000,1771685123136000,0.0,0.0,0.0,39
1771685123140000,1771685123140000,0.0,0.0,0.0,39
1771685123144000,1771685123144000,0.0,0.0,0.0,39
1771685123148000,1771685123148000,0.0,0.0,0.0,39
1771685123152000,1771685123152000,0.0,0.0,0.0,39
1771685123156000,1771685123156000,0.0,0.0,0.0,39
1771685123160000,1771685123160000,0.0,0.0,0.0,39
1771685123164000,1771685123164000,0.0,0.0,0.0,39
1771685123168000,1771685123168000,0.0,0.0,0.0,39
1771685123172000,1771685123172000,0.0,0.0,0.0,39
1771685123176000,1771685123176000,0.0,0.0,0.0,39
1771685123180000,1771685123180000,0.0,0.0,0.0,39
1771685123184000,1771685123184000,0.0,0.0,0.0,39
1771685123188000,1771685123188000,0.0,0.0,0.0,39
1771685123192000,1771685123192000,0.0,0.0,0.0,39
1771685123196000,1771685123196000,0.0,0.0,0.0,39
1771685123200000,1771685123200000,0.0,0.0,0.0,39
1771685123204000,1771685123204000,0.0,0.0,0.0,39
1771685123208000,1771685123208000,0.0,0.0,0.0,39
1771685123212000,1771685123212000,0.0,0.0,0.0,39
1771685123216000,1771685123216000,0.0,0.0,0.0,39
1771685123220000,1771685123220000,0.0,0.0,0.0,39
1771685123224000,1771685123224000,0.0,0.0,0.0,39
1771685123228000,1771685123228000,0.0,0.0,0.0,39
1771685123232000,1771685123232000,0.0,0.0,0.0,39
1771685123236000,1771685123236000,0.0,0.0,0.0,39
1771685123240000,1771685123240000,0.0,0.0,0.0,39
1771685123244000,1771685123244000,0.0,0.0,0.0,39
1771685123248000,1771685123248000,0.0,0.0,0.0,39
1771685123252000,1771685123252000,0.0,0.0,0.0,39
1771685123256000,1771685123256000,0.0,0.0,0.0,39
1771685123260000,1771685123260000,0.0,0.0,0.0,39
1771685123264000,1771685123264000,0.0,0.0,0.0,39
1771685123268000,1771685123268000,0.0,0.0,0.0,39
1771685123272000,1771685123272000,0.0,0.0,0.0,39
1771685123276000,1771685123276000,0.0,0.0,0.0,39
1771685123280000,1771685123280000,0.0,0.0,0.0,39
1771685123284000,1771685123284000,0.0,0.0,0.0,39
1771685123288000,1771685123288000,0.0,0.0,0.0,39
1771685123292000,1771685123292000,0.0,0.0,0.0,39
1771685123296000,1771685123296000,0.0,0.0,0.0,39
1771685123300000,1771685123300000,0.0,0.0,0.0,39
1771685123304000,1771685123304000,0.0,0.0,0.0,39
1771685123308000,1771685123308000,0.0,0.0,0.0,39
1771685123312000,1771685123312000,0.0,0.0,0.0,39
1771685123316000,1771685123316000,0.0,0.0,0.0,39
1771685123320000,1771685123320000,0.0,0.0,0.0,39
1771685123324000,1771685123324000,0.0,0.0,0.0,39
1771685123328000,1771685123328000,0.0,0.0,0.0,39
1771685123332000,1771685123332000,0.0,0.0,0.0,39
1771685123336000,1771685123336000,0.0,0.0,0.0,39
1771685123340000,1771685123340000,0.0,0.0,0.0,39
1771685123344000,1771685123344000,0.0,0.0,0.0,39
1771685123348000,1771685123348000,0.0,0.0,0.0,39
1771685123352000,1771685123352000,0.0,0.0,0.0,39
1771685123356000,1771685123356000,0.0,0.0,0.0,39
1771685123360000,1771685123360000,0.0,0.0,0.0,39
1771685123364000,1771685123364000,0.0,0.0,0.0,39
1771685123368000,1771685123368000,0.0,0.0,0.0,39
1771685123372000,1771685123372000,0.0,0.0,0.0,39
1771685123376000,1771685123376000,0.0,0.0,0.0,39
1771685123380000,1771685123380000,0.0,0.0,0.0,39
1771685123384000,1771685123384000,0.0,0.0,0.0,39
1771685123388000,1771685123388000,0.0,0.0,0.0,39
1771685123392000,1771685123392000,0.0,0.0,0.0,39
1771685123396000,1771685123396000,0.0,0.0,0.0,39
1771685123400000,1771685123400000,0.0,0.0,0.0,39
1771685123404000,1771685123404000,0.0,0.0,0.0,39
1771685123408000,1771685123408000,0.0,0.0,0.0,39
1771685123412000,1771685123412000,0.0,0.0,0.0,39
1771685123416000,1771685123416000,0.0,0.0,0.0,39
1771685123420000,1771685123420000,0.0,0.0,0.0,39
1771685123424000,1771685123424000,0.0,0.0,0.0,39
1771685123428000,1771685123428000,0.0,0.0,0.0,39
1771685123432000,1771685123432000,0.0,0.0,0.0,39
1771685123436000,1771685123436000,0.0,0.0,0.0,39
1771685123440000,1771685123440000,0.0,0.0,0.0,39
1771685123444000,1771685123444000,0.0,0.0,0.0,39
1771685123448000,1771685123448000,0.0,0.0,0.0,39
1771685123452000,1771685123452000,0.0,0.0,0.0,39
1771685123456000,1771685123456000,0.0,0.0,0.0,39
1771685123460000,1771685123460000,0.0,0.0,0.0,39
1771685123464000,1771685123464000,0.0,0.0,0.0,39
1771685123468000,1771685123468000,0.0,0.0,0.0,39
1771685123472000,1771685123472000,0.0,0.0,0.0,39
1771685123476000,1771685123476000,0.0,0.0,0.0,39
1771685123480000,1771685123480000,0.0,0.0,0.0,39
1771685123484000,1771685123484000,0.0,0.0,0.0,39
1771685123488000,1771685123488000,0.0,0.0,0.0,39
1771685123492000,1771685123492000,0.0,0.0,0.0,39
1771685123496000,1771685123496000,0.0,0.0,0.0,39
1771685123500000,1771685123500000,0.0,0.0,0.0,39
1771685123504000,1771685123504000,0.0,0.0,0.0,39
1771685123508000,1771685123508000,0.0,0.0,0.0,39
1771685123512000,1771685123512000,0.0,0.0,0.0,39
1771685123516000,1771685123516000,0.0,0.0,0.0,39
1771685123520000,1771685123520000,0.0,0.0,0.0,39
1771685123524000,1771685123524000,0.0,0.0,0.0,39
1771685123528000,1771685123528000,0.0,0.0,0.0,39
1771685123532000,1771685123532000,0.0,0.0,0.0,39
1771685123536000,1771685123536000,0.0,0.0,0.0,39
1771685123540000,1771685123540000,0.0,0.0,0.0,39
1771685123544000,1771685123544000,0.0,0.0,0.0,39
1771685123548000,1771685123548000,0.0,0.0,0.0,39
1771685123552000,1771685123552000,0.0,0.0,0.0,39
1771685123556000,1771685123556000,0.0,0.0,0.0,39
1771685123560000,1771685123560000,0.0,0.0,0.0,39
1771685123564000,1771685123564000,0.0,0.0,0.0,39
1771685123568000,1771685123568000,0.0,0.0,0.0,39
1771685123572000,1771685123572000,0.0,0.0,0.0,39
1771685123576000,1771685123576000,0.0,0.0,0.0,39
1771685123580000,1771685123580000,0.0,0.0,0.0,39
1771685123584000,1771685123584000,0.0,0.0,0.0,39
1771685123588000,1771685123588000,0.0,0.0,0.0,39
1771685123592000,1771685123592000,0.0,0.0,0.0,39
1771685123596000,1771685123596000,0.0,0.0,0.0,39
1771685123600000,1771685123600000,0.0,0.0,0.0,39
1771685123604000,1771685123604000,0.0,0.0,0.0,39
1771685123608000,1771685123608000,0.0,0.0,0.0,39
1771685123612000,1771685123612000,0.0,0.0,0.0,39
1771685123616000,1771685123616000,0.0,0.0,0.0,39
1771685123620000,1771685123620000,0.0,0.0,0.0,39
1771685123624000,1771685123624000,0.0,0.0,0.0,39
1771685123628000,1771685123628000,0.0,0.0,0.0,39
1771685123632000,1771685123632000,0.0,0.0,0.0,39
1771685123636000,1771685123636000,0.0,0.0,0.0,39
1771685123640000,1771685123640000,0.0,0.0,0.0,39
1771685123644000,1771685123644000,0.0,0.0,0.0,39
1771685123648000,1771685123648000,0.0,0.0,0.0,39
1771685123652000,1771685123652000,0.0,0.0,0.0,39
1771685123656000,1771685123656000,0.0,0.0,0.0,39
1771685123660000,1771685123660000,0.0,0.0,0.0,39
1771685123664000,1771685123664000,0.0,0.0,0.0,39
1771685123668000,1771685123668000,0.0,0.0,0.0,39
1771685123672000,1771685123672000,0.0,0.0,0.0,39
1771685123676000,1771685123676000,0.0,0.0,0.0,39
1771685123680000,1771685123680000,0.0,0.0,0.0,39
1771685123684000,1771685123684000,0.0,0.0,0.0,39
