timestamp,pub_timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,publisher_id,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
1771685122748000,1771685122748000,1771685122748000,1310988,1310988,-5.3263198e-06,-1.3848442e-05,-1.278317e-05,0.0001292869,-4.7883357e-05,-0.039030276,4000,4000,126,0,0,0,1
1771685122752000,1771685122752000,1771685122752000,1310988,1310988,-1.0652677e-05,-3.4088454e-05,-4.261056e-06,0.00013407531,-0.00014365141,-0.03917393,4000,4000,126,0,0,0,1
1771685122756000,1771685122756000,1771685122756000,1310988,1310988,-2.8762077e-05,-4.0480063e-05,-2.7696922e-05,-3.3518827e-05,-0.00017238184,-0.03914999,4000,4000,126,0,0,0,1
1771685122760000,1771685122760000,1771685122760000,1310988,1310988,-6.0719984e-05,-5.326257e-06,-3.0892865e-05,-0.000119710094,-0.00021068908,-0.03914999,4000,4000,126,0,0,0,1
1771685122764000,1771685122764000,1771685122764000,1310988,1310988,-5.965467e-05,5.326333e-05,-8.522411e-06,-0.00015801731,-5.267176e-05,-0.03911647,4000,4000,126,0,0,0,1
1771685122768000,1771685122768000,1771685122768000,1310988,1310988,-5.2197924e-05,5.432852e-05,-1.065302e-06,-0.00020111295,0.00010055716,-0.039159562,4000,4000,126,0,0,0,1
1771685122772000,1771685122772000,1771685122772000,1310988,1310988,-5.113259e-05,3.4088567e-05,2.3435903e-05,-0.0001340753,9.098036e-05,-0.03932237,4000,4000,126,0,0,0,1
1771685122776000,1771685122776000,1771685122776000,1310988,1310988,-3.5153713e-05,3.9414863e-05,3.4088396e-05,-8.1402846e-05,6.703834e-05,-0.03933195,4000,4000,126,0,0,0,1
1771685122780000,1771685122780000,1771685122780000,1310988,1310988,-8.0002595e-11,4.048008e-05,1.0652528e-05,-2.3942017e-05,0.00010534556,-0.03924575,4000,4000,126,0,0,0,1
1771685122784000,1771685122784000,1771685122784000,1310988,1310988,1.7044256e-05,2.237057e-05,1.2783117e-05,9.576807e-06,0.000110133966,-0.039269697,4000,4000,126,0,0,0,1
1771685122788000,1771685122788000,1771685122788000,1310988,1310988,-1.4913646e-05,-5.8773056e-11,2.9827432e-05,0.0,-0.0001005558,-0.039365467,4000,4000,126,0,0,0,1
1771685122792000,1771685122792000,1771685122792000,1310988,1310988,-3.089264e-05,-1.1717924e-05,5.1132713e-05,2.873042e-05,-0.00033518756,-0.03932237,4000,4000,126,0,0,0,1
1771685122796000,1771685122796000,1771685122796000,1310988,1310988,-1.1718041e-05,1.810959e-05,5.5393695e-05,3.830723e-05,-0.0004022252,-0.039169136,4000,4000,126,0,0,0,1
1771685122800000,1771685122800000,1771685122800000,1310988,1310988,-9.587616e-06,5.326319e-05,6.3915504e-06,-8.1402846e-05,-0.00039264836,-0.039130826,4000,4000,126,0,0,0,1
