timestamp,timestamp_sample,pub_timestamp,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4],publisher_id,yaw_composite_valid
1771685122636000,1771685122484000,1771685122636000,0.22180054,0.0067825965,0.21282858,0.22049153,0.22187418,0.22340992,0.23208807,0.00044360536,0.00044964632,0.00045073283,0.00045193674,0.0004587444,-0.00079019123,-0.0007867665,-0.000786147,-0.0007854632,-0.0007814974,3.0700296e-06,0.001362502,0.99497217,0.003380631,0.0002815313,160,1
1771685122644000,1771685122492000,1771685122644000,0.22180054,0.0067825965,0.21282339,0.22048634,0.22186893,0.22340477,0.23208283,0.00044360536,0.00044964632,0.00045073283,0.00045193674,0.0004587444,-0.00079019123,-0.0007867665,-0.000786147,-0.0007854632,-0.0007814974,3.0700296e-06,0.001362502,0.99497217,0.003380631,0.0002815313,160,1
1771685122652000,1771685122500000,1771685122652000,0.22180054,0.0067825965,0.21281736,0.22048025,0.22186291,0.22339869,0.23207676,0.00044360536,0.00044964632,0.00045073283,0.00045193674,0.0004587444,-0.00079019123,-0.0007867665,-0.000786147,-0.0007854632,-0.0007814974,3.0700296e-06,0.001362502,0.99497217,0.003380631,0.0002815313,160,1
1771685122660000,1771685122508000,1771685122660000,0.22186387,0.006786437,0.21281216,0.22047512,0.2218577,0.22339353,0.23207162,-0.00041152482,-0.00040926368,-0.00040885364,-0.0004083992,-0.00040579005,-0.00029364537,-0.0002967881,-0.00029735646,-0.00029799278,-0.0003015123,3.0700296e-06,0.0013625022,0.99497235,0.0033806316,0.00028153133,160,1
1771685122668000,1771685122516000,1771685122668000,0.22186387,0.006786437,0.21279736,0.22046025,0.22184289,0.22337873,0.23205684,-0.00041152482,-0.00040926368,-0.00040885364,-0.0004083992,-0.00040579005,-0.00029364537,-0.0002967881,-0.00029735646,-0.00029799278,-0.0003015123,3.0700296e-06,0.0013625022,0.99497235,0.0033806316,0.00028153133,160,1
1771685122676000,1771685122524000,1771685122676000,0.22186387,0.006786437,0.21275909,0.22042198,0.22180466,0.2233404,0.23201859,-0.00041152482,-0.00040926368,-0.00040885364,-0.0004083992,-0.00040579005,-0.00029364537,-0.0002967881,-0.00029735646,-0.00029799278,-0.0003015123,3.0700296e-06,0.0013625022,0.99497235,0.0033806316,0.00028153133,160,1
1771685122684000,1771685122532000,1771685122684000,0.22186387,0.006786437,0.21267399,0.22033693,0.2217195,0.22325532,0.2319334,-0.00041152482,-0.00040926368,-0.00040885364,-0.0004083992,-0.00040579005,-0.00029364537,-0.0002967881,-0.00029735646,-0.00029799278,-0.0003015123,3.0700296e-06,0.0013625022,0.99497235,0.0033806316,0.00028153133,160,1
1771685122692000,1771685122540000,1771685122692000,0.22186387,0.006786437,0.21257618,0.22023912,0.2216217,0.22315751,0.23183562,-0.00041152482,-0.00040926368,-0.00040885364,-0.0004083992,-0.00040579005,-0.00029364537,-0.0002967881,-0.00029735646,-0.00029799278,-0.0003015123,3.0700296e-06,0.0013625022,0.99497235,0.0033806316,0.00028153133,160,1
1771685122700000,1771685122548000,1771685122700000,0.22186387,0.006786437,0.21254976,0.22021268,0.22159533,0.22313109,0.23180921,-0.00041152482,-0.00040926368,-0.00040885364,-0.0004083992,-0.00040579005,-0.00029364537,-0.0002967881,-0.00029735646,-0.00029799278,-0.0003015123,3.0700296e-06,0.0013625022,0.99497235,0.0033806316,0.00028153133,160,1
1771685122708000,1771685122556000,1771685122708000,0.22186387,0.006786437,0.2126267,0.22028962,0.22167218,0.22320807,0.23188612,-0.00041152482,-0.00040926368,-0.00040885364,-0.0004083992,-0.00040579005,-0.00029364537,-0.0002967881,-0.00029735646,-0.00029799278,-0.0003015123,3.0700296e-06,0.0013625022,0.99497235,0.0033806316,0.00028153133,160,1
1771685122716000,1771685122564000,1771685122716000,0.22170419,0.0067909113,0.21265246,0.2203154,0.22169802,0.22323379,0.23191188,-0.0006734872,-0.00066506525,-0.0006635421,-0.00066185073,-0.00065223966,-0.0010966253,-0.0011017516,-0.001102673,-0.0011037004,-0.0011093881,3.0700292e-06,0.0013625021,0.9949722,0.0033806313,0.00028153133,160,1
