timestamp,pub_timestamp,mag_inconsistency_angle,publisher_id
1771685122636000,1771685122636000,0.0,126
1771685322740000,1771685322740000,0.0,126
1771685322744000,1771685322744000,0.0,126
1771685322748000,1771685322748000,0.0,126
1771685322752000,1771685322752000,0.0,126
1771685322756000,1771685322756000,0.0,126
1771685322760000,1771685322760000,0.0,126
1771685322764000,1771685322764000,0.0,126
1771685322768000,1771685322768000,0.0,126
1771685322772000,1771685322772000,0.0,126
1771685322776000,1771685322776000,0.0,126
1771685322780000,1771685322780000,0.0,126
1771685322784000,1771685322784000,0.0,126
1771685322788000,1771685322788000,0.0,126
1771685322792000,1771685322792000,0.0,126
1771685322796000,1771685322796000,0.0,126
1771685322800000,1771685322800000,0.0,126
1771685322804000,1771685322804000,0.0,126
1771685322808000,1771685322808000,0.0,126
1771685322812000,1771685322812000,0.0,126
1771685322816000,1771685322816000,0.0,126
1771685322820000,1771685322820000,0.0,126
1771685322824000,1771685322824000,0.0,126
1771685322828000,1771685322828000,0.0,126
1771685322832000,1771685322832000,0.0,126
1771685322836000,1771685322836000,0.0,126
1771685322840000,1771685322840000,0.0,126
1771685322844000,1771685322844000,0.0,126
1771685322848000,1771685322848000,0.0,126
1771685322852000,1771685322852000,0.0,126
1771685322856000,1771685322856000,0.0,126
1771685322860000,1771685322860000,0.0,126
1771685322864000,1771685322864000,0.0,126
1771685322868000,1771685322868000,0.0,126
1771685322872000,1771685322872000,0.0,126
1771685322876000,1771685322876000,0.0,126
1771685322880000,1771685322880000,0.0,126
1771685322884000,1771685322884000,0.0,126
1771685322888000,1771685322888000,0.0,126
1771685322892000,1771685322892000,0.0,126
1771685322896000,1771685322896000,0.0,126
1771685322900000,1771685322900000,0.0,126
1771685322904000,1771685322904000,0.0,126
1771685322908000,1771685322908000,0.0,126
1771685322912000,1771685322912000,0.0,126
1771685322916000,1771685322916000,0.0,126
1771685322920000,1771685322920000,0.0,126
1771685322924000,1771685322924000,0.0,126
1771685322928000,1771685322928000,0.0,126
1771685322932000,1771685322932000,0.0,126
1771685322936000,1771685322936000,0.0,126
1771685322940000,1771685322940000,0.0,126
1771685322944000,1771685322944000,0.0,126
1771685322948000,1771685322948000,0.0,126
1771685322952000,1771685322952000,0.0,126
1771685322956000,1771685322956000,0.0,126
1771685322960000,1771685322960000,0.0,126
1771685322964000,1771685322964000,0.0,126
1771685322968000,1771685322968000,0.0,126
1771685322972000,1771685322972000,0.0,126
1771685322976000,1771685322976000,0.0,126
1771685322980000,1771685322980000,0.0,126
1771685322984000,1771685322984000,0.0,126
1771685322988000,1771685322988000,0.0,126
1771685322992000,1771685322992000,0.0,126
1771685322996000,1771685322996000,0.0,126
1771685323000000,1771685323000000,0.0,126
1771685323004000,1771685323004000,0.0,126
1771685323008000,1771685323008000,0.0,126
1771685323012000,1771685323012000,0.0,126
1771685323016000,1771685323016000,0.0,126
1771685323020000,1771685323020000,0.0,126
