timestamp,timestamp_sample,pub_timestamp,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,publisher_id,valid
1771685128508000,1771685128508000,1771685128508000,0.49019137,0.00033013494,0.087603405,6.9931297,0.000121934856,6.8739405,163,0
1771685128516000,1771685128516000,1771685128516000,0.49028158,0.0003236615,-0.093876235,7.011441,0.00013965662,6.8952928,163,0
1771685128524000,1771685128524000,1771685128524000,0.4903632,0.00031751013,-0.087237045,7.028898,0.00012030181,6.915607,163,0
1771685128532000,1771685128532000,1771685128532000,0.4904565,0.00031161515,-0.10198006,7.046451,0.00016399009,6.935475,163,0
1771685128540000,1771685128540000,1771685128540000,0.49043792,0.0003059991,0.020824522,7.0627813,6.8223153e-06,6.951322,163,0
1771685128548000,1771685128548000,1771685128548000,0.49038824,0.00030063823,0.0570864,7.0752945,5.117741e-05,6.965501,163,0
1771685128556000,1771685128556000,1771685128556000,0.49049386,0.00029533473,-0.12211465,7.090604,0.0002336737,6.9835443,163,0
1771685128564000,1771685128564000,1771685128564000,0.4905505,0.00029027264,-0.067064814,7.1053505,7.033337e-05,6.9993696,163,0
1771685128572000,1771685128572000,1771685128572000,0.49054798,0.00028539973,0.0030156374,7.1188965,1.4193944e-07,7.012681,163,0
1771685128580000,1771685128580000,1771685128580000,0.49048483,0.00028073625,0.07808803,7.1291933,9.503553e-05,7.023453,163,0
1771685128588000,1771685128588000,1771685128588000,0.49043667,0.0002762668,0.060836196,7.137099,5.761823e-05,7.0339794,163,0
1771685128596000,1771685128596000,1771685128596000,0.49051365,0.0002718283,-0.09769198,7.1488533,0.0001483334,7.0477433,163,0
1771685128604000,1771685128604000,1771685128604000,0.4905788,0.00026757573,-0.08451096,7.1597743,0.00011083687,7.060462,163,0
1771685128612000,1771685128612000,1771685128612000,0.49066964,0.00026346772,-0.12001581,7.1705713,0.00022319304,7.0733624,163,0
1771685128620000,1771685128620000,1771685128620000,0.49068213,0.00025952474,-0.0168316,7.180851,4.383615e-06,7.0830564,163,0
1771685128628000,1771685128628000,1771685128628000,0.4906356,0.00025573495,0.06406017,7.1880445,6.343411e-05,7.0902185,163,0
1771685128636000,1771685128636000,1771685128636000,0.49068743,0.00025195954,-0.0715504,7.196483,7.904261e-05,7.099979,163,0
1771685128644000,1771685128644000,1771685128644000,0.49072433,0.00024833094,-0.051974885,7.203747,4.166641e-05,7.108634,163,0
1771685128652000,1771685128652000,1771685128652000,0.49073467,0.00024481476,-0.01481384,7.2107563,3.3815204e-06,7.115806,163,0
1771685128660000,1771685128660000,1771685128660000,0.4907117,0.00024142931,0.033539236,7.2156115,1.7321705e-05,7.121285,163,0
1771685128668000,1771685128668000,1771685128668000,0.49066654,0.00023816634,0.06713225,7.2188745,6.936659e-05,7.125456,163,0
1771685128676000,1771685128676000,1771685128676000,0.49072126,0.00023490709,-0.08144964,7.2243443,0.000102032245,7.1324563,163,0
1771685128684000,1771685128684000,1771685128684000,0.49074927,0.00023176658,-0.042486027,7.229129,2.7743663e-05,7.13798,163,0
1771685128692000,1771685128692000,1771685128692000,0.49079385,0.00022871568,-0.06861694,7.2332215,7.2325e-05,7.143535,163,0
1771685128700000,1771685128700000,1771685128700000,0.49073374,0.00022577157,0.09422614,7.236715,0.00013631975,7.1449685,163,0
1771685128708000,1771685128708000,1771685128708000,0.49066058,0.0002229273,0.11668156,7.236156,0.00020905185,7.1454496,163,0
1771685128716000,1771685128716000,1771685128716000,0.49069995,0.0002200796,-0.06276453,7.237934,6.0474387e-05,7.149327,163,0
1771685128724000,1771685128724000,1771685128724000,0.49073476,0.00021732954,-0.05646676,7.239821,4.8934526e-05,7.152538,163,0
1771685128732000,1771685128732000,1771685128732000,0.49075037,0.00021465222,-0.025665134,7.241778,1.0106467e-05,7.15457,163,0
