timestamp,pub_timestamp,safe_points_id,publisher_id,is_evaluation_pending,has_vtol_approach,rtl_type,safe_point_index
1771685120920000,1771685120920000,1682734790,96,0,0,1,0
1771685122924000,1771685122924000,1374737382,96,0,0,1,0
1771685124940000,1771685124940000,1374737382,96,0,0,1,0
1771685126956000,1771685126956000,1374737382,96,0,0,1,0
1771685128972000,1771685128972000,1374737382,96,0,0,1,0
1771685130988000,1771685130988000,1374737382,96,0,0,1,0
1771685133004000,1771685133004000,1374737382,96,0,0,1,0
1771685135020000,1771685135020000,1374737382,96,0,0,1,0
1771685137036000,1771685137036000,1374737382,96,0,0,1,0
1771685139052000,1771685139052000,1374737382,96,0,0,1,0
1771685141068000,1771685141068000,1374737382,96,0,0,1,0
1771685143084000,1771685143084000,1374737382,96,0,0,1,0
1771685145100000,1771685145100000,1374737382,96,0,0,1,0
1771685147116000,1771685147116000,1374737382,96,0,0,1,0
1771685149132000,1771685149132000,1374737382,96,0,0,1,0
1771685151148000,1771685151148000,1374737382,96,0,0,1,0
1771685153164000,1771685153164000,1374737382,96,0,0,1,0
1771685155180000,1771685155180000,1374737382,96,0,0,1,0
1771685157196000,1771685157196000,1374737382,96,0,0,1,0
1771685159212000,1771685159212000,1374737382,96,0,0,1,0
1771685161228000,1771685161228000,1374737382,96,0,0,1,0
1771685163244000,1771685163244000,1374737382,96,0,0,1,0
1771685165260000,1771685165260000,1374737382,96,0,0,1,0
1771685167276000,1771685167276000,1374737382,96,0,0,1,0
1771685169292000,1771685169292000,1374737382,96,0,0,1,0
1771685171324000,1771685171324000,1374737382,96,0,0,1,0
1771685173340000,1771685173340000,1374737382,96,0,0,1,0
1771685175356000,1771685175356000,1374737382,96,0,0,1,0
1771685177372000,1771685177372000,1374737382,96,0,0,1,0
1771685179388000,1771685179388000,1374737382,96,0,0,1,0
1771685181404000,1771685181404000,1374737382,96,0,0,1,0
1771685183420000,1771685183420000,1374737382,96,0,0,1,0
1771685185436000,1771685185436000,1374737382,96,0,0,1,0
1771685187452000,1771685187452000,1374737382,96,0,0,1,0
1771685189468000,1771685189468000,1374737382,96,0,0,1,0
1771685191484000,1771685191484000,1374737382,96,0,0,1,0
1771685193500000,1771685193500000,1374737382,96,0,0,1,0
1771685195516000,1771685195516000,1374737382,96,0,0,1,0
1771685197532000,1771685197532000,1374737382,96,0,0,1,0
1771685199548000,1771685199548000,1374737382,96,0,0,1,0
1771685201564000,1771685201564000,1374737382,96,0,0,1,0
1771685203580000,1771685203580000,1374737382,96,0,0,1,0
1771685205596000,1771685205596000,1374737382,96,0,0,1,0
1771685207612000,1771685207612000,1374737382,96,0,0,1,0
1771685209628000,1771685209628000,1374737382,96,0,0,1,0
1771685211644000,1771685211644000,1374737382,96,0,0,1,0
1771685213660000,1771685213660000,1374737382,96,0,0,1,0
1771685215676000,1771685215676000,1374737382,96,0,0,1,0
1771685217692000,1771685217692000,1374737382,96,0,0,1,0
1771685219708000,1771685219708000,1374737382,96,0,0,1,0
1771685221724000,1771685221724000,1374737382,96,0,0,1,0
1771685223740000,1771685223740000,1374737382,96,0,0,1,0
1771685225756000,1771685225756000,1374737382,96,0,0,1,0
1771685226712000,1771685226712000,1374737382,96,0,0,1,0
