timestamp,subscriber_id,topic_id
1771685122640000,0,240
1771685122644000,0,240
1771685122648000,0,240
1771685122652000,0,240
1771685122656000,0,240
1771685122660000,0,240
1771685122664000,0,240
1771685122668000,0,240
1771685122672000,0,240
1771685122676000,0,240
1771685122680000,0,240
1771685122684000,0,240
1771685122688000,0,240
1771685122692000,0,240
1771685122696000,0,240
1771685122700000,0,240
1771685122704000,0,240
1771685122708000,0,240
1771685122712000,0,240
1771685122716000,0,240
1771685122720000,0,240
1771685122724000,0,240
1771685122728000,0,240
1771685122732000,0,240
1771685122736000,0,240
1771685122740000,0,240
1771685122744000,0,240
1771685122748000,0,240
1771685122752000,0,240
1771685122756000,0,240
1771685122760000,0,240
1771685122764000,0,240
1771685122768000,0,240
1771685122772000,0,240
1771685122776000,0,240
1771685122780000,0,240
1771685122784000,0,240
1771685122788000,0,240
1771685122792000,0,240
1771685122796000,0,240
1771685122800000,0,240
1771685122804000,0,240
1771685122808000,0,240
1771685122812000,0,240
1771685122816000,0,240
1771685122820000,0,240
1771685122824000,0,240
1771685122828000,0,240
1771685122832000,0,240
1771685122836000,0,240
1771685122840000,0,240
1771685122844000,0,240
1771685122848000,0,240
1771685122852000,0,240
1771685122856000,0,240
1771685122860000,0,240
1771685122864000,0,240
1771685122868000,0,240
1771685122872000,0,240
1771685122876000,0,240
1771685122880000,0,240
1771685122884000,0,240
1771685122888000,0,240
1771685122892000,0,240
1771685122896000,0,240
1771685122900000,0,240
1771685122904000,0,240
1771685122908000,0,240
1771685122912000,0,240
1771685122916000,0,240
1771685122920000,0,240
1771685122924000,0,240
1771685122928000,0,240
1771685122932000,0,240
1771685122936000,0,240
1771685122940000,0,240
1771685122944000,0,240
1771685122948000,0,240
1771685122952000,0,240
1771685122956000,0,240
1771685122960000,0,240
1771685122964000,0,240
1771685122968000,0,240
1771685122972000,0,240
1771685122976000,0,240
1771685122980000,0,240
1771685122984000,0,240
1771685122988000,0,240
1771685122992000,0,240
1771685122996000,0,240
1771685123000000,0,240
1771685123004000,0,240
1771685123008000,0,240
1771685123012000,0,240
1771685123016000,0,240
1771685123020000,0,240
1771685123024000,0,240
1771685123028000,0,240
1771685123032000,0,240
1771685123036000,0,240
1771685123040000,0,240
1771685123044000,0,240
1771685123048000,0,240
1771685123052000,0,240
1771685123056000,0,240
1771685123060000,0,240
1771685123064000,0,240
1771685123068000,0,240
1771685123072000,0,240
1771685123076000,0,240
1771685123080000,0,240
1771685123084000,0,240
1771685123088000,0,240
1771685123092000,0,240
1771685123096000,0,240
1771685123100000,0,240
1771685123104000,0,240
1771685123108000,0,240
1771685123112000,0,240
1771685123116000,0,240
1771685123120000,0,240
1771685123124000,0,240
1771685123128000,0,240
1771685123132000,0,240
1771685123136000,0,240
1771685123140000,0,240
1771685123144000,0,240
1771685123148000,0,240
1771685123152000,0,240
1771685123156000,0,240
1771685123160000,0,240
1771685123164000,0,240
1771685123168000,0,240
1771685123172000,0,240
1771685123176000,0,240
1771685123180000,0,240
1771685123184000,0,240
1771685123188000,0,240
1771685123192000,0,240
1771685123196000,0,240
1771685123200000,0,240
1771685123204000,0,240
1771685123208000,0,240
1771685123212000,0,240
1771685123216000,0,240
1771685123220000,0,240
1771685123224000,0,240
1771685123228000,0,240
1771685123232000,0,240
1771685123236000,0,240
1771685123240000,0,240
1771685123244000,0,240
1771685123248000,0,240
1771685123252000,0,240
1771685123256000,0,240
1771685123260000,0,240
1771685123264000,0,240
1771685123268000,0,240
1771685123272000,0,240
1771685123276000,0,240
1771685123280000,0,240
1771685123284000,0,240
1771685123288000,0,240
1771685123292000,0,240
1771685123296000,0,240
1771685123300000,0,240
1771685123304000,0,240
1771685123308000,0,240
1771685123312000,0,240
1771685123316000,0,240
1771685123320000,0,240
1771685123324000,0,240
