timestamp,pub_timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,publisher_id,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
1771685122880000,1771685122880000,1.1641532e-10,0.0,-1.1641532e-10,0.0,0.0,-1.1641532e-10,0,27,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685122888000,1771685122888000,-0.00258375,-0.0012048197,-0.0003063601,0.0,0.0,0.0,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685122896000,1771685122896000,0.0,-9.094947e-12,-4.3655746e-11,0.0,0.0,-1.1641532e-10,0,27,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685122904000,1771685122904000,-0.0034000746,0.0,2.910383e-11,0.0,0.0,0.0,0,27,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685122912000,1771685122912000,-0.0030984255,-0.0008356535,6.847904e-05,0.0,0.0,0.0,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685122920000,1771685122920000,-0.0006041596,-0.00094497344,0.00013741614,0.0,0.0,-1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685122928000,1771685122928000,0.00055317883,-1.1641532e-10,8.432805e-05,0.0,0.0,-1.1641532e-10,0,27,1,1,0,0,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1771685122936000,1771685122936000,0.00040841143,-0.0008917735,-0.00013577315,0.0,0.0,-1.1641532e-10,0,27,1,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685122944000,1771685122944000,-0.0024881333,-0.0024481947,-7.839402e-05,0.0,0.0,0.0,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685122952000,1771685122952000,-0.003005566,-0.0008172032,6.674665e-05,0.0,0.0,-1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685122960000,1771685122960000,-0.0020439788,-2.3283064e-10,-8.0541315e-05,0.0,0.0,-1.1641532e-10,0,27,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685122968000,1771685122968000,2.3283064e-10,-1.4551915e-11,-7.2759576e-11,0.0,0.0,-1.1641532e-10,0,27,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685122976000,1771685122976000,-0.0014320306,-0.0038444537,-0.000112876885,0.0,0.0,-1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685122984000,1771685122984000,-0.0012918998,-1.7462298e-10,-0.00012695062,0.0,0.0,-1.1641532e-10,0,27,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685122992000,1771685122992000,-0.0010223747,0.0036062845,-0.00016971306,0.0,0.0,1.1641532e-10,0,27,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1771685123000000,1771685123000000,-0.001186947,-0.00012627477,-0.00011224949,0.0,0.0,-1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123008000,1771685123008000,-0.0028055948,-0.0004902823,-0.00025937916,0.0,0.0,-1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123016000,1771685123016000,-0.004277903,-0.001063017,-0.00026885458,0.0,0.0,1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123024000,1771685123024000,5.820766e-11,-2.910383e-11,-5.820766e-11,0.0,0.0,-1.1641532e-10,0,27,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123032000,1771685123032000,0.00071050366,-0.00013248739,-7.961839e-05,0.0,0.0,0.0,0,27,1,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123040000,1771685123040000,0.00053591543,-0.0021482466,-0.00023680291,0.0,0.0,-1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123048000,1771685123048000,0.00063419703,-0.0012946229,-0.0003572302,0.0,0.0,0.0,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123056000,1771685123056000,5.820766e-11,-2.910383e-11,-5.820766e-11,0.0,0.0,-1.1641532e-10,0,27,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123064000,1771685123064000,-0.0025843682,-0.0015545782,-0.0005918646,0.0,0.0,-2.3283064e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123072000,1771685123072000,-0.00059606676,-0.001412282,-0.000558704,0.0,0.0,-1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123080000,1771685123080000,-1.1641532e-10,-5.820766e-11,-2.910383e-11,0.0,0.0,-1.1641532e-10,0,27,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123088000,1771685123088000,0.0017955551,-2.6660156e-05,-0.00031470426,0.0,0.0,-1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123096000,1771685123096000,-0.0013410177,0.0,-0.00021328281,0.0,0.0,-1.1641532e-10,0,27,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123104000,1771685123104000,-0.0015363212,0.0005266117,-0.00020454304,0.0,0.0,-1.1641532e-10,0,27,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1771685123112000,1771685123112000,1.1641532e-10,-1.1641532e-10,-1.7462298e-10,0.0,0.0,-1.1641532e-10,0,27,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123120000,1771685123120000,-0.0017846473,0.0,1.8189894e-11,0.0,0.0,-1.1641532e-10,0,27,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123128000,1771685123128000,0.0026651325,0.0,1.3096724e-10,0.0,0.0,-1.1641532e-10,0,27,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123136000,1771685123136000,-0.0015810437,-6.2708394e-05,0.00022919197,0.0,0.0,-1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123144000,1771685123144000,-0.0011289506,-9.094947e-11,0.00014285735,0.0,0.0,0.0,0,27,0,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123152000,1771685123152000,-0.0003711818,-0.004578706,0.000121537945,0.0,0.0,-1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123160000,1771685123160000,0.00088301685,-0.0021344994,7.872238e-06,0.0,0.0,0.0,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123168000,1771685123168000,-0.0029453284,0.0020556245,8.317548e-05,0.0,0.0,-1.1641532e-10,0,27,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1771685123176000,1771685123176000,-0.0049063587,-0.0009960405,0.00015339126,0.0,0.0,0.0,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123184000,1771685123184000,-1.7462298e-10,-2.910383e-11,1.4551915e-10,0.0,0.0,-1.1641532e-10,0,27,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123192000,1771685123192000,0.0,0.0,1.4551915e-11,0.0,0.0,-1.1641532e-10,0,27,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123200000,1771685123200000,-0.0010541523,-0.0019889448,0.00020766076,0.0,0.0,-1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123208000,1771685123208000,-0.001651302,-0.00010812981,0.00012930247,0.0,0.0,-1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123216000,1771685123216000,-0.00020104356,5.820766e-11,3.8381062e-05,0.0,0.0,0.0,0,27,1,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123224000,1771685123224000,1.1641532e-10,-2.910383e-11,-5.820766e-11,0.0,0.0,-1.1641532e-10,0,27,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123232000,1771685123232000,-1.7462298e-10,-5.820766e-11,-4.8469625e-05,0.0,0.0,-1.1641532e-10,0,27,1,1,-2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123240000,1771685123240000,-0.0011568693,-0.0025172678,-4.7717593e-05,0.0,0.0,-1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123248000,1771685123248000,-0.0004367059,-0.0007470418,9.786095e-05,0.0,0.0,-1.1641532e-10,0,27,1,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123256000,1771685123256000,-0.0026249446,-2.9562274e-05,5.0419178e-05,0.0,0.0,-1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
