timestamp,pub_timestamp,airspeed_timestamp_rel,airspeed_validated_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel,publisher_id
1771685122640000,1771685122640000,32767,32767,32767,32767,32767,32767,32767,160
1771685122644000,1771685122644000,32767,32767,32767,32767,32767,32767,32767,160
1771685122648000,1771685122648000,32767,32767,32767,32767,32767,32767,32767,160
1771685122652000,1771685122652000,32767,32767,32767,32767,32767,32767,32767,160
1771685122656000,1771685122656000,32767,32767,32767,32767,32767,32767,32767,160
1771685122660000,1771685122660000,32767,32767,32767,32767,32767,32767,32767,160
1771685122664000,1771685122664000,32767,32767,32767,32767,0,32767,32767,160
1771685122668000,1771685122668000,32767,32767,32767,32767,32767,32767,32767,160
1771685122672000,1771685122672000,32767,32767,32767,32767,32767,32767,32767,160
1771685122676000,1771685122676000,32767,32767,32767,32767,32767,32767,32767,160
1771685122680000,1771685122680000,32767,32767,32767,32767,32767,0,32767,160
1771685122684000,1771685122684000,32767,32767,32767,32767,32767,0,32767,160
1771685122688000,1771685122688000,32767,32767,32767,32767,32767,32767,32767,160
1771685122692000,1771685122692000,32767,32767,32767,32767,32767,32767,32767,160
1771685122696000,1771685122696000,32767,32767,32767,32767,32767,32767,32767,160
1771685122700000,1771685122700000,32767,32767,32767,32767,32767,32767,32767,160
1771685122704000,1771685122704000,32767,32767,32767,32767,32767,32767,32767,160
1771685122708000,1771685122708000,32767,32767,32767,32767,32767,32767,32767,160
1771685122712000,1771685122712000,32767,32767,32767,32767,32767,32767,32767,160
1771685122716000,1771685122716000,32767,32767,32767,32767,0,32767,32767,160
1771685122720000,1771685122720000,32767,32767,32767,32767,32767,32767,32767,160
1771685122724000,1771685122724000,32767,32767,32767,32767,32767,32767,32767,160
1771685122728000,1771685122728000,32767,32767,32767,32767,32767,32767,32767,160
1771685122732000,1771685122732000,32767,32767,32767,32767,32767,32767,32767,160
1771685122736000,1771685122736000,32767,32767,32767,32767,32767,32767,32767,160
1771685122740000,1771685122740000,32767,32767,32767,32767,32767,32767,32767,160
1771685122744000,1771685122744000,32767,32767,32767,32767,32767,32767,32767,160
1771685122748000,1771685122748000,32767,32767,32767,32767,32767,32767,32767,160
1771685122752000,1771685122752000,32767,32767,32767,32767,32767,32767,32767,160
1771685122756000,1771685122756000,32767,32767,32767,32767,32767,32767,32767,160
1771685122760000,1771685122760000,32767,32767,32767,32767,32767,32767,32767,160
1771685122764000,1771685122764000,32767,32767,32767,32767,32767,32767,32767,160
1771685122768000,1771685122768000,32767,32767,32767,32767,0,32767,32767,160
1771685122772000,1771685122772000,32767,32767,32767,32767,32767,32767,32767,160
1771685122776000,1771685122776000,32767,32767,32767,32767,32767,32767,32767,160
1771685122780000,1771685122780000,32767,32767,32767,32767,32767,32767,32767,160
1771685122784000,1771685122784000,32767,32767,32767,32767,32767,32767,32767,160
1771685122788000,1771685122788000,32767,32767,32767,32767,32767,32767,32767,160
1771685122792000,1771685122792000,32767,32767,32767,32767,32767,32767,32767,160
1771685122796000,1771685122796000,32767,32767,32767,32767,32767,32767,32767,160
1771685122800000,1771685122800000,32767,32767,32767,32767,32767,32767,32767,160
1771685122804000,1771685122804000,32767,32767,32767,32767,32767,32767,32767,160
1771685122808000,1771685122808000,32767,32767,32767,32767,32767,32767,32767,160
1771685122812000,1771685122812000,32767,32767,32767,32767,32767,32767,32767,160
1771685122816000,1771685122816000,32767,32767,32767,32767,32767,0,32767,160
1771685122820000,1771685122820000,32767,32767,32767,32767,0,0,32767,160
1771685122824000,1771685122824000,32767,32767,32767,32767,32767,32767,32767,160
1771685122828000,1771685122828000,32767,32767,32767,32767,32767,32767,32767,160
1771685122832000,1771685122832000,32767,32767,32767,32767,32767,32767,32767,160
1771685122836000,1771685122836000,32767,32767,32767,32767,32767,32767,32767,160
1771685122840000,1771685122840000,32767,32767,32767,32767,32767,32767,32767,160
1771685122844000,1771685122844000,32767,32767,32767,32767,32767,32767,32767,160
1771685122848000,1771685122848000,32767,32767,32767,32767,32767,32767,32767,160
1771685122852000,1771685122852000,32767,32767,32767,32767,32767,32767,32767,160
1771685122856000,1771685122856000,32767,32767,32767,32767,32767,32767,32767,160
1771685122860000,1771685122860000,32767,32767,32767,32767,32767,32767,32767,160
1771685122864000,1771685122864000,32767,32767,32767,32767,32767,32767,32767,160
1771685122868000,1771685122868000,32767,32767,32767,32767,32767,32767,32767,160
1771685122872000,1771685122872000,32767,32767,32767,32767,0,32767,32767,160
1771685122876000,1771685122876000,32767,32767,32767,32767,32767,32767,32767,160
1771685122880000,1771685122880000,32767,32767,32767,32767,32767,32767,32767,160
1771685122884000,1771685122884000,32767,32767,32767,32767,32767,32767,32767,160
1771685122888000,1771685122888000,32767,32767,32767,32767,32767,32767,32767,160
1771685122892000,1771685122892000,32767,32767,32767,32767,32767,32767,32767,160
1771685122896000,1771685122896000,32767,32767,32767,32767,32767,32767,32767,160
1771685122900000,1771685122900000,32767,32767,32767,32767,32767,32767,32767,160
1771685122904000,1771685122904000,32767,32767,32767,32767,32767,32767,32767,160
1771685122908000,1771685122908000,32767,32767,32767,32767,32767,32767,32767,160
1771685122912000,1771685122912000,32767,32767,32767,32767,32767,32767,32767,160
1771685122916000,1771685122916000,32767,32767,32767,32767,32767,32767,32767,160
1771685122920000,1771685122920000,32767,32767,32767,32767,32767,32767,32767,160
1771685122924000,1771685122924000,32767,32767,32767,32767,0,32767,32767,160
1771685122928000,1771685122928000,32767,32767,32767,32767,32767,32767,32767,160
1771685122932000,1771685122932000,32767,32767,32767,32767,32767,32767,32767,160
1771685122936000,1771685122936000,32767,32767,32767,32767,32767,32767,32767,160
1771685122940000,1771685122940000,32767,32767,32767,32767,32767,32767,32767,160
1771685122944000,1771685122944000,32767,32767,32767,32767,32767,32767,32767,160
1771685122948000,1771685122948000,32767,32767,32767,32767,32767,32767,32767,160
1771685122952000,1771685122952000,32767,32767,32767,32767,32767,0,32767,160
1771685122956000,1771685122956000,32767,32767,32767,32767,32767,0,32767,160
1771685122960000,1771685122960000,32767,32767,32767,32767,32767,32767,32767,160
1771685122964000,1771685122964000,32767,32767,32767,32767,32767,32767,32767,160
1771685122968000,1771685122968000,32767,32767,32767,32767,32767,32767,32767,160
1771685122972000,1771685122972000,32767,32767,32767,32767,32767,32767,32767,160
1771685122976000,1771685122976000,32767,32767,32767,32767,0,32767,32767,160
1771685122980000,1771685122980000,32767,32767,32767,32767,32767,32767,32767,160
1771685122984000,1771685122984000,32767,32767,32767,32767,32767,32767,32767,160
1771685122988000,1771685122988000,32767,32767,32767,32767,32767,32767,32767,160
1771685122992000,1771685122992000,32767,32767,32767,32767,32767,32767,32767,160
1771685122996000,1771685122996000,32767,32767,32767,32767,32767,32767,32767,160
1771685123000000,1771685123000000,32767,32767,32767,32767,32767,32767,32767,160
1771685123004000,1771685123004000,32767,32767,32767,32767,32767,32767,32767,160
1771685123008000,1771685123008000,32767,32767,32767,32767,32767,32767,32767,160
1771685123012000,1771685123012000,32767,32767,32767,32767,32767,32767,32767,160
1771685123016000,1771685123016000,32767,32767,32767,32767,32767,32767,32767,160
1771685123020000,1771685123020000,32767,32767,32767,32767,32767,32767,32767,160
1771685123024000,1771685123024000,32767,32767,32767,32767,32767,32767,32767,160
1771685123028000,1771685123028000,32767,32767,32767,32767,0,32767,32767,160
1771685123032000,1771685123032000,32767,32767,32767,32767,32767,32767,32767,160
1771685123036000,1771685123036000,32767,32767,32767,32767,32767,32767,32767,160
1771685123040000,1771685123040000,32767,32767,32767,32767,32767,32767,32767,160
1771685123044000,1771685123044000,32767,32767,32767,32767,32767,32767,32767,160
1771685123048000,1771685123048000,32767,32767,32767,32767,32767,32767,32767,160
1771685123052000,1771685123052000,32767,32767,32767,32767,32767,32767,32767,160
1771685123056000,1771685123056000,32767,32767,32767,32767,32767,32767,32767,160
1771685123060000,1771685123060000,32767,32767,32767,32767,32767,32767,32767,160
1771685123064000,1771685123064000,32767,32767,32767,32767,32767,32767,32767,160
1771685123068000,1771685123068000,32767,32767,32767,32767,32767,32767,32767,160
1771685123072000,1771685123072000,32767,32767,32767,32767,32767,32767,32767,160
1771685123076000,1771685123076000,32767,32767,32767,32767,32767,32767,32767,160
1771685123080000,1771685123080000,32767,32767,32767,32767,0,32767,32767,160
1771685123084000,1771685123084000,32767,32767,32767,32767,32767,32767,32767,160
1771685123088000,1771685123088000,32767,32767,32767,32767,32767,0,32767,160
1771685123092000,1771685123092000,32767,32767,32767,32767,32767,0,32767,160
1771685123096000,1771685123096000,32767,32767,32767,32767,32767,32767,32767,160
1771685123100000,1771685123100000,32767,32767,32767,32767,32767,32767,32767,160
1771685123104000,1771685123104000,32767,32767,32767,32767,32767,32767,32767,160
1771685123108000,1771685123108000,32767,32767,32767,32767,32767,32767,32767,160
1771685123112000,1771685123112000,32767,32767,32767,32767,32767,32767,32767,160
1771685123116000,1771685123116000,32767,32767,32767,32767,32767,32767,32767,160
1771685123120000,1771685123120000,32767,32767,32767,32767,32767,32767,32767,160
1771685123124000,1771685123124000,32767,32767,32767,32767,32767,32767,32767,160
1771685123128000,1771685123128000,32767,32767,32767,32767,32767,32767,32767,160
1771685123132000,1771685123132000,32767,32767,32767,32767,0,32767,32767,160
1771685123136000,1771685123136000,32767,32767,32767,32767,32767,32767,32767,160
1771685123140000,1771685123140000,32767,32767,32767,32767,32767,32767,32767,160
1771685123144000,1771685123144000,32767,32767,32767,32767,32767,32767,32767,160
1771685123148000,1771685123148000,32767,32767,32767,32767,32767,32767,32767,160
1771685123152000,1771685123152000,32767,32767,32767,32767,32767,32767,32767,160
1771685123156000,1771685123156000,32767,32767,32767,32767,32767,32767,32767,160
1771685123160000,1771685123160000,32767,32767,32767,32767,32767,32767,32767,160
1771685123164000,1771685123164000,32767,32767,32767,32767,32767,32767,32767,160
1771685123168000,1771685123168000,32767,32767,32767,32767,32767,32767,32767,160
1771685123172000,1771685123172000,32767,32767,32767,32767,32767,32767,32767,160
1771685123176000,1771685123176000,32767,32767,32767,32767,32767,32767,32767,160
1771685123180000,1771685123180000,32767,32767,32767,32767,32767,32767,32767,160
1771685123184000,1771685123184000,32767,32767,32767,32767,0,32767,32767,160
1771685123188000,1771685123188000,32767,32767,32767,32767,32767,32767,32767,160
1771685123192000,1771685123192000,32767,32767,32767,32767,32767,32767,32767,160
1771685123196000,1771685123196000,32767,32767,32767,32767,32767,32767,32767,160
1771685123200000,1771685123200000,32767,32767,32767,32767,32767,32767,32767,160
1771685123204000,1771685123204000,32767,32767,32767,32767,32767,32767,32767,160
1771685123208000,1771685123208000,32767,32767,32767,32767,32767,32767,32767,160
