timestamp,pub_timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2],publisher_id
1771685122808000,1771685122808000,1771685122808000,-0.0026736697,0.0048257057,-0.0080574835,0.09007527,-0.10367696,-1.021937,126
1771685122812000,1771685122812000,1771685122812000,0.0020816932,0.0070700883,-0.007026188,0.4576246,0.11869689,-0.59384274,126
1771685122816000,1771685122816000,1771685122816000,0.009392952,0.011985549,-0.0056823,0.91596854,0.49006057,-0.28280932,126
1771685122820000,1771685122820000,1771685122820000,0.0127895055,0.009918592,-0.0019445643,0.89361316,0.15327483,0.124372065,126
1771685122824000,1771685122824000,1771685122824000,0.009353673,0.003421103,0.0020821688,0.3073585,-0.44136792,0.41951504,126
1771685122828000,1771685122828000,1771685122828000,0.0030949274,-0.00072697323,0.0015189752,-0.31886148,-0.6406199,0.23208392,126
1771685122832000,1771685122832000,1771685122832000,-0.0025600533,-0.0029546353,-0.00095864665,-0.6851123,-0.6126198,-0.052748766,126
1771685122836000,1771685122836000,1771685122836000,-0.005549516,-0.0038672243,-0.001550245,-0.7059368,-0.48400944,-0.08457778,126
1771685122840000,1771685122840000,1771685122840000,-0.005044983,-0.0034530794,-0.00039320925,-0.42760006,-0.28746885,0.04047477,126
1771685122844000,1771685122844000,1771685122844000,-0.0041069193,-0.0063506914,0.0011517036,-0.20611489,-0.4336282,0.15613316,126
1771685122848000,1771685122848000,1771685122848000,-0.004223991,-0.010412082,0.0020512447,-0.14695762,-0.62821984,0.17913151,126
1771685122852000,1771685122852000,1771685122852000,-0.0036103958,-0.0094648935,0.0035035105,-0.046485037,-0.338862,0.2406598,126
1771685122856000,1771685122856000,1771685122856000,-0.0019306486,-0.0053275805,0.0034770048,0.10953829,0.120485425,0.15793979,126
1771685122860000,1771685122860000,1771685122860000,-0.00080350606,-0.00031338786,-0.0010870501,0.16715693,0.49950752,-0.27657467,126
1771685122864000,1771685122864000,1771685122864000,-0.0013998528,0.00154291,-0.0061554844,0.061369926,0.48765475,-0.6079193,126
1771685122868000,1771685122868000,1771685122868000,-0.003942125,-0.0014180241,-0.00530876,-0.17176358,0.07691241,-0.3337538,126
