timestamp,ping_time,pub_timestamp,ping_sequence,dropped_packets,rtt_ms,system_id,component_id,publisher_id
1771685225812000,1771685225812000,0,301,0,0.0,245,190,0
1771685226812000,1771685226812000,0,302,0,0.0,245,190,0
1771685227812000,1771685227812000,0,303,0,0.0,245,190,0
1771685228812000,1771685228812000,0,304,0,0.0,245,190,0
1771685229812000,1771685229812000,0,305,0,0.0,245,190,0
1771685230812000,1771685230812000,0,306,0,0.0,245,190,0
1771685231812000,1771685231812000,0,307,0,0.0,245,190,0
1771685232812000,1771685232812000,0,308,0,0.0,245,190,0
1771685233812000,1771685233812000,0,309,0,0.0,245,190,0
1771685234812000,1771685234812000,0,310,0,0.0,245,190,0
1771685235812000,1771685235812000,0,311,0,0.0,245,190,0
1771685236812000,1771685236812000,0,312,0,0.0,245,190,0
1771685237812000,1771685237812000,0,313,0,0.0,245,190,0
1771685238812000,1771685238812000,0,314,0,0.0,245,190,0
1771685239812000,1771685239812000,0,315,0,0.0,245,190,0
1771685240812000,1771685240812000,0,316,0,0.0,245,190,0
1771685241812000,1771685241812000,0,317,0,0.0,245,190,0
1771685242812000,1771685242812000,0,318,0,0.0,245,190,0
1771685243812000,1771685243812000,0,319,0,0.0,245,190,0
1771685244812000,1771685244812000,0,320,0,0.0,245,190,0
1771685245812000,1771685245812000,0,321,0,0.0,245,190,0
1771685246812000,1771685246812000,0,322,0,0.0,245,190,0
1771685247812000,1771685247812000,0,323,0,0.0,245,190,0
1771685248812000,1771685248812000,0,324,0,0.0,245,190,0
1771685249812000,1771685249812000,0,325,0,0.0,245,190,0
1771685250812000,1771685250812000,0,326,0,0.0,245,190,0
1771685251812000,1771685251812000,0,327,0,0.0,245,190,0
1771685252812000,1771685252812000,0,328,0,0.0,245,190,0
1771685253812000,1771685253812000,0,329,0,0.0,245,190,0
1771685254812000,1771685254812000,0,330,0,0.0,245,190,0
1771685255812000,1771685255812000,0,331,0,0.0,245,190,0
1771685256812000,1771685256812000,0,332,0,0.0,245,190,0
1771685257812000,1771685257812000,0,333,0,0.0,245,190,0
1771685258812000,1771685258812000,0,334,0,0.0,245,190,0
1771685259812000,1771685259812000,0,335,0,0.0,245,190,0
1771685260812000,1771685260812000,0,336,0,0.0,245,190,0
1771685261812000,1771685261812000,0,337,0,0.0,245,190,0
1771685262812000,1771685262812000,0,338,0,0.0,245,190,0
1771685263812000,1771685263812000,0,339,0,0.0,245,190,0
1771685264812000,1771685264812000,0,340,0,0.0,245,190,0
1771685265812000,1771685265812000,0,341,0,0.0,245,190,0
1771685266812000,1771685266812000,0,342,0,0.0,245,190,0
1771685267812000,1771685267812000,0,343,0,0.0,245,190,0
1771685268812000,1771685268812000,0,344,0,0.0,245,190,0
1771685269812000,1771685269812000,0,345,0,0.0,245,190,0
1771685270812000,1771685270812000,0,346,0,0.0,245,190,0
1771685271812000,1771685271812000,0,347,0,0.0,245,190,0
1771685272812000,1771685272812000,0,348,0,0.0,245,190,0
1771685273812000,1771685273812000,0,349,0,0.0,245,190,0
1771685274812000,1771685274812000,0,350,0,0.0,245,190,0
1771685275812000,1771685275812000,0,351,0,0.0,245,190,0
1771685276812000,1771685276812000,0,352,0,0.0,245,190,0
1771685277812000,1771685277812000,0,353,0,0.0,245,190,0
1771685278812000,1771685278812000,0,354,0,0.0,245,190,0
1771685279812000,1771685279812000,0,355,0,0.0,245,190,0
1771685280812000,1771685280812000,0,356,0,0.0,245,190,0
1771685281812000,1771685281812000,0,357,0,0.0,245,190,0
1771685282812000,1771685282812000,0,358,0,0.0,245,190,0
1771685283812000,1771685283812000,0,359,0,0.0,245,190,0
1771685284812000,1771685284812000,0,360,0,0.0,245,190,0
1771685285812000,1771685285812000,0,361,0,0.0,245,190,0
1771685286812000,1771685286812000,0,362,0,0.0,245,190,0
1771685287812000,1771685287812000,0,363,0,0.0,245,190,0
1771685288812000,1771685288812000,0,364,0,0.0,245,190,0
1771685289812000,1771685289812000,0,365,0,0.0,245,190,0
1771685290812000,1771685290812000,0,366,0,0.0,245,190,0
1771685291812000,1771685291812000,0,367,0,0.0,245,190,0
1771685292812000,1771685292812000,0,368,0,0.0,245,190,0
1771685293812000,1771685293812000,0,369,0,0.0,245,190,0
1771685294812000,1771685294812000,0,370,0,0.0,245,190,0
1771685295812000,1771685295812000,0,371,0,0.0,245,190,0
1771685296812000,1771685296812000,0,372,0,0.0,245,190,0
1771685297812000,1771685297812000,0,373,0,0.0,245,190,0
1771685298812000,1771685298812000,0,374,0,0.0,245,190,0
1771685299812000,1771685299812000,0,375,0,0.0,245,190,0
1771685300812000,1771685300812000,0,376,0,0.0,245,190,0
1771685301812000,1771685301812000,0,377,0,0.0,245,190,0
1771685302812000,1771685302812000,0,378,0,0.0,245,190,0
1771685303812000,1771685303812000,0,379,0,0.0,245,190,0
1771685304812000,1771685304812000,0,380,0,0.0,245,190,0
1771685305812000,1771685305812000,0,381,0,0.0,245,190,0
1771685306812000,1771685306812000,0,382,0,0.0,245,190,0
1771685307812000,1771685307812000,0,383,0,0.0,245,190,0
1771685308812000,1771685308812000,0,384,0,0.0,245,190,0
1771685309812000,1771685309812000,0,385,0,0.0,245,190,0
1771685310812000,1771685310812000,0,386,0,0.0,245,190,0
1771685311812000,1771685311812000,0,387,0,0.0,245,190,0
1771685312812000,1771685312812000,0,388,0,0.0,245,190,0
1771685313812000,1771685313812000,0,389,0,0.0,245,190,0
1771685314812000,1771685314812000,0,390,0,0.0,245,190,0
1771685315812000,1771685315812000,0,391,0,0.0,245,190,0
1771685316812000,1771685316812000,0,392,0,0.0,245,190,0
1771685317812000,1771685317812000,0,393,0,0.0,245,190,0
1771685318812000,1771685318812000,0,394,0,0.0,245,190,0
1771685319812000,1771685319812000,0,395,0,0.0,245,190,0
1771685320812000,1771685320812000,0,396,0,0.0,245,190,0
1771685321812000,1771685321812000,0,397,0,0.0,245,190,0
1771685322812000,1771685322812000,0,398,0,0.0,245,190,0
