timestamp,pub_timestamp,publisher_id,led_mask,color,mode,num_blinks,priority
1771685120920000,1771685120920000,93,255,1,5,0,0
1771685121628000,1771685121628000,93,255,2,5,0,0
1771685122336000,1771685122336000,93,255,2,6,0,0
1771685122636000,1771685122636000,93,255,2,6,0,0
1771685122636000,1771685122636000,93,255,2,1,0,0
1771685122660000,1771685122660000,93,255,2,1,0,0
1771685171224000,1771685171224000,93,255,2,1,0,0
1771685171224000,1771685171224000,93,255,2,1,0,0
1771685171224000,1771685171224000,93,255,2,1,0,0
1771685226700000,1771685226700000,93,255,2,1,0,0
1771685226724000,1771685226724000,93,255,2,1,0,0
1771685226724000,1771685226724000,93,255,2,1,0,0
1771685226724000,1771685226724000,93,255,2,1,0,0
1771685226724000,1771685226724000,93,255,2,1,0,0
1771685226724000,1771685226724000,93,255,2,1,0,0
1771685226724000,1771685226724000,93,255,2,1,0,0
1771685320780000,1771685320780000,93,255,2,1,0,0
1771685322736000,1771685322736000,93,255,8,5,0,0
1771685323444000,1771685323444000,93,255,2,6,0,0
