timestamp,timestamp_sample,pub_timestamp,device_id,bias,bias_var,innov,innov_var,innov_test_ratio,publisher_id
1771685125284000,1771685125132000,0,6620172,0.081618205,0.103337884,-0.122752726,12.367077,0.00013537944,0
1771685125340000,1771685125184000,0,6620172,0.080308765,0.10340491,-0.15528764,12.367173,0.00021665107,0
1771685125388000,1771685125236000,0,6620172,0.07952349,0.103337884,-0.09318718,12.367077,7.801943e-05,0
1771685125444000,1771685125288000,0,6620172,0.07873892,0.10340491,-0.093042776,12.367173,7.7777215e-05,0
1771685125492000,1771685125340000,0,6620172,0.07795659,0.103337884,-0.09283804,12.367077,7.74359e-05,0
1771685125548000,1771685125392000,0,6620172,0.07701642,0.10340491,-0.111495405,12.367173,0.00011168658,0
1771685125596000,1771685125444000,0,6620172,0.076081954,0.103337884,-0.11089093,12.367077,0.0001104797,0
1771685125652000,1771685125496000,0,6620172,0.07550526,0.10340491,-0.068391524,12.367173,4.202344e-05,0
1771685125700000,1771685125548000,0,6620172,0.07421835,0.103337884,-0.15271473,12.367077,0.00020953293,0
1771685125756000,1771685125600000,0,6620172,0.07317306,0.10340491,-0.123962,12.367173,0.00013805884,0
1771685125804000,1771685125652000,0,6620172,0.07209379,0.103337884,-0.12807418,12.367077,0.00014737154,0
1771685125860000,1771685125704000,0,6620172,0.0708186,0.10340491,-0.15122586,12.367173,0.00020546565,0
1771685125908000,1771685125756000,0,6620172,0.0702244,0.103337884,-0.07051343,12.367077,4.4671862e-05,0
1771685125964000,1771685125808000,0,6620172,0.069273256,0.10340491,-0.11279642,12.367173,0.00011430828,0
1771685126012000,1771685125860000,0,6620172,0.067613505,0.103337884,-0.19695881,12.367077,0.00034853088,0
1771685126068000,1771685125912000,0,6620172,0.06687224,0.10340491,-0.087907694,12.367173,6.9428985e-05,0
1771685126116000,1771685125964000,0,6620172,0.06589596,0.103337884,-0.11585295,12.367077,0.00012058814,0
1771685126172000,1771685126016000,0,6620172,0.064842105,0.10340491,-0.12497799,12.367173,0.00014033116,0
1771685126220000,1771685126068000,0,6620172,0.0639516,0.103337884,-0.105674624,12.367077,0.00010033024,0
1771685126276000,1771685126120000,0,6620172,0.063181765,0.10340491,-0.09129535,12.367173,7.4883195e-05,0
1771685126324000,1771685126172000,0,6620172,0.062255614,0.103337884,-0.10990418,12.367077,0.000108522254,0
1771685126380000,1771685126224000,0,6620172,0.061566986,0.10340491,-0.08166479,12.367173,5.991793e-05,0
1771685126428000,1771685126276000,0,6620172,0.06111786,0.103337884,-0.053296722,12.367077,2.5520632e-05,0
1771685126484000,1771685126328000,0,6620172,0.060351077,0.10340491,-0.09093353,12.367173,7.4290816e-05,0
1771685126532000,1771685126380000,0,6620172,0.058994107,0.103337884,-0.16102856,12.367077,0.00023296798,0
1771685126588000,1771685126432000,0,6620172,0.058434375,0.10340491,-0.06637936,12.367173,3.9587052e-05,0
1771685126636000,1771685126484000,0,6620172,0.057321407,0.103337884,-0.13207328,12.367077,0.00015671852,0
