timestamp,pub_timestamp,latitude,longitude,time_inside,acceptance_radius,loiter_radius,yaw,altitude,sequence_current,nav_cmd,publisher_id,frame,origin,loiter_exit_xtrack,force_heading,altitude_is_relative,autocontinue,vtol_back_transition
1771685122672000,1771685122672000,47.397743,8.545593,0.0,0.0,0.0,nan,552.7682,0,22,96,0,0,0,0,0,1,0
1771685155228000,1771685155228000,47.398125,8.544859,0.0,0.0,0.0,nan,64.767,0,16,96,0,0,0,0,1,1,0
1771685171212000,1771685171212000,47.396408,8.547355,0.0,2.0,0.0,nan,552.7682,1,16,96,0,0,0,0,0,1,0
1771685226660000,1771685226660000,47.396408,8.547355,0.0,0.0,0.0,nan,0.0,1,21,96,0,0,0,0,1,1,0
1771685226724000,1771685226724000,47.39642,8.547337,0.0,2.0,80.0,2.3483584,552.75244,0,31,96,1,0,0,0,0,1,0
1771685226780000,1771685226780000,47.397743,8.545594,0.0,2.0,80.0,nan,552.75244,1,16,96,1,0,0,0,0,1,0
1771685268604000,1771685268604000,47.397743,8.545594,0.0,2.0,80.0,-0.0006290078,488.0012,7,21,96,1,0,0,0,0,1,0
1771685320772000,1771685320772000,47.397743,8.545594,0.0,2.0,80.0,nan,488.0012,8,0,96,1,0,0,0,0,1,0
