timestamp,timestamp_sample,pub_timestamp,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate,publisher_id
1771685725508000,1771685725356000,1771685725508000,-0.002813821,-0.011659816,-0.03417077,0.009753061,0.0005458956,0.04711914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06951904,0.0,0.0,0.0,0.0,0.0032141376,0.0032141376,-0.0018480797,-0.0036932826,0.0009195828,0.0014413486,5.364418e-06,0.0,0.0,0.0,0.0,0.0,0.0,160
1771685725516000,1771685725364000,1771685725516000,-0.002813821,-0.011659816,-0.03417077,0.009753061,0.0005458956,0.04711914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06951904,0.0,0.0,0.0,0.0,0.0019354224,-0.00065076223,-0.0030689095,0.0019354224,0.0033243874,-0.0032122962,-1.0371208e-05,0.0,0.0,0.0,0.0,0.0,0.0,160
1771685725524000,1771685725372000,1771685725524000,-0.002813821,-0.011659816,-0.03417077,0.009753061,0.0005458956,0.04711914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.090026855,0.0,0.0,0.0,0.0,0.0019354224,-0.00065076223,-0.0030689095,0.0019354224,0.0014740288,0.0021147218,7.212162e-06,0.0,0.0,0.0,0.0,0.0,0.0,160
1771685725532000,1771685725380000,1771685725532000,-0.002813821,-0.011659816,-0.03417077,0.009753061,0.0005458956,0.04711914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.090026855,0.0,0.0,0.0,0.0,0.0019354224,-0.00065076223,-0.0030689095,0.0019354224,0.0016914809,-0.003060819,-9.536743e-06,0.0,0.0,0.0,0.0,0.0,0.0,160
1771685725540000,1771685725388000,1771685725540000,-0.002813821,-0.011659816,-0.03417077,0.009753061,0.0005458956,0.04711914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.090026855,0.0,0.0,0.0,0.0,0.0019354224,-0.00065076223,-0.0030689095,0.0019354224,-0.00052920496,0.0023622569,1.9073486e-06,0.0,0.0,0.0,0.0,0.0,0.0,160
1771685725548000,1771685725396000,1771685725548000,-0.0032386286,-0.011358015,-0.034541517,-0.0017252631,0.00042091112,0.06112671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.090026855,0.0,0.0,0.0,0.0,0.0019354224,-0.00065076223,-0.0030689095,0.0019354224,-0.0013070733,0.0022269445,-1.3113022e-06,0.0,0.0,0.0,0.0,0.0,0.0,160
1771685725556000,1771685725404000,1771685725556000,-0.0032386286,-0.011358015,-0.034541517,-0.0017252631,0.00042091112,0.06112671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.090026855,0.0,0.0,0.0,0.0,0.0019354224,-0.00065076223,-0.0030689095,0.0019354224,-0.0031755636,-0.0024613985,-2.4318695e-05,0.0,0.0,0.0,0.0,0.0,0.0,160
1771685725564000,1771685725412000,1771685725564000,-0.0032386286,-0.011358015,-0.034541517,-0.0017252631,0.00042091112,0.06112671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.090026855,0.0,0.0,0.0,0.0,0.0019354224,-0.00065076223,-0.0030689095,0.0019354224,-0.0005642383,-0.001172049,-5.7816505e-06,0.0,0.0,0.0,0.0,0.0,0.0,160
1771685725572000,1771685725420000,1771685725572000,-0.0032386286,-0.011358015,-0.034541517,-0.0017252631,0.00042091112,0.06112671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09161377,0.0,0.0,0.0,0.0,0.0019354224,-0.00065076223,-0.0030689095,0.0019354224,-0.0015453934,0.0033267187,-2.3841858e-06,0.0,0.0,0.0,0.0,0.0,0.0,160
1771685725580000,1771685725428000,1771685725580000,-0.0032386286,-0.011358015,-0.034541517,-0.0017252631,0.00042091112,0.06112671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09161377,0.0,0.0,0.0,0.0,0.0019354224,-0.00065076223,-0.0030689095,0.0019354224,-0.0037250507,0.006774452,-2.2530556e-05,0.0,0.0,0.0,0.0,0.0,0.0,160
