timestamp,timestamp_sample,pub_timestamp,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,hdg_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,solution_status_flags,publisher_id,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_height,pre_flt_fail_innov_pos_horiz,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
1771685725516000,1771685725364000,1771685725516000,17764060236391,5.7116675e-05,0.007817172,0.020661071,0,0.12069323,0.113246955,0.013659092,0.013828261,0.0037615541,0.0114836795,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.162247,63.1572,0.4793879,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725524000,1771685725372000,1771685725524000,17764060236391,5.621306e-05,0.0077922265,0.020751758,0,0.12110078,0.113438934,0.013659092,0.013828261,0.0037615541,0.011453191,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.162247,63.1572,0.4793879,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725532000,1771685725380000,1771685725532000,17764060236391,5.5391898e-05,0.007742214,0.02074734,0,0.12151111,0.11369074,0.013659092,0.013828261,0.0037615541,0.011453191,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.162247,63.1572,0.4793879,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725540000,1771685725388000,1771685725540000,17764060236391,5.4491717e-05,0.007692895,0.020741003,0,0.121924184,0.11394338,0.013659092,0.013828261,0.0037615541,0.011453191,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.162247,63.1572,0.4793879,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725548000,1771685725396000,1771685725548000,17764060236391,6.448586e-05,0.007759976,0.019997962,0,0.119691506,0.112624206,0.013659092,0.013969306,0.003573909,0.011405222,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.162247,63.1572,0.4793879,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725556000,1771685725404000,1771685725556000,17764060236391,6.764963e-05,0.0077009858,0.02000965,0,0.120091915,0.11287322,0.013659092,0.013969306,0.003573909,0.011405222,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.162247,63.1572,0.4793879,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725564000,1771685725412000,1771685725564000,17764060236391,6.684527e-05,0.0076497183,0.020020194,0,0.12049543,0.11312308,0.013659092,0.013969306,0.003573909,0.011405222,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.162247,63.1572,0.4793879,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725572000,1771685725420000,1771685725572000,17764060236391,6.614937e-05,0.0076255184,0.02011771,0,0.1209017,0.113314845,0.013659092,0.013969306,0.003573909,0.011381182,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.162247,63.1572,0.4793879,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725580000,1771685725428000,1771685725580000,17764060236391,6.555622e-05,0.007576028,0.020118529,0,0.12131071,0.11356624,0.013659092,0.013969306,0.003573909,0.011381182,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.162247,63.1572,0.4793879,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725588000,1771685725436000,1771685725588000,17764060236391,0.00021319783,0.007530288,0.020116998,0,0.12172006,0.11381848,0.020902757,0.013969306,0.003573909,0.011381182,nan,nan,nan,0.0,1310988,1310988,6620172,197388,64.1407,63.1572,0.47344455,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725596000,1771685725444000,1771685725596000,17764060236391,0.00021387552,0.007481894,0.020112008,0,0.122134544,0.11407155,0.020902757,0.013969306,0.003573909,0.011381182,nan,nan,nan,0.0,1310988,1310988,6620172,197388,64.1407,63.1572,0.47344455,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725604000,1771685725452000,1771685725604000,17764060236391,0.00021469119,0.007578319,0.01944409,0,0.11988702,0.11274726,0.020902757,0.014091991,0.0030176754,0.011296189,nan,nan,nan,0.0,1310988,1310988,6620172,197388,64.1407,63.1572,0.47344455,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725612000,1771685725460000,1771685725612000,17764060236391,0.00021459277,0.0075260364,0.019457124,0,0.120289095,0.11299669,0.020902757,0.014091991,0.0030176754,0.011296189,nan,nan,nan,0.0,1310988,1310988,6620172,197388,64.1407,63.1572,0.47344455,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725620000,1771685725468000,1771685725620000,17764060236391,0.00021457337,0.007474671,0.019468041,0,0.12069392,0.113246955,0.020902757,0.014091991,0.0030176754,0.011296189,nan,nan,nan,0.0,1310988,1310988,6620172,197388,64.1407,63.1572,0.47344455,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725628000,1771685725476000,1771685725628000,17764060236391,0.00021464164,0.0074743545,0.019661793,0,0.1211015,0.113438934,0.020902757,0.014091991,0.0030176754,0.0115718115,nan,nan,nan,0.0,1310988,1310988,6620172,197388,64.1407,63.1572,0.47344455,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725636000,1771685725484000,1771685725636000,17764060236391,0.00021470776,0.0074238474,0.019665133,0,0.12151184,0.11369074,0.020902757,0.014091991,0.0030176754,0.0115718115,nan,nan,nan,0.0,1310988,1310988,6620172,197388,64.1407,63.1572,0.47344455,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725644000,1771685725492000,1771685725644000,17764060236391,0.00021475863,0.007374542,0.019665388,0,0.12192493,0.11394338,0.020902757,0.014091991,0.0030176754,0.0115718115,nan,nan,nan,0.0,1310988,1310988,6620172,197388,64.1407,63.1572,0.47344455,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725652000,1771685725500000,1771685725652000,17764060236391,0.00022762275,0.0075928643,0.019451788,0,0.11969002,0.112624206,0.019708388,0.014192941,0.0028666374,0.011304822,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.131435,63.1572,0.48029816,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725660000,1771685725508000,1771685725660000,17764060236391,0.0002275859,0.007535424,0.0194505,0,0.120090775,0.11287322,0.019708388,0.014192941,0.0028666374,0.011304822,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.131435,63.1572,0.48029816,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725668000,1771685725516000,1771685725668000,17764060236391,0.00022754639,0.007479217,0.019444924,0,0.12049426,0.11312308,0.019708388,0.014192941,0.0028666374,0.011304822,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.131435,63.1572,0.48029816,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725676000,1771685725524000,1771685725676000,17764060236391,0.00022609562,0.007454323,0.019559748,0,0.12090048,0.113314845,0.019708388,0.014192941,0.0028666374,0.01129899,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.131435,63.1572,0.48029816,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725684000,1771685725532000,1771685725684000,17764060236391,0.0002246469,0.0073998063,0.019551974,0,0.12130947,0.11356624,0.019708388,0.014192941,0.0028666374,0.01129899,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.131435,63.1572,0.48029816,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725692000,1771685725540000,1771685725692000,17764060236391,0.00022319466,0.0073464825,0.019543292,0,0.12172121,0.11381848,0.019708388,0.014192941,0.0028666374,0.01129899,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.131435,63.1572,0.48029816,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725700000,1771685725548000,1771685725700000,17764060236391,0.00022175009,0.007294145,0.019535275,0,0.12213572,0.11407155,0.019708388,0.014192941,0.0028666374,0.01129899,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.131435,63.1572,0.48029816,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725708000,1771685725556000,1771685725708000,17764060236391,0.00022007804,0.0075748386,0.019515269,0,0.11988805,0.11274726,0.019708388,0.014310539,0.0027223225,0.01099379,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.131435,63.1572,0.48029816,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
