timestamp,pub_timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,publisher_id,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
1771685725552000,1771685725552000,0.0029294814,3.412107e-08,-0.0098536955,4000,0,0.011971009,0.07781173,-9.777921,4000,126,0,0,0,1
1771685725556000,1771685725556000,-8.747328e-10,-0.00026630663,-0.009587379,4000,0,0.02753332,0.107739255,-9.74919,4000,126,0,0,0,1
1771685725560000,1771685725560000,0.0010652785,0.004261055,-0.003994742,4000,0,0.005985504,0.102950856,-9.775527,4000,126,0,0,0,1
1771685725564000,1771685725564000,-0.0023968401,0.0031957966,0.0005326369,4000,0,0.02873042,0.08619144,-9.824608,4000,126,0,0,0,1
1771685725568000,1771685725568000,-0.0026631574,-0.0029294754,0.003195799,4000,0,0.07541736,0.07062913,-9.827002,4000,126,0,0,0,1
1771685725572000,1771685725572000,-0.005326324,0.0010652593,0.0005326261,4000,0,0.05267244,0.07182623,-9.78989,4000,126,0,0,0,1
1771685725576000,1771685725576000,-0.013049493,0.007190521,-0.0063915956,4000,0,0.015562311,0.055066817,-9.768344,4000,126,0,0,0,1
1771685725580000,1771685725580000,-0.008255827,0.0013315429,-0.01278316,4000,0,0.021547817,0.0407016,-9.775527,4000,126,0,0,0,1
1771685725584000,1771685725584000,0.005059985,-0.0037284782,-0.011451585,4000,0,0.021547817,0.053869713,-9.776723,4000,126,0,0,0,1
1771685725588000,1771685725588000,0.005592624,-0.0055926507,-0.0053263246,4000,0,0.017956512,0.0383074,-9.78989,4000,126,0,0,0,1
1771685725592000,1771685725592000,-0.0021305315,-0.0047936803,-0.0031958066,4000,0,0.040701423,0.02873059,-9.817425,4000,126,0,0,0,1
1771685725596000,1771685725596000,0.002663175,0.0045273677,-0.0058589536,4000,0,0.017956512,0.033518996,-9.807847,4000,126,0,0,0,1
1771685725600000,1771685725600000,0.0077231615,0.004793684,-0.010120018,4000,0,-0.029927524,0.021547986,-9.788693,4000,126,0,0,0,1
1771685725604000,1771685725604000,-0.003728467,-0.006391543,-0.012250553,4000,0,-0.020350713,0.0023943726,-9.794681,4000,126,0,0,0,1
