timestamp,timestamp_sample,pub_timestamp,device_id,pressure,temperature,error_count,publisher_id
1771685725684000,1771685725684000,1771685725684000,6620172,95598.75,0.0,0,25
1771685725688000,1771685725688000,1771685725688000,6620172,95598.7,0.0,0,25
1771685725692000,1771685725692000,1771685725692000,6620172,95598.086,0.0,0,25
1771685725696000,1771685725696000,1771685725696000,6620172,95598.89,0.0,0,25
1771685725700000,1771685725700000,1771685725700000,6620172,95599.0,0.0,0,25
1771685725704000,1771685725704000,1771685725704000,6620172,95598.984,0.0,0,25
1771685725708000,1771685725708000,1771685725708000,6620172,95598.26,0.0,0,25
1771685725712000,1771685725712000,1771685725712000,6620172,95599.24,0.0,0,25
1771685725716000,1771685725716000,1771685725716000,6620172,95596.7,0.0,0,25
1771685725720000,1771685725720000,1771685725720000,6620172,95597.695,0.0,0,25
1771685725724000,1771685725724000,1771685725724000,6620172,95596.03,0.0,0,25
1771685725728000,1771685725728000,1771685725728000,6620172,95596.08,0.0,0,25
1771685725732000,1771685725732000,1771685725732000,6620172,95598.02,0.0,0,25
1771685725736000,1771685725736000,1771685725736000,6620172,95596.72,0.0,0,25
1771685725740000,1771685725740000,1771685725740000,6620172,95597.445,0.0,0,25
1771685725744000,1771685725744000,1771685725744000,6620172,95599.09,0.0,0,25
1771685725748000,1771685725748000,1771685725748000,6620172,95599.06,0.0,0,25
1771685725752000,1771685725752000,1771685725752000,6620172,95598.46,0.0,0,25
1771685725756000,1771685725756000,1771685725756000,6620172,95597.69,0.0,0,25
1771685725760000,1771685725760000,1771685725760000,6620172,95599.24,0.0,0,25
1771685725764000,1771685725764000,1771685725764000,6620172,95598.53,0.0,0,25
1771685725768000,1771685725768000,1771685725768000,6620172,95598.36,0.0,0,25
1771685725772000,1771685725772000,1771685725772000,6620172,95598.29,0.0,0,25
1771685725776000,1771685725776000,1771685725776000,6620172,95597.79,0.0,0,25
1771685725780000,1771685725780000,1771685725780000,6620172,95598.87,0.0,0,25
1771685725784000,1771685725784000,1771685725784000,6620172,95596.766,0.0,0,25
1771685725788000,1771685725788000,1771685725788000,6620172,95597.87,0.0,0,25
1771685725792000,1771685725792000,1771685725792000,6620172,95598.086,0.0,0,25
1771685725796000,1771685725796000,1771685725796000,6620172,95599.695,0.0,0,25
1771685725800000,1771685725800000,1771685725800000,6620172,95598.62,0.0,0,25
1771685725804000,1771685725804000,1771685725804000,6620172,95597.016,0.0,0,25
1771685725808000,1771685725808000,1771685725808000,6620172,95600.234,0.0,0,25
1771685725812000,1771685725812000,1771685725812000,6620172,95598.67,0.0,0,25
1771685725816000,1771685725816000,1771685725816000,6620172,95598.81,0.0,0,25
1771685725820000,1771685725820000,1771685725820000,6620172,95599.23,0.0,0,25
1771685725824000,1771685725824000,1771685725824000,6620172,95594.63,0.0,0,25
1771685725828000,1771685725828000,1771685725828000,6620172,95599.69,0.0,0,25
1771685725832000,1771685725832000,1771685725832000,6620172,95597.72,0.0,0,25
1771685725836000,1771685725836000,1771685725836000,6620172,95599.11,0.0,0,25
1771685725840000,1771685725840000,1771685725840000,6620172,95599.17,0.0,0,25
1771685725844000,1771685725844000,1771685725844000,6620172,95597.555,0.0,0,25
1771685725848000,1771685725848000,1771685725848000,6620172,95597.31,0.0,0,25
1771685725852000,1771685725852000,1771685725852000,6620172,95597.125,0.0,0,25
1771685725856000,1771685725856000,1771685725856000,6620172,95599.91,0.0,0,25
1771685725860000,1771685725860000,1771685725860000,6620172,95596.59,0.0,0,25
1771685725864000,1771685725864000,1771685725864000,6620172,95597.95,0.0,0,25
1771685725868000,1771685725868000,1771685725868000,6620172,95599.97,0.0,0,25
1771685725872000,1771685725872000,1771685725872000,6620172,95598.836,0.0,0,25
1771685725876000,1771685725876000,1771685725876000,6620172,95599.28,0.0,0,25
1771685725880000,1771685725880000,1771685725880000,6620172,95599.92,0.0,0,25
1771685725884000,1771685725884000,1771685725884000,6620172,95598.35,0.0,0,25
1771685725888000,1771685725888000,1771685725888000,6620172,95598.68,0.0,0,25
1771685725892000,1771685725892000,1771685725892000,6620172,95597.836,0.0,0,25
1771685725896000,1771685725896000,1771685725896000,6620172,95601.01,0.0,0,25
1771685725900000,1771685725900000,1771685725900000,6620172,95598.04,0.0,0,25
1771685725904000,1771685725904000,1771685725904000,6620172,95598.17,0.0,0,25
1771685725908000,1771685725908000,1771685725908000,6620172,95597.72,0.0,0,25
1771685725912000,1771685725912000,1771685725912000,6620172,95595.83,0.0,0,25
1771685725916000,1771685725916000,1771685725916000,6620172,95597.98,0.0,0,25
1771685725920000,1771685725920000,1771685725920000,6620172,95597.88,0.0,0,25
1771685725924000,1771685725924000,1771685725924000,6620172,95597.84,0.0,0,25
1771685725928000,1771685725928000,1771685725928000,6620172,95599.03,0.0,0,25
1771685725932000,1771685725932000,1771685725932000,6620172,95598.4,0.0,0,25
1771685725936000,1771685725936000,1771685725936000,6620172,95598.63,0.0,0,25
1771685725940000,1771685725940000,1771685725940000,6620172,95597.61,0.0,0,25
1771685725944000,1771685725944000,1771685725944000,6620172,95598.42,0.0,0,25
1771685725948000,1771685725948000,1771685725948000,6620172,95597.23,0.0,0,25
1771685725952000,1771685725952000,1771685725952000,6620172,95598.29,0.0,0,25
1771685725956000,1771685725956000,1771685725956000,6620172,95598.38,0.0,0,25
1771685725960000,1771685725960000,1771685725960000,6620172,95598.336,0.0,0,25
1771685725964000,1771685725964000,1771685725964000,6620172,95597.17,0.0,0,25
1771685725968000,1771685725968000,1771685725968000,6620172,95598.4,0.0,0,25
1771685725972000,1771685725972000,1771685725972000,6620172,95599.17,0.0,0,25
1771685725976000,1771685725976000,1771685725976000,6620172,95597.664,0.0,0,25
1771685725980000,1771685725980000,1771685725980000,6620172,95597.53,0.0,0,25
1771685725984000,1771685725984000,1771685725984000,6620172,95599.9,0.0,0,25
1771685725988000,1771685725988000,1771685725988000,6620172,95597.9,0.0,0,25
1771685725992000,1771685725992000,1771685725992000,6620172,95598.516,0.0,0,25
1771685725996000,1771685725996000,1771685725996000,6620172,95597.14,0.0,0,25
1771685726000000,1771685726000000,1771685726000000,6620172,95600.26,0.0,0,25
1771685726004000,1771685726004000,1771685726004000,6620172,95599.7,0.0,0,25
1771685726008000,1771685726008000,1771685726008000,6620172,95598.42,0.0,0,25
1771685726012000,1771685726012000,1771685726012000,6620172,95598.57,0.0,0,25
1771685726016000,1771685726016000,1771685726016000,6620172,95597.95,0.0,0,25
1771685726020000,1771685726020000,1771685726020000,6620172,95598.56,0.0,0,25
1771685726024000,1771685726024000,1771685726024000,6620172,95599.76,0.0,0,25
