timestamp,pub_timestamp,publisher_id,armed,prearmed,ready_to_arm,lockdown,kill,termination,in_esc_calibration_mode
1771685725408000,1771685725408000,93,1,0,1,0,0,0,0
1771685725420000,1771685725420000,93,1,0,1,0,0,0,0
1771685725432000,1771685725432000,93,1,0,1,0,0,0,0
1771685725936000,1771685725936000,93,1,0,1,0,0,0,0
1771685726440000,1771685726440000,93,1,0,1,0,0,0,0
1771685726944000,1771685726944000,93,1,0,1,0,0,0,0
1771685727448000,1771685727448000,93,1,0,1,0,0,0,0
1771685727952000,1771685727952000,93,1,0,1,0,0,0,0
1771685728456000,1771685728456000,93,1,0,1,0,0,0,0
1771685728960000,1771685728960000,93,1,0,1,0,0,0,0
1771685729464000,1771685729464000,93,1,0,1,0,0,0,0
1771685729968000,1771685729968000,93,1,0,1,0,0,0,0
1771685730472000,1771685730472000,93,1,0,1,0,0,0,0
1771685730976000,1771685730976000,93,1,0,1,0,0,0,0
1771685731480000,1771685731480000,93,1,0,1,0,0,0,0
1771685731984000,1771685731984000,93,1,0,1,0,0,0,0
1771685732488000,1771685732488000,93,1,0,1,0,0,0,0
1771685732992000,1771685732992000,93,1,0,1,0,0,0,0
1771685733496000,1771685733496000,93,1,0,1,0,0,0,0
1771685734000000,1771685734000000,93,1,0,1,0,0,0,0
1771685734504000,1771685734504000,93,1,0,1,0,0,0,0
1771685735008000,1771685735008000,93,1,0,1,0,0,0,0
1771685735512000,1771685735512000,93,1,0,1,0,0,0,0
1771685736016000,1771685736016000,93,1,0,1,0,0,0,0
1771685736520000,1771685736520000,93,1,0,1,0,0,0,0
1771685737024000,1771685737024000,93,1,0,1,0,0,0,0
1771685737528000,1771685737528000,93,1,0,1,0,0,0,0
1771685738032000,1771685738032000,93,1,0,1,0,0,0,0
1771685738536000,1771685738536000,93,1,0,1,0,0,0,0
1771685739040000,1771685739040000,93,1,0,1,0,0,0,0
1771685739544000,1771685739544000,93,1,0,1,0,0,0,0
1771685740048000,1771685740048000,93,1,0,1,0,0,0,0
1771685740552000,1771685740552000,93,1,0,1,0,0,0,0
1771685741056000,1771685741056000,93,1,0,1,0,0,0,0
1771685741560000,1771685741560000,93,1,0,1,0,0,0,0
1771685742064000,1771685742064000,93,1,0,1,0,0,0,0
1771685742568000,1771685742568000,93,1,0,1,0,0,0,0
1771685743072000,1771685743072000,93,1,0,1,0,0,0,0
1771685743576000,1771685743576000,93,1,0,1,0,0,0,0
1771685744080000,1771685744080000,93,1,0,1,0,0,0,0
1771685744584000,1771685744584000,93,1,0,1,0,0,0,0
1771685745088000,1771685745088000,93,1,0,1,0,0,0,0
1771685745592000,1771685745592000,93,1,0,1,0,0,0,0
1771685746096000,1771685746096000,93,1,0,1,0,0,0,0
1771685746600000,1771685746600000,93,1,0,1,0,0,0,0
1771685747104000,1771685747104000,93,1,0,1,0,0,0,0
1771685747608000,1771685747608000,93,1,0,1,0,0,0,0
1771685748112000,1771685748112000,93,1,0,1,0,0,0,0
1771685748616000,1771685748616000,93,1,0,1,0,0,0,0
1771685749120000,1771685749120000,93,1,0,1,0,0,0,0
1771685749624000,1771685749624000,93,1,0,1,0,0,0,0
