timestamp,pub_timestamp,speed_up,speed_down,publisher_id,want_takeoff
1771685725404000,1771685725404000,3.6000001,1.8000001,14,0
1771685725428000,1771685725428000,3.6000001,1.8000001,14,0
1771685725444000,1771685725444000,3.6000001,1.8000001,14,1
1771685725468000,1771685725468000,3.6000001,1.8000001,14,1
1771685725484000,1771685725484000,3.6000001,1.8000001,14,1
1771685725508000,1771685725508000,3.6000001,1.8000001,14,1
1771685725524000,1771685725524000,3.6000001,1.8000001,14,1
1771685725548000,1771685725548000,3.6000001,1.8000001,14,1
1771685725564000,1771685725564000,3.6000001,1.8000001,14,1
1771685725588000,1771685725588000,3.6000001,1.8000001,14,1
1771685725604000,1771685725604000,3.6000001,1.8000001,14,1
1771685725628000,1771685725628000,3.6000001,1.8000001,14,1
1771685725644000,1771685725644000,3.6000001,1.8000001,14,1
1771685725668000,1771685725668000,3.6000001,1.8000001,14,1
1771685725684000,1771685725684000,3.6000001,1.8000001,14,1
1771685725708000,1771685725708000,3.6000001,1.8000001,14,1
1771685725724000,1771685725724000,3.6000001,1.8000001,14,1
1771685725748000,1771685725748000,3.6000001,1.8000001,14,1
1771685725764000,1771685725764000,3.6000001,1.8000001,14,1
1771685725788000,1771685725788000,3.6000001,1.8000001,14,1
1771685725804000,1771685725804000,3.6000001,1.8000001,14,1
1771685725828000,1771685725828000,3.6000001,1.8000001,14,1
1771685725844000,1771685725844000,3.6000001,1.8000001,14,1
1771685725868000,1771685725868000,3.6000001,1.8000001,14,1
1771685725884000,1771685725884000,3.6000001,1.8000001,14,1
1771685725908000,1771685725908000,3.6000001,1.8000001,14,1
1771685725924000,1771685725924000,3.6000001,1.8000001,14,1
1771685725948000,1771685725948000,3.6000001,1.8000001,14,1
1771685725964000,1771685725964000,3.6000001,1.8000001,14,1
1771685725988000,1771685725988000,3.6000001,1.8000001,14,1
1771685726004000,1771685726004000,3.6000001,1.8000001,14,1
1771685726028000,1771685726028000,3.6000001,1.8000001,14,1
1771685726044000,1771685726044000,3.6000001,1.8000001,14,1
1771685726068000,1771685726068000,3.6000001,1.8000001,14,1
1771685726084000,1771685726084000,3.6000001,1.8000001,14,1
1771685726108000,1771685726108000,3.6000001,1.8000001,14,1
1771685726124000,1771685726124000,3.6000001,1.8000001,14,1
1771685726148000,1771685726148000,3.6000001,1.8000001,14,1
1771685726164000,1771685726164000,3.6000001,1.8000001,14,1
1771685726188000,1771685726188000,3.6000001,1.8000001,14,1
1771685726204000,1771685726204000,3.6000001,1.8000001,14,1
1771685726228000,1771685726228000,3.6000001,1.8000001,14,1
1771685726244000,1771685726244000,3.6000001,1.8000001,14,1
1771685726268000,1771685726268000,3.6000001,1.8000001,14,1
1771685726284000,1771685726284000,3.6000001,1.8000001,14,1
1771685726308000,1771685726308000,3.6000001,1.8000001,14,1
1771685726324000,1771685726324000,3.6000001,1.8000001,14,1
1771685726348000,1771685726348000,3.6000001,1.8000001,14,1
1771685726364000,1771685726364000,3.6000001,1.8000001,14,1
1771685726388000,1771685726388000,3.6000001,1.8000001,14,1
1771685726404000,1771685726404000,3.6000001,1.8000001,14,1
1771685726428000,1771685726428000,3.6000001,1.8000001,14,1
1771685726444000,1771685726444000,3.6000001,1.8000001,14,1
1771685726468000,1771685726468000,3.6000001,1.8000001,14,1
1771685726484000,1771685726484000,3.6000001,1.8000001,14,1
1771685726508000,1771685726508000,3.6000001,1.8000001,14,1
1771685726524000,1771685726524000,3.6000001,1.8000001,14,1
1771685726548000,1771685726548000,3.6000001,1.8000001,14,1
1771685726564000,1771685726564000,3.6000001,1.8000001,14,1
1771685726588000,1771685726588000,3.6000001,1.8000001,14,1
1771685726604000,1771685726604000,3.6000001,1.8000001,14,1
1771685726628000,1771685726628000,3.6000001,1.8000001,14,1
1771685726644000,1771685726644000,3.6000001,1.8000001,14,1
1771685726668000,1771685726668000,3.6000001,1.8000001,14,1
1771685726684000,1771685726684000,3.6000001,1.8000001,14,1
1771685726708000,1771685726708000,3.6000001,1.8000001,14,1
1771685726724000,1771685726724000,3.6000001,1.8000001,14,1
1771685726748000,1771685726748000,3.6000001,1.8000001,14,1
1771685726764000,1771685726764000,3.6000001,1.8000001,14,1
1771685726788000,1771685726788000,3.6000001,1.8000001,14,1
1771685726804000,1771685726804000,3.6000001,1.8000001,14,1
1771685726828000,1771685726828000,3.6000001,1.8000001,14,1
1771685726844000,1771685726844000,3.6000001,1.8000001,14,1
1771685726868000,1771685726868000,3.6000001,1.8000001,14,1
1771685726884000,1771685726884000,3.6000001,1.8000001,14,1
1771685726908000,1771685726908000,3.6000001,1.8000001,14,1
1771685726924000,1771685726924000,3.6000001,1.8000001,14,1
1771685726948000,1771685726948000,3.6000001,1.8000001,14,1
1771685726964000,1771685726964000,3.6000001,1.8000001,14,1
1771685726988000,1771685726988000,3.6000001,1.8000001,14,1
1771685727004000,1771685727004000,3.6000001,1.8000001,14,1
1771685727028000,1771685727028000,3.6000001,1.8000001,14,1
1771685727044000,1771685727044000,3.6000001,1.8000001,14,1
1771685727068000,1771685727068000,3.6000001,1.8000001,14,1
1771685727084000,1771685727084000,3.6000001,1.8000001,14,1
1771685727108000,1771685727108000,3.6000001,1.8000001,14,1
1771685727124000,1771685727124000,3.6000001,1.8000001,14,1
1771685727148000,1771685727148000,3.6000001,1.8000001,14,1
1771685727164000,1771685727164000,3.6000001,1.8000001,14,1
1771685727188000,1771685727188000,3.6000001,1.8000001,14,1
1771685727204000,1771685727204000,3.6000001,1.8000001,14,1
1771685727228000,1771685727228000,3.6000001,1.8000001,14,1
1771685727244000,1771685727244000,3.6000001,1.8000001,14,1
1771685727268000,1771685727268000,3.6000001,1.8000001,14,1
1771685727284000,1771685727284000,3.6000001,1.8000001,14,1
1771685727308000,1771685727308000,3.6000001,1.8000001,14,1
1771685727324000,1771685727324000,3.6000001,1.8000001,14,1
1771685727348000,1771685727348000,3.6000001,1.8000001,14,1
1771685727364000,1771685727364000,3.6000001,1.8000001,14,1
1771685727388000,1771685727388000,3.6000001,1.8000001,14,1
1771685727404000,1771685727404000,3.6000001,1.8000001,14,1
1771685727428000,1771685727428000,3.6000001,1.8000001,14,1
1771685727444000,1771685727444000,3.6000001,1.8000001,14,1
1771685727468000,1771685727468000,3.6000001,1.8000001,14,1
1771685727484000,1771685727484000,3.6000001,1.8000001,14,1
1771685727508000,1771685727508000,3.6000001,1.8000001,14,1
1771685727524000,1771685727524000,3.6000001,1.8000001,14,1
1771685727548000,1771685727548000,3.6000001,1.8000001,14,1
1771685727564000,1771685727564000,3.6000001,1.8000001,14,1
1771685727588000,1771685727588000,3.6000001,1.8000001,14,1
1771685727604000,1771685727604000,3.6000001,1.8000001,14,1
1771685727628000,1771685727628000,3.6000001,1.8000001,14,1
1771685727644000,1771685727644000,3.6000001,1.8000001,14,1
1771685727668000,1771685727668000,3.6000001,1.8000001,14,1
1771685727684000,1771685727684000,3.6000001,1.8000001,14,1
1771685727708000,1771685727708000,3.6000001,1.8000001,14,1
1771685727724000,1771685727724000,3.6000001,1.8000001,14,1
1771685727748000,1771685727748000,3.6000001,1.8000001,14,1
1771685727764000,1771685727764000,3.6000001,1.8000001,14,1
1771685727788000,1771685727788000,3.6000001,1.8000001,14,1
1771685727804000,1771685727804000,3.6000001,1.8000001,14,1
1771685727828000,1771685727828000,3.6000001,1.8000001,14,1
1771685727844000,1771685727844000,3.6000001,1.8000001,14,1
1771685727868000,1771685727868000,3.6000001,1.8000001,14,1
1771685727884000,1771685727884000,3.6000001,1.8000001,14,1
1771685727908000,1771685727908000,3.6000001,1.8000001,14,1
1771685727924000,1771685727924000,3.6000001,1.8000001,14,1
1771685727948000,1771685727948000,3.6000001,1.8000001,14,1
1771685727964000,1771685727964000,3.6000001,1.8000001,14,1
1771685727988000,1771685727988000,3.6000001,1.8000001,14,1
1771685728004000,1771685728004000,3.6000001,1.8000001,14,1
1771685728028000,1771685728028000,3.6000001,1.8000001,14,1
1771685728044000,1771685728044000,3.6000001,1.8000001,14,1
1771685728068000,1771685728068000,3.6000001,1.8000001,14,1
1771685728084000,1771685728084000,3.6000001,1.8000001,14,1
1771685728108000,1771685728108000,3.6000001,1.8000001,14,1
1771685728124000,1771685728124000,3.6000001,1.8000001,14,1
1771685728148000,1771685728148000,3.6000001,1.8000001,14,1
1771685728164000,1771685728164000,3.6000001,1.8000001,14,1
1771685728188000,1771685728188000,3.6000001,1.8000001,14,1
1771685728204000,1771685728204000,3.6000001,1.8000001,14,1
1771685728228000,1771685728228000,3.6000001,1.8000001,14,1
1771685728244000,1771685728244000,3.6000001,1.8000001,14,1
1771685728268000,1771685728268000,3.6000001,1.8000001,14,1
1771685728284000,1771685728284000,3.6000001,1.8000001,14,1
1771685728308000,1771685728308000,3.6000001,1.8000001,14,1
1771685728324000,1771685728324000,3.6000001,1.8000001,14,1
1771685728348000,1771685728348000,3.6000001,1.8000001,14,1
1771685728364000,1771685728364000,3.6000001,1.8000001,14,1
1771685728388000,1771685728388000,3.6000001,1.8000001,14,1
1771685728404000,1771685728404000,3.6000001,1.8000001,14,1
1771685728428000,1771685728428000,3.6000001,1.8000001,14,1
1771685728444000,1771685728444000,3.6000001,1.8000001,14,1
1771685728468000,1771685728468000,3.6000001,1.8000001,14,1
1771685728484000,1771685728484000,3.6000001,1.8000001,14,1
1771685728508000,1771685728508000,3.6000001,1.8000001,14,1
1771685728524000,1771685728524000,3.6000001,1.8000001,14,1
1771685728548000,1771685728548000,3.6000001,1.8000001,14,1
1771685728564000,1771685728564000,3.6000001,1.8000001,14,1
1771685728588000,1771685728588000,3.6000001,1.8000001,14,1
1771685728604000,1771685728604000,3.6000001,1.8000001,14,1
1771685728628000,1771685728628000,3.6000001,1.8000001,14,1
1771685728644000,1771685728644000,3.6000001,1.8000001,14,1
1771685728668000,1771685728668000,3.6000001,1.8000001,14,1
1771685728684000,1771685728684000,3.6000001,1.8000001,14,1
1771685728708000,1771685728708000,3.6000001,1.8000001,14,1
1771685728724000,1771685728724000,3.6000001,1.8000001,14,1
1771685728748000,1771685728748000,3.6000001,1.8000001,14,1
1771685728764000,1771685728764000,3.6000001,1.8000001,14,1
1771685728788000,1771685728788000,3.6000001,1.8000001,14,1
1771685728804000,1771685728804000,3.6000001,1.8000001,14,1
1771685728828000,1771685728828000,3.6000001,1.8000001,14,1
1771685728844000,1771685728844000,3.6000001,1.8000001,14,1
1771685728868000,1771685728868000,3.6000001,1.8000001,14,1
1771685728884000,1771685728884000,3.6000001,1.8000001,14,1
1771685728908000,1771685728908000,3.6000001,1.8000001,14,1
1771685728924000,1771685728924000,3.6000001,1.8000001,14,1
1771685728948000,1771685728948000,3.6000001,1.8000001,14,1
1771685728964000,1771685728964000,3.6000001,1.8000001,14,1
1771685728988000,1771685728988000,3.6000001,1.8000001,14,1
1771685729004000,1771685729004000,3.6000001,1.8000001,14,1
1771685729028000,1771685729028000,3.6000001,1.8000001,14,1
1771685729044000,1771685729044000,3.6000001,1.8000001,14,1
1771685729068000,1771685729068000,3.6000001,1.8000001,14,1
1771685729084000,1771685729084000,3.6000001,1.8000001,14,1
1771685729108000,1771685729108000,3.6000001,1.8000001,14,1
1771685729124000,1771685729124000,3.6000001,1.8000001,14,1
1771685729148000,1771685729148000,3.6000001,1.8000001,14,1
1771685729164000,1771685729164000,3.6000001,1.8000001,14,1
1771685729188000,1771685729188000,3.6000001,1.8000001,14,1
1771685729204000,1771685729204000,3.6000001,1.8000001,14,1
1771685729228000,1771685729228000,3.6000001,1.8000001,14,1
1771685729244000,1771685729244000,3.6000001,1.8000001,14,1
1771685729268000,1771685729268000,3.6000001,1.8000001,14,1
1771685729284000,1771685729284000,3.6000001,1.8000001,14,1
1771685729308000,1771685729308000,3.6000001,1.8000001,14,1
1771685729324000,1771685729324000,3.6000001,1.8000001,14,1
1771685729348000,1771685729348000,3.6000001,1.8000001,14,1
1771685729364000,1771685729364000,3.6000001,1.8000001,14,1
1771685729388000,1771685729388000,3.6000001,1.8000001,14,1
1771685729404000,1771685729404000,3.6000001,1.8000001,14,1
1771685729428000,1771685729428000,3.6000001,1.8000001,14,1
1771685729444000,1771685729444000,3.6000001,1.8000001,14,1
1771685729468000,1771685729468000,3.6000001,1.8000001,14,1
1771685729484000,1771685729484000,3.6000001,1.8000001,14,1
1771685729508000,1771685729508000,3.6000001,1.8000001,14,1
1771685729524000,1771685729524000,3.6000001,1.8000001,14,1
1771685729548000,1771685729548000,3.6000001,1.8000001,14,1
1771685729564000,1771685729564000,3.6000001,1.8000001,14,1
1771685729588000,1771685729588000,3.6000001,1.8000001,14,1
1771685729604000,1771685729604000,3.6000001,1.8000001,14,1
1771685729628000,1771685729628000,3.6000001,1.8000001,14,1
1771685729644000,1771685729644000,3.6000001,1.8000001,14,1
1771685729668000,1771685729668000,3.6000001,1.8000001,14,1
1771685729684000,1771685729684000,3.6000001,1.8000001,14,1
1771685729708000,1771685729708000,3.6000001,1.8000001,14,1
1771685729724000,1771685729724000,3.6000001,1.8000001,14,1
1771685729748000,1771685729748000,3.6000001,1.8000001,14,1
1771685729764000,1771685729764000,3.6000001,1.8000001,14,1
1771685729788000,1771685729788000,3.6000001,1.8000001,14,1
1771685729804000,1771685729804000,3.6000001,1.8000001,14,1
1771685729828000,1771685729828000,3.6000001,1.8000001,14,1
1771685729844000,1771685729844000,3.6000001,1.8000001,14,1
1771685729868000,1771685729868000,3.6000001,1.8000001,14,1
1771685729884000,1771685729884000,3.6000001,1.8000001,14,1
1771685729908000,1771685729908000,3.6000001,1.8000001,14,1
1771685729924000,1771685729924000,3.6000001,1.8000001,14,1
1771685729948000,1771685729948000,3.6000001,1.8000001,14,1
1771685729964000,1771685729964000,3.6000001,1.8000001,14,1
1771685729988000,1771685729988000,3.6000001,1.8000001,14,1
1771685730004000,1771685730004000,3.6000001,1.8000001,14,1
1771685730028000,1771685730028000,3.6000001,1.8000001,14,1
1771685730044000,1771685730044000,3.6000001,1.8000001,14,1
1771685730068000,1771685730068000,3.6000001,1.8000001,14,1
1771685730084000,1771685730084000,3.6000001,1.8000001,14,1
1771685730108000,1771685730108000,3.6000001,1.8000001,14,1
1771685730124000,1771685730124000,3.6000001,1.8000001,14,1
1771685730148000,1771685730148000,3.6000001,1.8000001,14,1
1771685730164000,1771685730164000,3.6000001,1.8000001,14,1
1771685730188000,1771685730188000,3.6000001,1.8000001,14,1
1771685730204000,1771685730204000,3.6000001,1.8000001,14,1
1771685730228000,1771685730228000,3.6000001,1.8000001,14,1
1771685730244000,1771685730244000,3.6000001,1.8000001,14,1
1771685730268000,1771685730268000,3.6000001,1.8000001,14,1
1771685730284000,1771685730284000,3.6000001,1.8000001,14,1
1771685730308000,1771685730308000,3.6000001,1.8000001,14,1
1771685730324000,1771685730324000,3.6000001,1.8000001,14,1
1771685730348000,1771685730348000,3.6000001,1.8000001,14,1
1771685730364000,1771685730364000,3.6000001,1.8000001,14,1
1771685730388000,1771685730388000,3.6000001,1.8000001,14,1
1771685730404000,1771685730404000,3.6000001,1.8000001,14,1
1771685730428000,1771685730428000,3.6000001,1.8000001,14,1
1771685730444000,1771685730444000,3.6000001,1.8000001,14,1
1771685730468000,1771685730468000,3.6000001,1.8000001,14,1
1771685730484000,1771685730484000,3.6000001,1.8000001,14,1
1771685730508000,1771685730508000,3.6000001,1.8000001,14,1
1771685730524000,1771685730524000,3.6000001,1.8000001,14,1
1771685730548000,1771685730548000,3.6000001,1.8000001,14,1
1771685730564000,1771685730564000,3.6000001,1.8000001,14,1
1771685730588000,1771685730588000,3.6000001,1.8000001,14,1
1771685730604000,1771685730604000,3.6000001,1.8000001,14,1
1771685730628000,1771685730628000,3.6000001,1.8000001,14,1
1771685730644000,1771685730644000,3.6000001,1.8000001,14,1
1771685730668000,1771685730668000,3.6000001,1.8000001,14,1
1771685730684000,1771685730684000,3.6000001,1.8000001,14,1
1771685730708000,1771685730708000,3.6000001,1.8000001,14,1
1771685730724000,1771685730724000,3.6000001,1.8000001,14,1
1771685730748000,1771685730748000,3.6000001,1.8000001,14,1
1771685730764000,1771685730764000,3.6000001,1.8000001,14,1
1771685730788000,1771685730788000,3.6000001,1.8000001,14,1
1771685730804000,1771685730804000,3.6000001,1.8000001,14,1
1771685730828000,1771685730828000,3.6000001,1.8000001,14,1
1771685730844000,1771685730844000,3.6000001,1.8000001,14,1
1771685730868000,1771685730868000,3.6000001,1.8000001,14,1
1771685730884000,1771685730884000,3.6000001,1.8000001,14,1
1771685730908000,1771685730908000,3.6000001,1.8000001,14,1
1771685730924000,1771685730924000,3.6000001,1.8000001,14,1
1771685730948000,1771685730948000,3.6000001,1.8000001,14,1
1771685730964000,1771685730964000,3.6000001,1.8000001,14,1
1771685730988000,1771685730988000,3.6000001,1.8000001,14,1
