timestamp,pub_timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],publisher_id,calibration_count
1771685729244000,1771685729244000,1771685729244000,197388,0.2077584,0.011823451,0.42672333,126,0
1771685729376000,1771685729376000,1771685729312000,197388,0.21726863,0.002164821,0.4290852,126,0
1771685729380000,1771685729380000,1771685729380000,197388,0.2188395,-0.0011422985,0.42403147,126,0
1771685729512000,1771685729512000,1771685729448000,197388,0.21728744,0.0031111294,0.42998347,126,0
1771685729516000,1771685729516000,1771685729516000,197388,0.21897754,0.01206568,0.41917777,126,0
1771685729648000,1771685729648000,1771685729584000,197388,0.21511334,0.0015075507,0.42922884,126,0
1771685729652000,1771685729652000,1771685729652000,197388,0.23046842,0.00028968498,0.42374676,126,0
1771685729784000,1771685729784000,1771685729720000,197388,0.21602221,0.0017861448,0.43038085,126,0
1771685729788000,1771685729788000,1771685729788000,197388,0.21913475,0.006227317,0.44093254,126,0
1771685729920000,1771685729920000,1771685729856000,197388,0.21451057,0.0031480903,0.4301896,126,0
1771685729924000,1771685729924000,1771685729924000,197388,0.21034628,-0.00021810805,0.42834467,126,0
1771685730056000,1771685730056000,1771685729992000,197388,0.21573348,0.0062518483,0.4277534,126,0
1771685730060000,1771685730060000,1771685730060000,197388,0.21863307,0.0010080471,0.42931157,126,0
1771685730192000,1771685730192000,1771685730128000,197388,0.21561015,0.005185403,0.43104726,126,0
1771685730196000,1771685730196000,1771685730196000,197388,0.21165594,0.015370311,0.43055022,126,0
1771685730328000,1771685730328000,1771685730264000,197388,0.21522,0.00397278,0.4301238,126,0
1771685730332000,1771685730332000,1771685730332000,197388,0.22226667,0.0018986748,0.42693773,126,0
1771685730464000,1771685730464000,1771685730400000,197388,0.21571769,0.004149696,0.42994565,126,0
1771685730468000,1771685730468000,1771685730468000,197388,0.20873812,0.008186382,0.4197906,126,0
1771685730600000,1771685730600000,1771685730536000,197388,0.21564262,0.005854451,0.43036187,126,0
1771685730604000,1771685730604000,1771685730604000,197388,0.22160563,0.005158386,0.43383157,126,0
1771685730736000,1771685730736000,1771685730672000,197388,0.21410675,0.0066430774,0.42964107,126,0
1771685730740000,1771685730740000,1771685730740000,197388,0.21807972,0.005392543,0.43347138,126,0
1771685730872000,1771685730872000,1771685730808000,197388,0.21380678,0.006535811,0.42907572,126,0
1771685730876000,1771685730876000,1771685730876000,197388,0.2204692,0.0022969204,0.43320894,126,0
1771685731008000,1771685731008000,1771685730944000,197388,0.21463773,0.0062903585,0.43141246,126,0
1771685731012000,1771685731012000,1771685731012000,197388,0.21353327,0.007099183,0.4329269,126,0
1771685731144000,1771685731144000,1771685731080000,197388,0.21609691,0.006170286,0.43071005,126,0
1771685731148000,1771685731148000,1771685731148000,197388,0.21317491,0.005889915,0.43452474,126,0
