timestamp,pub_timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags,publisher_id
1771685725408000,1771685725408000,1771685725408000,0.0,0.0019999996,0.0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685725412000,1771685725412000,1771685725412000,0.0,0.0019999994,3.4924597e-10,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685725416000,1771685725416000,1771685725416000,0.0,0.0019999999,0.0,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685725420000,1771685725420000,1771685725420000,0.0,0.0019999999,0.0013339301,0.0006660697,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685725424000,1771685725424000,1771685725424000,0.0,0.0019999994,0.0,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685725428000,1771685725428000,1771685725428000,0.0,0.001999999,2.3283064e-10,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685725432000,1771685725432000,1771685725432000,0.0,0.0019999994,0.0,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685725436000,1771685725436000,1771685725436000,0.0,0.0019999999,0.0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685725440000,1771685725440000,1771685725440000,0.0,0.0019999999,0.0,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685725444000,1771685725444000,1771685725444000,0.0,0.0019999996,0.0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685725448000,1771685725448000,1771685725448000,0.0005267572,0.0011876484,0.0006875902,0.0015980038,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685725452000,1771685725452000,1771685725452000,0.00010003438,0.0016196356,0.0010173611,0.0012629686,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685725456000,1771685725456000,1771685725456000,0.0,0.0019999999,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685725460000,1771685725460000,1771685725460000,0.0,0.002,0.0016830442,0.0003169556,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685725464000,1771685725464000,1771685725464000,0.0006712747,0.0009280726,0.0021736932,0.00022695927,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685725468000,1771685725468000,1771685725468000,0.00029517798,0.0012540151,0.0016918469,0.0007589599,nan,nan,nan,nan,nan,nan,nan,nan,0,27
