timestamp,pub_timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags,publisher_id
1771685326412000,1771685326412000,1771685326412000,0.00020050356,0.0017994961,0.002,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685326416000,1771685326416000,1771685326416000,0.0020000003,0.0,0.0019999996,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685326420000,1771685326420000,1771685326420000,0.0019999999,0.0,0.0019999996,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685326424000,1771685326424000,1771685326424000,0.0013538821,0.0006461176,0.002,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685326428000,1771685326428000,1771685326428000,0.0011461683,0.0010262952,0.00083841267,0.0009891235,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685326432000,1771685326432000,1771685326432000,0.0015750044,0.00061873463,0.00032580146,0.0014804591,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685326436000,1771685326436000,1771685326436000,0.002098107,0.00012819337,0.0011793559,0.00059434347,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685326440000,1771685326440000,1771685326440000,0.0020000003,0.0,0.002,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685326444000,1771685326444000,1771685326444000,0.0020000006,0.0,0.0019999996,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685326448000,1771685326448000,1771685326448000,0.0019999999,0.0,0.002,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685326452000,1771685326452000,1771685326452000,0.0013947571,0.0008814359,0.0011548419,0.00056896487,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685326456000,1771685326456000,1771685326456000,0.0001541767,0.0022014575,0.0014765956,0.00016777006,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685326460000,1771685326460000,1771685326460000,0.0012232299,0.0010640518,0.0012378368,0.00047488132,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685326464000,1771685326464000,1771685326464000,0.0019999999,0.0,0.0019999999,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,27
