timestamp,pub_timestamp,publisher_id,geofence_max_dist_triggered,geofence_max_alt_triggered,geofence_custom_fence_triggered,geofence_action
1771685326340000,1771685326340000,96,0,0,0,2
1771685326588000,1771685326588000,96,0,0,0,2
1771685326836000,1771685326836000,96,0,0,0,2
1771685327092000,1771685327092000,96,0,0,0,2
1771685327340000,1771685327340000,96,0,0,0,2
1771685327596000,1771685327596000,96,0,0,0,2
1771685327844000,1771685327844000,96,0,0,0,2
1771685328100000,1771685328100000,96,0,0,0,2
1771685328348000,1771685328348000,96,0,0,0,2
1771685328604000,1771685328604000,96,0,0,0,2
1771685328852000,1771685328852000,96,0,0,0,2
1771685329108000,1771685329108000,96,0,0,0,2
1771685329356000,1771685329356000,96,0,0,0,2
1771685329612000,1771685329612000,96,0,0,0,2
1771685329860000,1771685329860000,96,0,0,0,2
1771685330116000,1771685330116000,96,0,0,0,2
1771685330364000,1771685330364000,96,0,0,0,2
1771685330620000,1771685330620000,96,0,0,0,2
1771685330868000,1771685330868000,96,0,0,0,2
1771685331124000,1771685331124000,96,0,0,0,2
1771685331372000,1771685331372000,96,0,0,0,2
1771685331628000,1771685331628000,96,0,0,0,2
1771685331876000,1771685331876000,96,0,0,0,2
1771685332132000,1771685332132000,96,0,0,0,2
1771685332380000,1771685332380000,96,0,0,0,2
1771685332636000,1771685332636000,96,0,0,0,2
1771685332884000,1771685332884000,96,0,0,0,2
1771685333140000,1771685333140000,96,0,0,0,2
1771685333388000,1771685333388000,96,0,0,0,2
1771685333644000,1771685333644000,96,0,0,0,2
1771685333892000,1771685333892000,96,0,0,0,2
1771685334148000,1771685334148000,96,0,0,0,2
1771685334396000,1771685334396000,96,0,0,0,2
1771685334652000,1771685334652000,96,0,0,0,2
1771685334900000,1771685334900000,96,0,0,0,2
1771685335156000,1771685335156000,96,0,0,0,2
1771685335404000,1771685335404000,96,0,0,0,2
1771685335660000,1771685335660000,96,0,0,0,2
1771685335908000,1771685335908000,96,0,0,0,2
1771685336164000,1771685336164000,96,0,0,0,2
1771685336412000,1771685336412000,96,0,0,0,2
1771685336668000,1771685336668000,96,0,0,0,2
1771685336916000,1771685336916000,96,0,0,0,2
1771685337172000,1771685337172000,96,0,0,0,2
1771685337420000,1771685337420000,96,0,0,0,2
1771685337676000,1771685337676000,96,0,0,0,2
1771685337924000,1771685337924000,96,0,0,0,2
1771685338180000,1771685338180000,96,0,0,0,2
1771685338428000,1771685338428000,96,0,0,0,2
1771685338684000,1771685338684000,96,0,0,0,2
1771685338932000,1771685338932000,96,0,0,0,2
1771685339188000,1771685339188000,96,0,0,0,2
1771685339436000,1771685339436000,96,0,0,0,2
1771685339692000,1771685339692000,96,0,0,0,2
1771685339940000,1771685339940000,96,0,0,0,2
1771685340196000,1771685340196000,96,0,0,0,2
1771685340444000,1771685340444000,96,0,0,0,2
1771685340700000,1771685340700000,96,0,0,0,2
1771685340948000,1771685340948000,96,0,0,0,2
1771685341204000,1771685341204000,96,0,0,0,2
1771685341452000,1771685341452000,96,0,0,0,2
1771685341708000,1771685341708000,96,0,0,0,2
1771685341956000,1771685341956000,96,0,0,0,2
1771685342212000,1771685342212000,96,0,0,0,2
1771685342460000,1771685342460000,96,0,0,0,2
1771685342716000,1771685342716000,96,0,0,0,2
1771685342964000,1771685342964000,96,0,0,0,2
