timestamp,pub_timestamp,airspeed_timestamp_rel,airspeed_validated_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel,publisher_id
1771685326744000,1771685326744000,32767,32767,32767,32767,32767,32767,32767,160
1771685326748000,1771685326748000,32767,32767,32767,32767,32767,32767,32767,160
1771685326752000,1771685326752000,32767,32767,32767,32767,32767,32767,32767,160
1771685326756000,1771685326756000,32767,32767,32767,32767,32767,32767,32767,160
1771685326760000,1771685326760000,32767,32767,32767,32767,32767,32767,32767,160
1771685326764000,1771685326764000,32767,32767,32767,32767,0,32767,32767,160
1771685326768000,1771685326768000,32767,32767,32767,32767,32767,32767,32767,160
1771685326772000,1771685326772000,32767,32767,32767,32767,32767,32767,32767,160
1771685326776000,1771685326776000,32767,32767,32767,32767,32767,32767,32767,160
1771685326780000,1771685326780000,32767,32767,32767,32767,32767,32767,32767,160
1771685326784000,1771685326784000,32767,32767,32767,32767,32767,32767,32767,160
1771685326788000,1771685326788000,32767,32767,32767,32767,32767,32767,32767,160
1771685326792000,1771685326792000,32767,32767,32767,32767,32767,32767,32767,160
1771685326796000,1771685326796000,32767,32767,32767,32767,32767,32767,32767,160
1771685326800000,1771685326800000,32767,32767,32767,32767,32767,32767,32767,160
1771685326804000,1771685326804000,32767,32767,32767,32767,32767,32767,32767,160
1771685326808000,1771685326808000,32767,32767,32767,32767,32767,32767,32767,160
1771685326812000,1771685326812000,32767,32767,32767,32767,32767,32767,32767,160
1771685326816000,1771685326816000,32767,32767,32767,32767,0,0,32767,160
1771685326820000,1771685326820000,32767,32767,32767,32767,32767,0,32767,160
1771685326824000,1771685326824000,32767,32767,32767,32767,32767,32767,32767,160
1771685326828000,1771685326828000,32767,32767,32767,32767,32767,32767,32767,160
1771685326832000,1771685326832000,32767,32767,32767,32767,32767,32767,32767,160
1771685326836000,1771685326836000,32767,32767,32767,32767,32767,32767,32767,160
1771685326840000,1771685326840000,32767,32767,32767,32767,32767,32767,32767,160
1771685326844000,1771685326844000,32767,32767,32767,32767,32767,32767,32767,160
1771685326848000,1771685326848000,32767,32767,32767,32767,32767,32767,32767,160
1771685326852000,1771685326852000,32767,32767,32767,32767,32767,32767,32767,160
1771685326856000,1771685326856000,32767,32767,32767,32767,32767,32767,32767,160
1771685326860000,1771685326860000,32767,32767,32767,32767,32767,32767,32767,160
1771685326864000,1771685326864000,32767,32767,32767,32767,32767,32767,32767,160
1771685326868000,1771685326868000,32767,32767,32767,32767,0,32767,32767,160
1771685326872000,1771685326872000,32767,32767,32767,32767,32767,32767,32767,160
1771685326876000,1771685326876000,32767,32767,32767,32767,32767,32767,32767,160
1771685326880000,1771685326880000,32767,32767,32767,32767,32767,32767,32767,160
1771685326884000,1771685326884000,32767,32767,32767,32767,32767,32767,32767,160
1771685326888000,1771685326888000,32767,32767,32767,32767,32767,32767,32767,160
1771685326892000,1771685326892000,32767,32767,32767,32767,32767,32767,32767,160
1771685326896000,1771685326896000,32767,32767,32767,32767,32767,32767,32767,160
1771685326900000,1771685326900000,32767,32767,32767,32767,32767,32767,32767,160
1771685326904000,1771685326904000,32767,32767,32767,32767,32767,32767,32767,160
1771685326908000,1771685326908000,32767,32767,32767,32767,32767,32767,32767,160
1771685326912000,1771685326912000,32767,32767,32767,32767,32767,32767,32767,160
1771685326916000,1771685326916000,32767,32767,32767,32767,32767,32767,32767,160
1771685326920000,1771685326920000,32767,32767,32767,32767,0,32767,32767,160
1771685326924000,1771685326924000,32767,32767,32767,32767,32767,32767,32767,160
1771685326928000,1771685326928000,32767,32767,32767,32767,32767,32767,32767,160
1771685326932000,1771685326932000,32767,32767,32767,32767,32767,32767,32767,160
1771685326936000,1771685326936000,32767,32767,32767,32767,32767,32767,32767,160
1771685326940000,1771685326940000,32767,32767,32767,32767,32767,32767,32767,160
1771685326944000,1771685326944000,32767,32767,32767,32767,32767,32767,32767,160
1771685326948000,1771685326948000,32767,32767,32767,32767,32767,32767,32767,160
1771685326952000,1771685326952000,32767,32767,32767,32767,32767,0,32767,160
1771685326956000,1771685326956000,32767,32767,32767,32767,32767,0,32767,160
1771685326960000,1771685326960000,32767,32767,32767,32767,32767,32767,32767,160
1771685326964000,1771685326964000,32767,32767,32767,32767,32767,32767,32767,160
1771685326968000,1771685326968000,32767,32767,32767,32767,32767,32767,32767,160
1771685326972000,1771685326972000,32767,32767,32767,32767,0,32767,32767,160
1771685326976000,1771685326976000,32767,32767,32767,32767,32767,32767,32767,160
