timestamp,pub_timestamp,publisher_id,led_mask,color,mode,num_blinks,priority
1771685324896000,1771685324896000,93,255,1,5,0,0
1771685325376000,1771685325376000,93,255,2,5,0,0
1771685326084000,1771685326084000,93,255,2,6,0,0
1771685326408000,1771685326408000,93,255,2,6,0,0
1771685326408000,1771685326408000,93,255,2,1,0,0
1771685326420000,1771685326420000,93,255,2,1,0,0
1771685401528000,1771685401528000,93,255,2,1,0,0
1771685401528000,1771685401528000,93,255,2,1,0,0
1771685401528000,1771685401528000,93,255,2,1,0,0
1771685437540000,1771685437540000,93,255,2,1,0,0
1771685437564000,1771685437564000,93,255,2,1,0,0
1771685437564000,1771685437564000,93,255,2,1,0,0
1771685437564000,1771685437564000,93,255,2,1,0,0
1771685437564000,1771685437564000,93,255,2,1,0,0
1771685437564000,1771685437564000,93,255,2,1,0,0
1771685437564000,1771685437564000,93,255,2,1,0,0
1771685517508000,1771685517508000,93,255,2,1,0,0
1771685519476000,1771685519476000,93,255,8,5,0,0
1771685520184000,1771685520184000,93,255,2,6,0,0
