timestamp,pub_timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_pressure_pa,ambient_temperature,rho,publisher_id,temperature_source,calibration_count
1771685329572000,1771685329572000,1771685329548000,6620172,488.0089,95599.09,15.0,1.1555852,126,0,1
1771685329624000,1771685329624000,1771685329600000,6620172,487.97134,95599.54,15.0,1.1555905,126,0,1
1771685329676000,1771685329676000,1771685329652000,6620172,487.96198,95599.62,15.0,1.1555915,126,0,1
1771685329728000,1771685329728000,1771685329704000,6620172,487.97604,95599.445,15.0,1.1555893,126,0,1
1771685329780000,1771685329780000,1771685329756000,6620172,487.96664,95599.555,15.0,1.1555907,126,0,1
1771685329832000,1771685329832000,1771685329808000,6620172,487.95258,95599.734,15.0,1.1555929,126,0,1
1771685329884000,1771685329884000,1771685329860000,6620172,487.98074,95599.414,15.0,1.155589,126,0,1
1771685329936000,1771685329936000,1771685329912000,6620172,488.0042,95599.125,15.0,1.1555855,126,0,1
1771685329988000,1771685329988000,1771685329964000,6620172,487.99484,95599.266,15.0,1.1555872,126,0,1
1771685330040000,1771685330040000,1771685330016000,6620172,488.03708,95598.79,15.0,1.1555815,126,0,1
1771685330092000,1771685330092000,1771685330068000,6620172,487.95728,95599.695,15.0,1.1555924,126,0,1
1771685330144000,1771685330144000,1771685330120000,6620172,487.9995,95599.195,15.0,1.1555864,126,0,1
1771685330196000,1771685330196000,1771685330172000,6620172,487.99014,95599.305,15.0,1.1555877,126,0,1
1771685330248000,1771685330248000,1771685330224000,6620172,488.02768,95598.88,15.0,1.1555825,126,0,1
1771685330300000,1771685330300000,1771685330276000,6620172,487.9995,95599.195,15.0,1.1555864,126,0,1
1771685330352000,1771685330352000,1771685330328000,6620172,487.94318,95599.83,15.0,1.155594,126,0,1
1771685330404000,1771685330404000,1771685330380000,6620172,487.99484,95599.25,15.0,1.1555871,126,0,1
1771685330456000,1771685330456000,1771685330432000,6620172,488.0136,95599.04,15.0,1.1555845,126,0,1
1771685330508000,1771685330508000,1771685330484000,6620172,488.0136,95599.016,15.0,1.1555842,126,0,1
1771685330560000,1771685330560000,1771685330536000,6620172,488.0042,95599.17,15.0,1.1555861,126,0,1
1771685330612000,1771685330612000,1771685330588000,6620172,487.98544,95599.34,15.0,1.1555882,126,0,1
1771685330664000,1771685330664000,1771685330640000,6620172,488.07935,95598.25,15.0,1.1555749,126,0,1
1771685330716000,1771685330716000,1771685330692000,6620172,488.06055,95598.51,15.0,1.155578,126,0,1
1771685330768000,1771685330768000,1771685330744000,6620172,488.06055,95598.47,15.0,1.1555775,126,0,1
