timestamp,pub_timestamp,voltage_v,current_a,current_average_a,discharged_mah,remaining,scale,time_remaining_s,temperature,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,full_charge_capacity_wh,remaining_capacity_wh,nominal_voltage,internal_resistance_estimate,ocv_estimate,ocv_estimate_filtered,volt_based_soc_estimate,voltage_prediction,prediction_error,estimation_covariance_norm,capacity,cycle_count,average_time_to_empty,manufacture_date,state_of_health,max_error,interface_error,faults,over_discharge_count,publisher_id,connected,cell_count,source,priority,id,is_powering_off,is_required,warning
1771685326552000,1771685326552000,16.1958,-1.0,0.007137547,0.0,0.98866177,1.0012614,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.1758,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
1771685326560000,1771685326560000,16.19556,-1.0,0.0071361195,0.0,0.9887495,1.0012516,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.17556,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
1771685326572000,1771685326572000,16.195202,-1.0,0.0071346927,0.0,0.9888344,1.0012422,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.175201,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
1771685326580000,1771685326580000,16.194962,-1.0,0.007133266,0.0,0.98891735,1.001233,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.174961,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
1771685326592000,1771685326592000,16.194601,-1.0,0.0071318396,0.0,0.98899746,1.0012239,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.1746,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
1771685326600000,1771685326600000,16.19436,-1.0,0.007130414,0.0,0.98907566,1.0012152,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.17436,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
1771685326612000,1771685326612000,16.194,-1.0,0.007128988,0.0,0.989151,1.0012069,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.174,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
1771685326620000,1771685326620000,16.193762,-1.0,0.0071275625,0.0,0.98922443,1.0011986,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.173761,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
1771685326632000,1771685326632000,16.193401,-1.0,0.007126137,0.0,0.98929405,1.0011909,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.1734,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
1771685326640000,1771685326640000,16.193161,-1.0,0.007124712,0.0,0.9893627,1.0011833,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.17316,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
