timestamp,pub_timestamp,mode_req_angular_velocity,mode_req_attitude,mode_req_local_alt,mode_req_local_position,mode_req_local_position_relaxed,mode_req_global_position,mode_req_global_position_relaxed,mode_req_mission,mode_req_offboard_signal,mode_req_home_position,mode_req_wind_and_flight_time_compliance,mode_req_prevent_arming,mode_req_manual_control,mode_req_other,publisher_id,angular_velocity_invalid,attitude_invalid,local_altitude_invalid,local_position_invalid,local_position_invalid_relaxed,local_velocity_invalid,global_position_invalid,global_position_invalid_relaxed,auto_mission_missing,offboard_control_signal_lost,home_position_invalid,manual_control_signal_lost,gcs_connection_lost,battery_warning,battery_low_remaining_time,battery_unhealthy,geofence_breached,mission_failure,vtol_fixed_wing_system_failure,wind_limit_exceeded,flight_time_limit_exceeded,position_accuracy_low,navigator_failure,fd_critical_failure,fd_esc_arming_failure,fd_imbalanced_prop,fd_motor_failure
1771685325976000,1771685325976000,8311934,8310910,8257662,7995448,262212,56,0,8,16384,32,2621464,3944480,33863,2139095040,93,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685326540000,1771685326540000,8311934,8310910,8257662,7995448,262212,56,0,8,16384,32,2621464,3944480,33863,2139095040,93,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685327080000,1771685327080000,8311934,8310910,8257662,7995448,262212,56,0,8,16384,32,2621464,3944480,33863,2139095040,93,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685327620000,1771685327620000,8311934,8310910,8257662,7995448,262212,56,0,8,16384,32,2621464,3944480,33863,2139095040,93,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685328160000,1771685328160000,8311934,8310910,8257662,7995448,262212,56,0,8,16384,32,2621464,3944480,33863,2139095040,93,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685328700000,1771685328700000,8311934,8310910,8257662,7995448,262212,56,0,8,16384,32,2621464,3944480,33863,2139095040,93,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685329240000,1771685329240000,8311934,8310910,8257662,7995448,262212,56,0,8,16384,32,2621464,3944480,33863,2139095040,93,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685329780000,1771685329780000,8311934,8310910,8257662,7995448,262212,56,0,8,16384,32,2621464,3944480,33863,2139095040,93,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685330320000,1771685330320000,8311934,8310910,8257662,7995448,262212,56,0,8,16384,32,2621464,3944480,33863,2139095040,93,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685330860000,1771685330860000,8311934,8310910,8257662,7995448,262212,56,0,8,16384,32,2621464,3944480,33863,2139095040,93,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685331400000,1771685331400000,8311934,8310910,8257662,7995448,262212,56,0,8,16384,32,2621464,3944480,33863,2139095040,93,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685331940000,1771685331940000,8311934,8310910,8257662,7995448,262212,56,0,8,16384,32,2621464,3944480,33863,2139095040,93,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685332480000,1771685332480000,8311934,8310910,8257662,7995448,262212,56,0,8,16384,32,2621464,3944480,33863,2139095040,93,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685333020000,1771685333020000,8311934,8310910,8257662,7995448,262212,56,0,8,16384,32,2621464,3944480,33863,2139095040,93,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685333560000,1771685333560000,8311934,8310910,8257662,7995448,262212,56,0,8,16384,32,2621464,3944480,33863,2139095040,93,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685334100000,1771685334100000,8311934,8310910,8257662,7995448,262212,56,0,8,16384,32,2621464,3944480,33863,2139095040,93,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685334640000,1771685334640000,8311934,8310910,8257662,7995448,262212,56,0,8,16384,32,2621464,3944480,33863,2139095040,93,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685335180000,1771685335180000,8311934,8310910,8257662,7995448,262212,56,0,8,16384,32,2621464,3944480,33863,2139095040,93,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685335720000,1771685335720000,8311934,8310910,8257662,7995448,262212,56,0,8,16384,32,2621464,3944480,33863,2139095040,93,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685336260000,1771685336260000,8311934,8310910,8257662,7995448,262212,56,0,8,16384,32,2621464,3944480,33863,2139095040,93,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685336800000,1771685336800000,8311934,8310910,8257662,7995448,262212,56,0,8,16384,32,2621464,3944480,33863,2139095040,93,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685337340000,1771685337340000,8311934,8310910,8257662,7995448,262212,56,0,8,16384,32,2621464,3944480,33863,2139095040,93,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685337880000,1771685337880000,8311934,8310910,8257662,7995448,262212,56,0,8,16384,32,2621464,3944480,33863,2139095040,93,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685338420000,1771685338420000,8311934,8310910,8257662,7995448,262212,56,0,8,16384,32,2621464,3944480,33863,2139095040,93,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685338960000,1771685338960000,8311934,8310910,8257662,7995448,262212,56,0,8,16384,32,2621464,3944480,33863,2139095040,93,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685339500000,1771685339500000,8311934,8310910,8257662,7995448,262212,56,0,8,16384,32,2621464,3944480,33863,2139095040,93,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
