timestamp,pub_timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],publisher_id
1771685326668000,1771685326668000,1771685326668000,-0.03606934,-0.01344802,-9.833217,126
1771685326672000,1771685326672000,1771685326672000,-0.04087995,-0.014418179,-9.82902,126
1771685326676000,1771685326676000,1771685326676000,-0.031313736,0.0011923583,-9.819065,126
1771685326680000,1771685326680000,1771685326680000,-0.011498299,0.019051796,-9.813805,126
1771685326684000,1771685326684000,1771685326684000,0.005517166,0.027671745,-9.812316,126
1771685326688000,1771685326688000,1771685326688000,0.007910821,0.023809385,-9.808748,126
1771685326692000,1771685326692000,1771685326692000,-0.0004631076,0.01198972,-9.804448,126
1771685326696000,1771685326696000,1771685326696000,-0.0125826625,-0.001558576,-9.79425,126
1771685326700000,1771685326700000,1771685326700000,-0.025731556,-0.01207097,-9.776324,126
1771685326704000,1771685326704000,1771685326704000,-0.030937536,-0.013096979,-9.764666,126
1771685326708000,1771685326708000,1771685326708000,-0.020330563,-0.0047658565,-9.764254,126
1771685326712000,1771685326712000,1771685326712000,0.000207528,-0.00059713225,-9.769214,126
1771685326716000,1771685326716000,1771685326716000,0.013635822,-0.015357918,-9.77904,126
1771685326720000,1771685326720000,1771685326720000,0.011816923,-0.04202101,-9.789373,126
1771685326724000,1771685326724000,1771685326724000,0.0047055944,-0.05718026,-9.796547,126
1771685326728000,1771685326728000,1771685326728000,-0.0044903895,-0.046187364,-9.809839,126
1771685326732000,1771685326732000,1771685326732000,-0.020015895,-0.016562695,-9.827619,126
1771685326736000,1771685326736000,1771685326736000,-0.026386771,0.0065336707,-9.832159,126
1771685326740000,1771685326740000,1771685326740000,-0.01609781,0.008432207,-9.826511,126
1771685326744000,1771685326744000,1771685326744000,-0.0059611453,0.0013940615,-9.833599,126
1771685326748000,1771685326748000,1771685326748000,0.004136705,0.0008157348,-9.849739,126
1771685326752000,1771685326752000,1771685326752000,0.020370908,0.0046621403,-9.851326,126
1771685326756000,1771685326756000,1771685326756000,0.025156891,0.010828198,-9.843338,126
1771685326760000,1771685326760000,1771685326760000,0.0062872367,0.02188867,-9.839312,126
1771685326764000,1771685326764000,1771685326764000,-0.018505497,0.028861806,-9.827421,126
1771685326768000,1771685326768000,1771685326768000,-0.027993891,0.025526747,-9.803366,126
1771685326772000,1771685326772000,1771685326772000,-0.02344874,0.020263303,-9.793487,126
1771685326776000,1771685326776000,1771685326776000,-0.016340649,0.017782332,-9.814882,126
1771685326780000,1771685326780000,1771685326780000,-0.013342698,0.014770042,-9.842833,126
1771685326784000,1771685326784000,1771685326784000,-0.015492249,0.0117987925,-9.848425,126
1771685326788000,1771685326788000,1771685326788000,-0.018646264,0.015174121,-9.838517,126
1771685326792000,1771685326792000,1771685326792000,-0.018592574,0.025863225,-9.833617,126
1771685326796000,1771685326796000,1771685326796000,-0.01656878,0.03322314,-9.83487,126
1771685326800000,1771685326800000,1771685326800000,-0.015911017,0.029522669,-9.83562,126
1771685326804000,1771685326804000,1771685326804000,-0.018810572,0.021360872,-9.83592,126
1771685326808000,1771685326808000,1771685326808000,-0.026697572,0.013098821,-9.826991,126
1771685326812000,1771685326812000,1771685326812000,-0.03824751,-0.0022371025,-9.807838,126
1771685326816000,1771685326816000,1771685326816000,-0.049038462,-0.019896433,-9.801529,126
1771685326820000,1771685326820000,1771685326820000,-0.050595637,-0.023386862,-9.813357,126
1771685326824000,1771685326824000,1771685326824000,-0.03569345,-0.013243049,-9.821924,126
1771685326828000,1771685326828000,1771685326828000,-0.014827792,0.002745574,-9.8201065,126
1771685326832000,1771685326832000,1771685326832000,-0.0056317616,0.025857555,-9.81731,126
1771685326836000,1771685326836000,1771685326836000,-0.006912565,0.04562772,-9.816288,126
1771685326840000,1771685326840000,1771685326840000,-0.013554239,0.048051134,-9.809696,126
1771685326844000,1771685326844000,1771685326844000,-0.02662981,0.03831147,-9.795488,126
1771685326848000,1771685326848000,1771685326848000,-0.04044564,0.028556515,-9.784695,126
1771685326852000,1771685326852000,1771685326852000,-0.057561643,0.025420096,-9.783186,126
1771685326856000,1771685326856000,1771685326856000,-0.07984865,0.024637192,-9.78633,126
1771685326860000,1771685326860000,1771685326860000,-0.086829215,0.021897718,-9.792348,126
1771685326864000,1771685326864000,1771685326864000,-0.07325822,0.022976656,-9.805257,126
1771685326868000,1771685326868000,1771685326868000,-0.05859223,0.02783117,-9.821531,126
1771685326872000,1771685326872000,1771685326872000,-0.0469348,0.030694783,-9.827128,126
1771685326876000,1771685326876000,1771685326876000,-0.031399015,0.029415373,-9.822815,126
1771685326880000,1771685326880000,1771685326880000,-0.017784575,0.022790369,-9.825157,126
1771685326884000,1771685326884000,1771685326884000,-0.014183449,0.011261076,-9.837266,126
1771685326888000,1771685326888000,1771685326888000,-0.017783841,-0.0006042267,-9.845068,126
1771685326892000,1771685326892000,1771685326892000,-0.026070895,0.0013671265,-9.840434,126
1771685326896000,1771685326896000,1771685326896000,-0.04257997,0.026012188,-9.832294,126
1771685326900000,1771685326900000,1771685326900000,-0.060071364,0.049538266,-9.82416,126
1771685326904000,1771685326904000,1771685326904000,-0.056430154,0.047247957,-9.810691,126
1771685326908000,1771685326908000,1771685326908000,-0.026658237,0.03179034,-9.798975,126
1771685326912000,1771685326912000,1771685326912000,-0.00042506633,0.01718232,-9.792148,126
1771685326916000,1771685326916000,1771685326916000,-0.0005265833,0.0020838596,-9.784486,126
1771685326920000,1771685326920000,1771685326920000,-0.012370195,-0.0015487154,-9.7813,126
1771685326924000,1771685326924000,1771685326924000,-0.012820192,0.01171903,-9.789142,126
1771685326928000,1771685326928000,1771685326928000,-0.00018097693,0.02317412,-9.801014,126
1771685326932000,1771685326932000,1771685326932000,0.009987419,0.025879655,-9.803829,126
1771685326936000,1771685326936000,1771685326936000,0.0055258805,0.030020706,-9.799405,126
1771685326940000,1771685326940000,1771685326940000,-0.013542304,0.031617895,-9.80392,126
1771685326944000,1771685326944000,1771685326944000,-0.040999316,0.017099317,-9.820388,126
1771685326948000,1771685326948000,1771685326948000,-0.066153675,-0.0049337735,-9.833029,126
1771685326952000,1771685326952000,1771685326952000,-0.07738433,-0.016503196,-9.825292,126
1771685326956000,1771685326956000,1771685326956000,-0.068303525,-0.020646174,-9.799522,126
1771685326960000,1771685326960000,1771685326960000,-0.040830012,-0.027034134,-9.781707,126
1771685326964000,1771685326964000,1771685326964000,-0.014592066,-0.036897738,-9.789342,126
1771685326968000,1771685326968000,1771685326968000,-0.009735917,-0.04480418,-9.810032,126
1771685326972000,1771685326972000,1771685326972000,-0.019771518,-0.045207005,-9.824425,126
1771685326976000,1771685326976000,1771685326976000,-0.027383592,-0.04460296,-9.829621,126
1771685326980000,1771685326980000,1771685326980000,-0.024376664,-0.052395917,-9.839125,126
1771685326984000,1771685326984000,1771685326984000,-0.013747781,-0.06463429,-9.8602085,126
1771685326988000,1771685326988000,1771685326988000,-0.0036954274,-0.066514716,-9.8745575,126
1771685326992000,1771685326992000,1771685326992000,0.0037965248,-0.046617083,-9.860334,126
1771685326996000,1771685326996000,1771685326996000,0.01050395,-0.015703086,-9.824977,126
1771685327000000,1771685327000000,1771685327000000,0.020172954,0.008842416,-9.793875,126
1771685327004000,1771685327004000,1771685327004000,0.036522206,0.03226514,-9.780858,126
1771685327008000,1771685327008000,1771685327008000,0.04616146,0.05898522,-9.785225,126
1771685327012000,1771685327012000,1771685327012000,0.03267557,0.081245795,-9.7971,126
1771685327016000,1771685327016000,1771685327016000,0.0016463799,0.095136836,-9.80222,126
1771685327020000,1771685327020000,1771685327020000,-0.033330604,0.090987414,-9.799843,126
1771685327024000,1771685327024000,1771685327024000,-0.062588714,0.06502873,-9.803597,126
1771685327028000,1771685327028000,1771685327028000,-0.07589236,0.03419195,-9.8175125,126
1771685327032000,1771685327032000,1771685327032000,-0.068951726,0.013141291,-9.835344,126
1771685327036000,1771685327036000,1771685327036000,-0.054228596,0.002088752,-9.852615,126
1771685327040000,1771685327040000,1771685327040000,-0.047861807,-0.0025438732,-9.856824,126
1771685327044000,1771685327044000,1771685327044000,-0.04716301,-0.0019406474,-9.83637,126
1771685327048000,1771685327048000,1771685327048000,-0.039726343,0.00048119447,-9.805632,126
1771685327052000,1771685327052000,1771685327052000,-0.028072312,-0.0017218213,-9.788666,126
1771685327056000,1771685327056000,1771685327056000,-0.022706814,-0.0056025726,-9.7899,126
1771685327060000,1771685327060000,1771685327060000,-0.019519787,-0.0009972104,-9.795918,126
1771685327064000,1771685327064000,1771685327064000,-0.013007199,0.009904733,-9.7952795,126
1771685327068000,1771685327068000,1771685327068000,-0.014057378,0.016827477,-9.795183,126
1771685327072000,1771685327072000,1771685327072000,-0.028940478,0.016340168,-9.802963,126
1771685327076000,1771685327076000,1771685327076000,-0.044945624,0.011487,-9.804737,126
