timestamp,timestamp_sample,pub_timestamp,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_filtered[0],innovation_filtered[1],innovation_filtered[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],test_ratio_filtered[0],test_ratio_filtered[1],test_ratio_filtered[2],publisher_id,estimator_instance,innovation_rejected,fused
1771685326356000,1771685326204000,0,1771685326204000,0,0.21541777,0.010706831,0.43042648,0.0025000002,0.0025000002,0.0025000002,0.0012152591,0.00054879766,-0.0013421774,-0.0003862313,-0.00083861337,0.0016893811,0.0025031324,0.0025111584,0.0025017408,6.555585e-05,1.3317071e-05,8.005548e-05,-0.000102160455,-0.0001849327,0.000821791,0,0,0,1
1771685326428000,1771685326272000,0,1771685326276000,0,0.21201989,0.008875889,0.43682232,0.0025000002,0.0025000002,0.0025000002,0.00466276,0.002380549,-0.007761568,0.00021822535,-0.00045330744,0.000557745,0.0025031418,0.0025111681,0.0025017436,0.0009650686,0.00025059454,0.0026766157,2.5606394e-05,-0.00013279212,0.0004029677,0,0,0,1
1771685326492000,1771685326340000,0,1771685326340000,0,0.21659085,0.010838228,0.4291417,0.0025000002,0.0025000002,0.0025000002,4.4006156e-05,0.00048806984,-5.7578087e-05,0.00019736812,-0.00034060836,0.0004840755,0.0025031467,0.0025111637,0.0025017443,8.596033e-08,1.0539779e-05,1.4741468e-07,2.255113e-05,-0.00011563267,0.00035470744,0,0,0,1
1771685326564000,1771685326408000,0,1771685326412000,0,0.21392015,0.015588974,0.42924887,0.0025000002,0.0025000002,0.0025000002,0.002713324,-0.0042849183,-0.00016272068,0.0004985741,-0.00081286504,0.00040655382,0.002503132,0.0025111565,0.0025017404,0.00032679623,0.0008125582,1.1866744e-06,5.8974838e-05,-0.0001990674,0.0003121004,0,0,0,1
1771685326628000,1771685326476000,0,1771685326476000,0,0.21676524,0.010950651,0.42910308,0.0025000002,0.0025000002,0.0025000002,-0.000106766005,0.0002534166,-2.8252602e-05,0.00042610383,-0.00068520964,0.00035450957,0.0025031366,0.002511158,0.0025017418,5.0598646e-07,2.84191e-06,3.524109e-08,5.1853895e-05,-0.00017489516,0.00027473204,0,0,0,1
1771685326700000,1771685326544000,0,1771685326548000,0,0.22395258,0.008682933,0.42497167,0.0025000002,0.0025000002,0.0025000002,-0.007321208,0.002574793,0.0041131377,-0.0005013911,-0.00029479142,0.0008047528,0.0025031455,0.0025111625,0.002501744,0.0023792323,0.00029359668,0.0007521964,-0.00023919164,-0.000118808115,0.00033189327,0,0,0,1
1771685326764000,1771685326612000,0,1771685326612000,0,0.21624692,0.009795173,0.42830533,0.0025000002,0.0025000002,0.0025000002,0.00037559803,0.0013940996,0.0007882714,-0.00039639947,-9.2607326e-05,0.0008027598,0.0025031504,0.0025111646,0.0025017452,6.262059e-06,8.5987056e-05,2.7585604e-05,-0.00020980634,-9.4290386e-05,0.0002954621,0,0,0,1
1771685326836000,1771685326680000,0,1771685326684000,0,0.21744965,0.009735779,0.41826308,0.0025000002,0.0025000002,0.0025000002,-0.0008889757,0.0015157405,0.010858983,-0.00045536985,9.995779e-05,0.0020067063,0.0025031357,0.0025111574,0.0025017408,3.5079458e-05,0.00010167449,0.0052373935,-0.00018888834,-7.08298e-05,0.0008871017,0,0,0,1
1771685326900000,1771685326748000,0,1771685326748000,0,0.21757981,0.011913394,0.42963013,0.0025000002,0.0025000002,0.0025000002,-0.0011459505,-0.0007059574,-0.00044891238,-0.000538045,3.4964323e-06,0.001712762,0.0025031408,0.0025111532,0.0025017418,5.8291324e-05,2.204047e-05,8.937599e-06,-0.00017325349,-6.4988824e-05,0.0007798294,0,0,0,1
1771685326972000,1771685326816000,0,1771685326820000,0,0.22437224,0.0020997468,0.41874233,0.0025000002,0.0025000002,0.0025000002,-0.00803797,0.009105872,0.010487586,-0.0014359234,0.0010933682,0.002763546,0.0025031504,0.002511164,0.0025017436,0.0028678956,0.0036698272,0.004887169,-0.00049585145,0.000382137,0.0012715531,0,0,0,1
