timestamp,pub_timestamp,load,ram_usage,publisher_id
1771685326116000,1771685326116000,0.0,0.0,109
1771685326616000,1771685326616000,0.0,0.0,109
1771685327116000,1771685327116000,0.0,0.0,109
1771685327616000,1771685327616000,0.0,0.0,109
1771685328116000,1771685328116000,0.0,0.0,109
1771685328616000,1771685328616000,0.0,0.0,109
1771685329116000,1771685329116000,0.0,0.0,109
1771685329616000,1771685329616000,0.0,0.0,109
1771685330116000,1771685330116000,0.0,0.0,109
1771685330616000,1771685330616000,0.0,0.0,109
1771685331116000,1771685331116000,0.0,0.0,109
1771685331616000,1771685331616000,0.0,0.0,109
1771685332116000,1771685332116000,0.0,0.0,109
1771685332616000,1771685332616000,0.0,0.0,109
1771685333116000,1771685333116000,0.0,0.0,109
1771685333616000,1771685333616000,0.0,0.0,109
1771685334116000,1771685334116000,0.0,0.0,109
1771685334616000,1771685334616000,0.0,0.0,109
1771685335116000,1771685335116000,0.0,0.0,109
1771685335616000,1771685335616000,0.0,0.0,109
1771685336116000,1771685336116000,0.0,0.0,109
1771685336616000,1771685336616000,0.0,0.0,109
1771685337116000,1771685337116000,0.0,0.0,109
1771685337616000,1771685337616000,0.0,0.0,109
1771685338116000,1771685338116000,0.0,0.0,109
1771685338616000,1771685338616000,0.0,0.0,109
1771685339116000,1771685339116000,0.0,0.0,109
1771685339616000,1771685339616000,0.0,0.0,109
1771685340116000,1771685340116000,0.0,0.0,109
1771685340616000,1771685340616000,0.0,0.0,109
1771685341116000,1771685341116000,0.0,0.0,109
1771685341616000,1771685341616000,0.0,0.0,109
1771685342116000,1771685342116000,0.0,0.0,109
1771685342616000,1771685342616000,0.0,0.0,109
1771685343116000,1771685343116000,0.0,0.0,109
1771685343616000,1771685343616000,0.0,0.0,109
1771685344116000,1771685344116000,0.0,0.0,109
1771685344616000,1771685344616000,0.0,0.0,109
1771685345116000,1771685345116000,0.0,0.0,109
1771685345616000,1771685345616000,0.0,0.0,109
1771685346116000,1771685346116000,0.0,0.0,109
1771685346616000,1771685346616000,0.0,0.0,109
1771685347116000,1771685347116000,0.0,0.0,109
1771685347616000,1771685347616000,0.0,0.0,109
1771685348116000,1771685348116000,0.0,0.0,109
1771685348616000,1771685348616000,0.0,0.0,109
1771685349116000,1771685349116000,0.0,0.0,109
1771685349616000,1771685349616000,0.0,0.0,109
1771685350116000,1771685350116000,0.0,0.0,109
1771685350616000,1771685350616000,0.0,0.0,109
1771685351116000,1771685351116000,0.0,0.0,109
1771685351616000,1771685351616000,0.0,0.0,109
1771685352116000,1771685352116000,0.0,0.0,109
1771685352616000,1771685352616000,0.0,0.0,109
1771685353116000,1771685353116000,0.0,0.0,109
1771685353616000,1771685353616000,0.0,0.0,109
1771685354116000,1771685354116000,0.0,0.0,109
1771685354616000,1771685354616000,0.0,0.0,109
1771685355116000,1771685355116000,0.0,0.0,109
1771685355616000,1771685355616000,0.0,0.0,109
1771685356116000,1771685356116000,0.0,0.0,109
1771685356616000,1771685356616000,0.0,0.0,109
1771685357116000,1771685357116000,0.0,0.0,109
1771685357616000,1771685357616000,0.0,0.0,109
1771685358116000,1771685358116000,0.0,0.0,109
1771685358616000,1771685358616000,0.0,0.0,109
1771685359116000,1771685359116000,0.0,0.0,109
1771685359616000,1771685359616000,0.0,0.0,109
1771685360116000,1771685360116000,0.0,0.0,109
1771685360616000,1771685360616000,0.0,0.0,109
1771685361116000,1771685361116000,0.0,0.0,109
1771685361616000,1771685361616000,0.0,0.0,109
1771685362116000,1771685362116000,0.0,0.0,109
1771685362616000,1771685362616000,0.0,0.0,109
1771685363116000,1771685363116000,0.0,0.0,109
1771685363616000,1771685363616000,0.0,0.0,109
1771685364116000,1771685364116000,0.0,0.0,109
1771685364616000,1771685364616000,0.0,0.0,109
1771685365116000,1771685365116000,0.0,0.0,109
1771685365616000,1771685365616000,0.0,0.0,109
1771685366116000,1771685366116000,0.0,0.0,109
1771685366616000,1771685366616000,0.0,0.0,109
1771685367116000,1771685367116000,0.0,0.0,109
1771685367616000,1771685367616000,0.0,0.0,109
1771685368116000,1771685368116000,0.0,0.0,109
1771685368616000,1771685368616000,0.0,0.0,109
1771685369116000,1771685369116000,0.0,0.0,109
1771685369616000,1771685369616000,0.0,0.0,109
1771685370116000,1771685370116000,0.0,0.0,109
1771685370616000,1771685370616000,0.0,0.0,109
1771685371116000,1771685371116000,0.0,0.0,109
1771685371616000,1771685371616000,0.0,0.0,109
1771685372116000,1771685372116000,0.0,0.0,109
1771685372616000,1771685372616000,0.0,0.0,109
1771685373116000,1771685373116000,0.0,0.0,109
1771685373616000,1771685373616000,0.0,0.0,109
1771685374116000,1771685374116000,0.0,0.0,109
1771685374616000,1771685374616000,0.0,0.0,109
1771685375116000,1771685375116000,0.0,0.0,109
1771685375616000,1771685375616000,0.0,0.0,109
1771685376116000,1771685376116000,0.0,0.0,109
1771685376616000,1771685376616000,0.0,0.0,109
1771685377116000,1771685377116000,0.0,0.0,109
1771685377616000,1771685377616000,0.0,0.0,109
1771685378116000,1771685378116000,0.0,0.0,109
1771685378616000,1771685378616000,0.0,0.0,109
1771685379116000,1771685379116000,0.0,0.0,109
1771685379616000,1771685379616000,0.0,0.0,109
1771685380116000,1771685380116000,0.0,0.0,109
1771685380616000,1771685380616000,0.0,0.0,109
1771685381116000,1771685381116000,0.0,0.0,109
1771685381616000,1771685381616000,0.0,0.0,109
1771685382116000,1771685382116000,0.0,0.0,109
1771685382616000,1771685382616000,0.0,0.0,109
1771685383116000,1771685383116000,0.0,0.0,109
1771685383616000,1771685383616000,0.0,0.0,109
1771685384116000,1771685384116000,0.0,0.0,109
1771685384616000,1771685384616000,0.0,0.0,109
1771685385116000,1771685385116000,0.0,0.0,109
1771685385616000,1771685385616000,0.0,0.0,109
1771685386116000,1771685386116000,0.0,0.0,109
1771685386616000,1771685386616000,0.0,0.0,109
1771685387116000,1771685387116000,0.0,0.0,109
1771685387616000,1771685387616000,0.0,0.0,109
1771685388116000,1771685388116000,0.0,0.0,109
1771685388616000,1771685388616000,0.0,0.0,109
1771685389116000,1771685389116000,0.0,0.0,109
1771685389616000,1771685389616000,0.0,0.0,109
1771685390116000,1771685390116000,0.0,0.0,109
1771685390616000,1771685390616000,0.0,0.0,109
1771685391116000,1771685391116000,0.0,0.0,109
1771685391616000,1771685391616000,0.0,0.0,109
1771685392116000,1771685392116000,0.0,0.0,109
1771685392616000,1771685392616000,0.0,0.0,109
1771685393116000,1771685393116000,0.0,0.0,109
1771685393616000,1771685393616000,0.0,0.0,109
1771685394116000,1771685394116000,0.0,0.0,109
1771685394616000,1771685394616000,0.0,0.0,109
1771685395116000,1771685395116000,0.0,0.0,109
1771685395616000,1771685395616000,0.0,0.0,109
1771685396116000,1771685396116000,0.0,0.0,109
1771685396616000,1771685396616000,0.0,0.0,109
1771685397116000,1771685397116000,0.0,0.0,109
1771685397616000,1771685397616000,0.0,0.0,109
1771685398116000,1771685398116000,0.0,0.0,109
1771685398616000,1771685398616000,0.0,0.0,109
1771685399116000,1771685399116000,0.0,0.0,109
1771685399616000,1771685399616000,0.0,0.0,109
1771685400116000,1771685400116000,0.0,0.0,109
1771685400616000,1771685400616000,0.0,0.0,109
1771685401116000,1771685401116000,0.0,0.0,109
1771685401616000,1771685401616000,0.0,0.0,109
1771685402116000,1771685402116000,0.0,0.0,109
1771685402616000,1771685402616000,0.0,0.0,109
1771685403116000,1771685403116000,0.0,0.0,109
1771685403616000,1771685403616000,0.0,0.0,109
1771685404116000,1771685404116000,0.0,0.0,109
1771685404616000,1771685404616000,0.0,0.0,109
1771685405116000,1771685405116000,0.0,0.0,109
1771685405616000,1771685405616000,0.0,0.0,109
1771685406116000,1771685406116000,0.0,0.0,109
1771685406616000,1771685406616000,0.0,0.0,109
1771685407116000,1771685407116000,0.0,0.0,109
1771685407616000,1771685407616000,0.0,0.0,109
1771685408116000,1771685408116000,0.0,0.0,109
1771685408616000,1771685408616000,0.0,0.0,109
1771685409116000,1771685409116000,0.0,0.0,109
1771685409616000,1771685409616000,0.0,0.0,109
1771685410116000,1771685410116000,0.0,0.0,109
1771685410616000,1771685410616000,0.0,0.0,109
1771685411116000,1771685411116000,0.0,0.0,109
1771685411616000,1771685411616000,0.0,0.0,109
1771685412116000,1771685412116000,0.0,0.0,109
1771685412616000,1771685412616000,0.0,0.0,109
1771685413116000,1771685413116000,0.0,0.0,109
1771685413616000,1771685413616000,0.0,0.0,109
1771685414116000,1771685414116000,0.0,0.0,109
1771685414616000,1771685414616000,0.0,0.0,109
1771685415116000,1771685415116000,0.0,0.0,109
1771685415616000,1771685415616000,0.0,0.0,109
1771685416116000,1771685416116000,0.0,0.0,109
1771685416616000,1771685416616000,0.0,0.0,109
1771685417116000,1771685417116000,0.0,0.0,109
1771685417616000,1771685417616000,0.0,0.0,109
1771685418116000,1771685418116000,0.0,0.0,109
1771685418616000,1771685418616000,0.0,0.0,109
1771685419116000,1771685419116000,0.0,0.0,109
