timestamp,pub_timestamp,safe_points_id,publisher_id,is_evaluation_pending,has_vtol_approach,rtl_type,safe_point_index
1771685324548000,1771685324548000,1374737382,96,0,0,1,0
1771685326588000,1771685326588000,3900944787,96,0,0,1,0
1771685328604000,1771685328604000,3900944787,96,0,0,1,0
1771685330620000,1771685330620000,3900944787,96,0,0,1,0
1771685332636000,1771685332636000,3900944787,96,0,0,1,0
1771685334652000,1771685334652000,3900944787,96,0,0,1,0
1771685336668000,1771685336668000,3900944787,96,0,0,1,0
1771685338684000,1771685338684000,3900944787,96,0,0,1,0
1771685340700000,1771685340700000,3900944787,96,0,0,1,0
1771685342716000,1771685342716000,3900944787,96,0,0,1,0
1771685344732000,1771685344732000,3900944787,96,0,0,1,0
1771685346748000,1771685346748000,3900944787,96,0,0,1,0
1771685348764000,1771685348764000,3900944787,96,0,0,1,0
1771685350780000,1771685350780000,3900944787,96,0,0,1,0
1771685352796000,1771685352796000,3900944787,96,0,0,1,0
1771685354812000,1771685354812000,3900944787,96,0,0,1,0
1771685356828000,1771685356828000,3900944787,96,0,0,1,0
1771685358844000,1771685358844000,3900944787,96,0,0,1,0
1771685360860000,1771685360860000,3900944787,96,0,0,1,0
1771685362876000,1771685362876000,3900944787,96,0,0,1,0
1771685364892000,1771685364892000,3900944787,96,0,0,1,0
1771685366908000,1771685366908000,3900944787,96,0,0,1,0
1771685368924000,1771685368924000,3900944787,96,0,0,1,0
1771685370940000,1771685370940000,3900944787,96,0,0,1,0
1771685372956000,1771685372956000,3900944787,96,0,0,1,0
1771685374972000,1771685374972000,3900944787,96,0,0,1,0
1771685376988000,1771685376988000,3900944787,96,0,0,1,0
1771685379004000,1771685379004000,3900944787,96,0,0,1,0
1771685381020000,1771685381020000,3900944787,96,0,0,1,0
1771685383036000,1771685383036000,3900944787,96,0,0,1,0
1771685385052000,1771685385052000,3900944787,96,0,0,1,0
1771685387068000,1771685387068000,3900944787,96,0,0,1,0
1771685389084000,1771685389084000,3900944787,96,0,0,1,0
1771685391100000,1771685391100000,3900944787,96,0,0,1,0
1771685393116000,1771685393116000,3900944787,96,0,0,1,0
1771685395132000,1771685395132000,3900944787,96,0,0,1,0
1771685397148000,1771685397148000,3900944787,96,0,0,1,0
1771685399164000,1771685399164000,3900944787,96,0,0,1,0
1771685401180000,1771685401180000,3900944787,96,0,0,1,0
1771685403196000,1771685403196000,3900944787,96,0,0,1,0
1771685405212000,1771685405212000,3900944787,96,0,0,1,0
1771685407228000,1771685407228000,3900944787,96,0,0,1,0
1771685409244000,1771685409244000,3900944787,96,0,0,1,0
1771685411260000,1771685411260000,3900944787,96,0,0,1,0
1771685413276000,1771685413276000,3900944787,96,0,0,1,0
1771685415292000,1771685415292000,3900944787,96,0,0,1,0
1771685417308000,1771685417308000,3900944787,96,0,0,1,0
1771685419324000,1771685419324000,3900944787,96,0,0,1,0
1771685421340000,1771685421340000,3900944787,96,0,0,1,0
1771685423356000,1771685423356000,3900944787,96,0,0,1,0
1771685425372000,1771685425372000,3900944787,96,0,0,1,0
1771685427388000,1771685427388000,3900944787,96,0,0,1,0
1771685429404000,1771685429404000,3900944787,96,0,0,1,0
1771685431420000,1771685431420000,3900944787,96,0,0,1,0
1771685433436000,1771685433436000,3900944787,96,0,0,1,0
1771685435452000,1771685435452000,3900944787,96,0,0,1,0
1771685437468000,1771685437468000,3900944787,96,0,0,1,0
1771685437552000,1771685437552000,3900944787,96,0,0,1,0
1771685520132000,1771685520132000,3900944787,96,0,0,1,0
