timestamp,pub_timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],publisher_id
1771685326796000,1771685326796000,0.0,0.9999981,-0.0,0.0,-0.0019454478,0.0,0.0,-0.001,52
1771685326804000,1771685326804000,0.0,0.9999981,-0.0,0.0,-0.0019509152,0.0,0.0,-0.001,52
1771685326812000,1771685326812000,0.0,0.9999981,-0.0,0.0,-0.0019468702,0.0,0.0,-0.001,52
1771685326820000,1771685326820000,0.0,0.999998,-0.0,0.0,-0.001990825,0.0,0.0,-0.001,52
1771685326828000,1771685326828000,0.0,0.9999979,-0.0,0.0,-0.0020245786,0.0,0.0,-0.001,52
1771685326836000,1771685326836000,0.0,0.9999979,-0.0,0.0,-0.0020263423,0.0,0.0,-0.001,52
1771685326844000,1771685326844000,0.0,0.9999979,-0.0,0.0,-0.002028799,0.0,0.0,-0.001,52
1771685326852000,1771685326852000,0.0,0.9999979,-0.0,0.0,-0.0020311961,0.0,0.0,-0.001,52
1771685326860000,1771685326860000,0.0,0.9999979,-0.0,0.0,-0.0020197546,0.0,0.0,-0.001,52
1771685326868000,1771685326868000,0.0,0.999998,-0.0,0.0,-0.002004648,0.0,0.0,-0.001,52
1771685326876000,1771685326876000,0.0,0.9999979,-0.0,0.0,-0.002024651,0.0,0.0,-0.001,52
1771685326884000,1771685326884000,0.0,0.9999979,-0.0,0.0,-0.0020318578,0.0,0.0,-0.001,52
1771685326892000,1771685326892000,0.0,0.9999979,-0.0,0.0,-0.002031561,0.0,0.0,-0.001,52
1771685326900000,1771685326900000,0.0,0.9999979,-0.0,0.0,-0.002044589,0.0,0.0,-0.001,52
1771685326908000,1771685326908000,0.0,0.9999978,-0.0,0.0,-0.0020815865,0.0,0.0,-0.001,52
1771685326916000,1771685326916000,0.0,0.9999978,-0.0,0.0,-0.0020797707,0.0,0.0,-0.001,52
1771685326924000,1771685326924000,0.0,0.99999785,-0.0,0.0,-0.0020668614,0.0,0.0,-0.001,52
1771685326932000,1771685326932000,0.0,0.99999785,-0.0,0.0,-0.0020538205,0.0,0.0,-0.001,52
1771685326940000,1771685326940000,0.0,0.9999979,-0.0,0.0,-0.0020307507,0.0,0.0,-0.001,52
1771685326948000,1771685326948000,0.0,0.999998,-0.0,0.0,-0.002008207,0.0,0.0,-0.001,52
1771685326956000,1771685326956000,0.0,0.999998,-0.0,0.0,-0.0020064118,0.0,0.0,-0.001,52
1771685326964000,1771685326964000,0.0,0.9999979,-0.0,0.0,-0.002023894,0.0,0.0,-0.001,52
1771685326972000,1771685326972000,0.0,0.9999979,-0.0,0.0,-0.0020263898,0.0,0.0,-0.001,52
1771685326980000,1771685326980000,0.0,0.9999979,-0.0,0.0,-0.0020356993,0.0,0.0,-0.001,52
1771685326988000,1771685326988000,0.0,0.9999979,-0.0,0.0,-0.002019995,0.0,0.0,-0.001,52
1771685326996000,1771685326996000,0.0,0.999998,-0.0,0.0,-0.002010696,0.0,0.0,-0.001,52
1771685327004000,1771685327004000,0.0,0.999998,-0.0,0.0,-0.0020169278,0.0,0.0,-0.001,52
1771685327012000,1771685327012000,0.0,0.99999785,-0.0,0.0,-0.0020614944,0.0,0.0,-0.001,52
1771685327020000,1771685327020000,0.0,0.99999774,-0.0,0.0,-0.0021092207,0.0,0.0,-0.001,52
1771685327028000,1771685327028000,0.0,0.9999978,-0.0,0.0,-0.0020943098,0.0,0.0,-0.001,52
1771685327036000,1771685327036000,0.0,0.9999978,-0.0,0.0,-0.0020874247,0.0,0.0,-0.001,52
1771685327044000,1771685327044000,0.0,0.99999774,-0.0,0.0,-0.0021296053,0.0,0.0,-0.001,52
1771685327052000,1771685327052000,0.0,0.99999774,-0.0,0.0,-0.0021302123,0.0,0.0,-0.001,52
1771685327060000,1771685327060000,0.0,0.99999774,-0.0,0.0,-0.0021197095,0.0,0.0,-0.001,52
1771685327068000,1771685327068000,0.0,0.9999977,-0.0,0.0,-0.002153344,0.0,0.0,-0.001,52
1771685327076000,1771685327076000,0.0,0.9999977,-0.0,0.0,-0.0021426014,0.0,0.0,-0.001,52
