timestamp,timestamp_sample,pub_timestamp,time_last_fuse,device_id,observation,observation_variance,innovation,innovation_filtered,innovation_variance,test_ratio,test_ratio_filtered,publisher_id,estimator_instance,innovation_rejected,fused
1771685328036000,1771685327880000,0,1771685327884000,0,-487.91278,12.354284,-0.07498169,-0.1098985,12.3671665,1.8184452e-05,-4.224722e-05,0,0,0,1
1771685328084000,1771685327932000,0,1771685327932000,0,-487.8477,12.354216,-0.14120483,-0.11284765,12.367069,6.448999e-05,-4.4342552e-05,0,0,0,1
1771685328140000,1771685327984000,0,1771685327988000,0,-487.88174,12.354284,-0.10858154,-0.11244577,12.3671665,3.8133072e-05,-4.37576e-05,0,0,0,1
1771685328188000,1771685328036000,0,1771685328036000,0,-487.86856,12.354216,-0.122924805,-0.11343293,12.367069,4.8873368e-05,-4.423952e-05,0,0,0,1
1771685328244000,1771685328088000,0,1771685328092000,0,-487.90717,12.354284,-0.0859375,-0.11084278,12.3671665,2.3886647e-05,-4.2322223e-05,0,0,0,1
1771685328292000,1771685328140000,0,1771685328140000,0,-487.9032,12.354216,-0.09118652,-0.1089911,12.367069,2.6893946e-05,-4.0868836e-05,0,0,0,1
1771685328348000,1771685328192000,0,1771685328196000,0,-487.90866,12.354284,-0.08728027,-0.10694588,12.3671665,2.4638937e-05,-3.933993e-05,0,0,0,1
1771685328396000,1771685328244000,0,1771685328244000,0,-487.88123,12.354216,-0.0,-0.1077813,12.367069,4.338273e-05,-3.9720773e-05,0,0,0,1
1771685328452000,1771685328296000,0,1771685328300000,0,-487.91977,12.354284,-0.0,-0.105056584,12.3671665,2.0112911e-05,-3.7873655e-05,0,0,0,1
1771685328500000,1771685328348000,0,1771685328348000,0,-487.87347,12.354216,-0.0,-0.107035935,12.367069,5.1404804e-05,-3.914833e-05,0,0,0,1
1771685328556000,1771685328400000,0,1771685328404000,0,-487.85577,12.354284,-0.0,-0.11059973,12.3671665,6.787789e-05,-4.185474e-05,0,0,0,1
1771685328604000,1771685328452000,0,1771685328452000,0,-487.88046,12.354216,-0.0,-0.11161129,12.367069,4.7619636e-05,-4.239781e-05,0,0,0,1
1771685328660000,1771685328504000,0,1771685328508000,0,-487.91904,12.354284,-0.0,-0.10901163,12.3671665,2.2829812e-05,-4.0554445e-05,0,0,0,1
1771685328708000,1771685328556000,0,1771685328556000,0,-487.92914,12.354216,-0.0,-0.105834655,12.367069,1.833292e-05,-3.8461112e-05,0,0,0,1
1771685328764000,1771685328608000,0,1771685328612000,0,-487.85464,12.354284,-0.0,-0.11012682,12.3671665,7.413586e-05,-4.182178e-05,0,0,0,1
