timestamp,pub_timestamp,publisher_id,geofence_max_dist_triggered,geofence_max_alt_triggered,geofence_custom_fence_triggered,geofence_action
1771684928948000,1771684928948000,96,0,0,0,2
1771684929196000,1771684929196000,96,0,0,0,2
1771684929444000,1771684929444000,96,0,0,0,2
1771684929660000,1771684929660000,96,0,0,0,2
1771684929908000,1771684929908000,96,0,0,0,2
1771684930156000,1771684930156000,96,0,0,0,2
1771684930404000,1771684930404000,96,0,0,0,2
1771684930612000,1771684930612000,96,0,0,0,2
1771684930868000,1771684930868000,96,0,0,0,2
1771684931116000,1771684931116000,96,0,0,0,2
1771684931364000,1771684931364000,96,0,0,0,2
1771684931612000,1771684931612000,96,0,0,0,2
1771684931820000,1771684931820000,96,0,0,0,2
1771684932076000,1771684932076000,96,0,0,0,2
1771684932324000,1771684932324000,96,0,0,0,2
1771684932572000,1771684932572000,96,0,0,0,2
1771684932780000,1771684932780000,96,0,0,0,2
1771684933028000,1771684933028000,96,0,0,0,2
1771684933284000,1771684933284000,96,0,0,0,2
1771684933532000,1771684933532000,96,0,0,0,2
1771684933740000,1771684933740000,96,0,0,0,2
1771684933988000,1771684933988000,96,0,0,0,2
1771684934196000,1771684934196000,96,0,0,0,2
1771684934444000,1771684934444000,96,0,0,0,2
1771684934692000,1771684934692000,96,0,0,0,2
1771684934900000,1771684934900000,96,0,0,0,2
1771684935148000,1771684935148000,96,0,0,0,2
1771684935376000,1771684935376000,96,0,0,0,2
1771684935604000,1771684935604000,96,0,0,0,2
1771684935852000,1771684935852000,96,0,0,0,2
1771684936108000,1771684936108000,96,0,0,0,2
1771684936356000,1771684936356000,96,0,0,0,2
1771684936580000,1771684936580000,96,0,0,0,2
1771684936836000,1771684936836000,96,0,0,0,2
1771684937084000,1771684937084000,96,0,0,0,2
1771684937340000,1771684937340000,96,0,0,0,2
1771684937588000,1771684937588000,96,0,0,0,2
1771684937844000,1771684937844000,96,0,0,0,2
1771684938092000,1771684938092000,96,0,0,0,2
1771684938348000,1771684938348000,96,0,0,0,2
1771684938596000,1771684938596000,96,0,0,0,2
1771684938852000,1771684938852000,96,0,0,0,2
1771684939100000,1771684939100000,96,0,0,0,2
1771684939356000,1771684939356000,96,0,0,0,2
1771684939604000,1771684939604000,96,0,0,0,2
1771684939860000,1771684939860000,96,0,0,0,2
1771684940108000,1771684940108000,96,0,0,0,2
1771684940364000,1771684940364000,96,0,0,0,2
1771684940612000,1771684940612000,96,0,0,0,2
1771684940868000,1771684940868000,96,0,0,0,2
1771684941116000,1771684941116000,96,0,0,0,2
1771684941372000,1771684941372000,96,0,0,0,2
1771684941620000,1771684941620000,96,0,0,0,2
1771684941876000,1771684941876000,96,0,0,0,2
1771684942124000,1771684942124000,96,0,0,0,2
1771684942380000,1771684942380000,96,0,0,0,2
1771684942628000,1771684942628000,96,0,0,0,2
1771684942884000,1771684942884000,96,0,0,0,2
1771684943132000,1771684943132000,96,0,0,0,2
1771684943388000,1771684943388000,96,0,0,0,2
1771684943636000,1771684943636000,96,0,0,0,2
1771684943892000,1771684943892000,96,0,0,0,2
1771684944140000,1771684944140000,96,0,0,0,2
1771684944396000,1771684944396000,96,0,0,0,2
1771684944644000,1771684944644000,96,0,0,0,2
1771684944900000,1771684944900000,96,0,0,0,2
1771684945148000,1771684945148000,96,0,0,0,2
1771684945404000,1771684945404000,96,0,0,0,2
1771684945652000,1771684945652000,96,0,0,0,2
1771684945908000,1771684945908000,96,0,0,0,2
1771684946156000,1771684946156000,96,0,0,0,2
1771684946412000,1771684946412000,96,0,0,0,2
1771684946660000,1771684946660000,96,0,0,0,2
1771684946916000,1771684946916000,96,0,0,0,2
1771684947164000,1771684947164000,96,0,0,0,2
1771684947420000,1771684947420000,96,0,0,0,2
1771684947668000,1771684947668000,96,0,0,0,2
1771684947924000,1771684947924000,96,0,0,0,2
1771684948172000,1771684948172000,96,0,0,0,2
1771684948428000,1771684948428000,96,0,0,0,2
1771684948676000,1771684948676000,96,0,0,0,2
1771684948932000,1771684948932000,96,0,0,0,2
1771684949180000,1771684949180000,96,0,0,0,2
1771684949436000,1771684949436000,96,0,0,0,2
1771684949684000,1771684949684000,96,0,0,0,2
1771684949940000,1771684949940000,96,0,0,0,2
1771684950188000,1771684950188000,96,0,0,0,2
1771684950444000,1771684950444000,96,0,0,0,2
1771684950692000,1771684950692000,96,0,0,0,2
1771684950948000,1771684950948000,96,0,0,0,2
1771684951196000,1771684951196000,96,0,0,0,2
1771684951452000,1771684951452000,96,0,0,0,2
1771684951700000,1771684951700000,96,0,0,0,2
1771684951956000,1771684951956000,96,0,0,0,2
1771684952204000,1771684952204000,96,0,0,0,2
1771684952460000,1771684952460000,96,0,0,0,2
1771684952708000,1771684952708000,96,0,0,0,2
1771684952964000,1771684952964000,96,0,0,0,2
1771684953212000,1771684953212000,96,0,0,0,2
1771684953468000,1771684953468000,96,0,0,0,2
