timestamp,pub_timestamp,tilt_limit,publisher_id,takeoff_state
1771684941348000,1771684941348000,0.3902392,52,5
1771684941356000,1771684941356000,0.3918392,52,5
1771684941364000,1771684941364000,0.3934392,52,5
1771684941372000,1771684941372000,0.3950392,52,5
1771684941380000,1771684941380000,0.3966392,52,5
1771684941388000,1771684941388000,0.3982392,52,5
1771684941396000,1771684941396000,0.3998392,52,5
1771684941404000,1771684941404000,0.4014392,52,5
1771684941412000,1771684941412000,0.4030392,52,5
1771684941420000,1771684941420000,0.40463918,52,5
1771684941428000,1771684941428000,0.40623918,52,5
1771684941436000,1771684941436000,0.40783918,52,5
1771684941444000,1771684941444000,0.40943918,52,5
1771684941452000,1771684941452000,0.41103917,52,5
1771684941460000,1771684941460000,0.41263917,52,5
1771684941468000,1771684941468000,0.41423917,52,5
1771684941476000,1771684941476000,0.41583917,52,5
1771684941484000,1771684941484000,0.41743916,52,5
1771684941492000,1771684941492000,0.41903916,52,5
1771684941500000,1771684941500000,0.42063916,52,5
1771684941508000,1771684941508000,0.42223915,52,5
1771684941516000,1771684941516000,0.42383915,52,5
1771684941524000,1771684941524000,0.42543915,52,5
1771684941532000,1771684941532000,0.42703915,52,5
1771684941540000,1771684941540000,0.42863914,52,5
1771684941548000,1771684941548000,0.43023914,52,5
1771684941556000,1771684941556000,0.43183914,52,5
1771684941564000,1771684941564000,0.43343914,52,5
1771684941572000,1771684941572000,0.43503913,52,5
1771684941580000,1771684941580000,0.43663913,52,5
1771684941588000,1771684941588000,0.43823913,52,5
1771684941596000,1771684941596000,0.43983912,52,5
1771684941604000,1771684941604000,0.44143912,52,5
1771684941612000,1771684941612000,0.44303912,52,5
1771684941620000,1771684941620000,0.44463912,52,5
1771684941628000,1771684941628000,0.4462391,52,5
1771684941636000,1771684941636000,0.4478391,52,5
1771684941644000,1771684941644000,0.4494391,52,5
1771684941652000,1771684941652000,0.4510391,52,5
1771684941660000,1771684941660000,0.4526391,52,5
1771684941668000,1771684941668000,0.4542391,52,5
1771684941676000,1771684941676000,0.4558391,52,5
1771684941684000,1771684941684000,0.4574391,52,5
1771684941692000,1771684941692000,0.4590391,52,5
1771684941700000,1771684941700000,0.4606391,52,5
1771684941708000,1771684941708000,0.4622391,52,5
1771684941716000,1771684941716000,0.46383908,52,5
1771684941724000,1771684941724000,0.46543908,52,5
1771684941732000,1771684941732000,0.46703908,52,5
1771684941740000,1771684941740000,0.46863908,52,5
1771684941748000,1771684941748000,0.47023907,52,5
1771684941756000,1771684941756000,0.47183907,52,5
1771684941764000,1771684941764000,0.47343907,52,5
1771684941772000,1771684941772000,0.47503906,52,5
1771684941780000,1771684941780000,0.47663906,52,5
1771684941788000,1771684941788000,0.47823906,52,5
1771684941796000,1771684941796000,0.47983906,52,5
1771684941804000,1771684941804000,0.48143905,52,5
1771684941812000,1771684941812000,0.48303905,52,5
1771684941820000,1771684941820000,0.48463905,52,5
1771684941828000,1771684941828000,0.48623905,52,5
1771684941836000,1771684941836000,0.48783904,52,5
1771684941844000,1771684941844000,0.48943904,52,5
1771684941852000,1771684941852000,0.49103904,52,5
1771684941860000,1771684941860000,0.49263903,52,5
1771684941868000,1771684941868000,0.49423903,52,5
1771684941876000,1771684941876000,0.49583903,52,5
1771684941884000,1771684941884000,0.49743903,52,5
1771684941892000,1771684941892000,0.49903902,52,5
1771684941900000,1771684941900000,0.500639,52,5
1771684941908000,1771684941908000,0.50223905,52,5
1771684941916000,1771684941916000,0.5038391,52,5
1771684941924000,1771684941924000,0.5054391,52,5
1771684941932000,1771684941932000,0.5070391,52,5
1771684941940000,1771684941940000,0.50863916,52,5
1771684941948000,1771684941948000,0.5102392,52,5
1771684941956000,1771684941956000,0.5118392,52,5
1771684941964000,1771684941964000,0.51343924,52,5
1771684941972000,1771684941972000,0.51503927,52,5
1771684941980000,1771684941980000,0.5166393,52,5
1771684941988000,1771684941988000,0.5182393,52,5
1771684941996000,1771684941996000,0.51983935,52,5
1771684942004000,1771684942004000,0.5214394,52,5
1771684942012000,1771684942012000,0.5230394,52,5
1771684942020000,1771684942020000,0.5246394,52,5
1771684942028000,1771684942028000,0.52623945,52,5
1771684942036000,1771684942036000,0.5278395,52,5
1771684942044000,1771684942044000,0.5294395,52,5
1771684942052000,1771684942052000,0.53103954,52,5
1771684942060000,1771684942060000,0.53263956,52,5
1771684942068000,1771684942068000,0.5342396,52,5
1771684942076000,1771684942076000,0.5358396,52,5
1771684942084000,1771684942084000,0.53743964,52,5
1771684942092000,1771684942092000,0.5390397,52,5
1771684942100000,1771684942100000,0.5406397,52,5
1771684942108000,1771684942108000,0.5422397,52,5
1771684942116000,1771684942116000,0.54383975,52,5
1771684942124000,1771684942124000,0.5454398,52,5
1771684942132000,1771684942132000,0.5470398,52,5
1771684942140000,1771684942140000,0.54863983,52,5
1771684942148000,1771684942148000,0.55023986,52,5
1771684942156000,1771684942156000,0.5518399,52,5
1771684942164000,1771684942164000,0.5534399,52,5
1771684942172000,1771684942172000,0.55503994,52,5
1771684942180000,1771684942180000,0.55663997,52,5
1771684942188000,1771684942188000,0.55824,52,5
1771684942196000,1771684942196000,0.55984,52,5
1771684942204000,1771684942204000,0.56144005,52,5
1771684942212000,1771684942212000,0.5630401,52,5
1771684942220000,1771684942220000,0.5646401,52,5
1771684942228000,1771684942228000,0.56624013,52,5
1771684942236000,1771684942236000,0.56784016,52,5
1771684942244000,1771684942244000,0.5694402,52,5
1771684942252000,1771684942252000,0.5710402,52,5
1771684942260000,1771684942260000,0.57264024,52,5
1771684942268000,1771684942268000,0.57424027,52,5
1771684942276000,1771684942276000,0.5758403,52,5
1771684942284000,1771684942284000,0.5774403,52,5
1771684942292000,1771684942292000,0.57904035,52,5
1771684942300000,1771684942300000,0.5806404,52,5
1771684942308000,1771684942308000,0.5822404,52,5
1771684942316000,1771684942316000,0.5838404,52,5
1771684942324000,1771684942324000,0.58544046,52,5
1771684942332000,1771684942332000,0.5870405,52,5
1771684942340000,1771684942340000,0.5886405,52,5
1771684942348000,1771684942348000,0.59024054,52,5
1771684942356000,1771684942356000,0.59184057,52,5
1771684942364000,1771684942364000,0.5934406,52,5
1771684942372000,1771684942372000,0.5950406,52,5
1771684942380000,1771684942380000,0.59664065,52,5
1771684942388000,1771684942388000,0.5982407,52,5
1771684942396000,1771684942396000,0.5998407,52,5
1771684942404000,1771684942404000,0.6014407,52,5
1771684942412000,1771684942412000,0.60304075,52,5
1771684942420000,1771684942420000,0.6046408,52,5
1771684942428000,1771684942428000,0.6062408,52,5
1771684942436000,1771684942436000,0.60784084,52,5
1771684942444000,1771684942444000,0.60944086,52,5
1771684942452000,1771684942452000,0.6110409,52,5
1771684942460000,1771684942460000,0.6126409,52,5
1771684942468000,1771684942468000,0.61424094,52,5
1771684942476000,1771684942476000,0.615841,52,5
1771684942484000,1771684942484000,0.617441,52,5
1771684942492000,1771684942492000,0.619041,52,5
1771684942500000,1771684942500000,0.62064105,52,5
1771684942508000,1771684942508000,0.6222411,52,5
1771684942516000,1771684942516000,0.6238411,52,5
1771684942524000,1771684942524000,0.62544113,52,5
1771684942532000,1771684942532000,0.62704116,52,5
1771684942540000,1771684942540000,0.6286412,52,5
1771684942548000,1771684942548000,0.6302412,52,5
1771684942556000,1771684942556000,0.63184124,52,5
1771684942564000,1771684942564000,0.63344127,52,5
1771684942572000,1771684942572000,0.6350413,52,5
1771684942580000,1771684942580000,0.6366413,52,5
1771684942588000,1771684942588000,0.63824135,52,5
1771684942596000,1771684942596000,0.6398414,52,5
1771684942604000,1771684942604000,0.6414414,52,5
1771684942612000,1771684942612000,0.64304143,52,5
1771684942620000,1771684942620000,0.64464146,52,5
1771684942628000,1771684942628000,0.6462415,52,5
1771684942636000,1771684942636000,0.6478415,52,5
1771684942644000,1771684942644000,0.64944154,52,5
1771684942652000,1771684942652000,0.65104157,52,5
1771684942660000,1771684942660000,0.6526416,52,5
1771684942668000,1771684942668000,0.6542416,52,5
1771684942676000,1771684942676000,0.65584165,52,5
1771684942684000,1771684942684000,0.6574417,52,5
1771684942692000,1771684942692000,0.6590417,52,5
1771684942700000,1771684942700000,0.66064173,52,5
1771684942708000,1771684942708000,0.66224176,52,5
1771684942716000,1771684942716000,0.6638418,52,5
1771684942724000,1771684942724000,0.6654418,52,5
1771684942732000,1771684942732000,0.66704184,52,5
1771684942740000,1771684942740000,0.66864187,52,5
1771684942748000,1771684942748000,0.6702419,52,5
1771684942756000,1771684942756000,0.6718419,52,5
1771684942764000,1771684942764000,0.67344195,52,5
1771684942772000,1771684942772000,0.675042,52,5
1771684942780000,1771684942780000,0.676642,52,5
1771684942788000,1771684942788000,0.678242,52,5
1771684942796000,1771684942796000,0.67984205,52,5
1771684942804000,1771684942804000,0.6814421,52,5
1771684942812000,1771684942812000,0.6830421,52,5
1771684942820000,1771684942820000,0.68464214,52,5
1771684942828000,1771684942828000,0.68624216,52,5
1771684942836000,1771684942836000,0.6878422,52,5
1771684942844000,1771684942844000,0.6894422,52,5
1771684942852000,1771684942852000,0.69104224,52,5
1771684942860000,1771684942860000,0.6926423,52,5
1771684942868000,1771684942868000,0.6942423,52,5
1771684942876000,1771684942876000,0.6958423,52,5
1771684942884000,1771684942884000,0.69744235,52,5
1771684942892000,1771684942892000,0.6990424,52,5
1771684942900000,1771684942900000,0.7006424,52,5
1771684942908000,1771684942908000,0.70224243,52,5
1771684942916000,1771684942916000,0.70384246,52,5
1771684942924000,1771684942924000,0.7054425,52,5
1771684942932000,1771684942932000,0.7070425,52,5
1771684942940000,1771684942940000,0.70864254,52,5
1771684942948000,1771684942948000,0.71024257,52,5
1771684942956000,1771684942956000,0.7118426,52,5
1771684942964000,1771684942964000,0.7134426,52,5
1771684942972000,1771684942972000,0.71504265,52,5
1771684942980000,1771684942980000,0.7166427,52,5
1771684942988000,1771684942988000,0.7182427,52,5
1771684942996000,1771684942996000,0.71984273,52,5
1771684943004000,1771684943004000,0.72144276,52,5
1771684943012000,1771684943012000,0.7230428,52,5
1771684943020000,1771684943020000,0.7246428,52,5
1771684943028000,1771684943028000,0.72624284,52,5
1771684943036000,1771684943036000,0.72784287,52,5
1771684943044000,1771684943044000,0.7294429,52,5
1771684943052000,1771684943052000,0.7310429,52,5
1771684943060000,1771684943060000,0.73264295,52,5
1771684943068000,1771684943068000,0.734243,52,5
1771684943076000,1771684943076000,0.735843,52,5
1771684943084000,1771684943084000,0.73744303,52,5
1771684943092000,1771684943092000,0.73904306,52,5
1771684943100000,1771684943100000,0.7406431,52,5
1771684943108000,1771684943108000,0.7422431,52,5
1771684943116000,1771684943116000,0.74384314,52,5
1771684943124000,1771684943124000,0.74544317,52,5
1771684943132000,1771684943132000,0.7470432,52,5
1771684943140000,1771684943140000,0.7486432,52,5
1771684943148000,1771684943148000,0.75024325,52,5
1771684943156000,1771684943156000,0.7518433,52,5
1771684943164000,1771684943164000,0.7534433,52,5
1771684943172000,1771684943172000,0.7550433,52,5
1771684943180000,1771684943180000,0.75664335,52,5
1771684943188000,1771684943188000,0.7582434,52,5
1771684943196000,1771684943196000,0.7598434,52,5
1771684943204000,1771684943204000,0.76144344,52,5
1771684943212000,1771684943212000,0.76304346,52,5
1771684943220000,1771684943220000,0.7646435,52,5
1771684943228000,1771684943228000,0.7662435,52,5
1771684943236000,1771684943236000,0.76784354,52,5
1771684943244000,1771684943244000,0.7694436,52,5
1771684943252000,1771684943252000,0.7710436,52,5
1771684943260000,1771684943260000,0.7726436,52,5
1771684943268000,1771684943268000,0.77424365,52,5
1771684943276000,1771684943276000,0.7758437,52,5
1771684943284000,1771684943284000,0.7774437,52,5
