timestamp,pub_timestamp,duration,silence,frequency,publisher_id,tune_id,tune_override,volume
1771684919620000,1771684919620000,0,0,0,93,0,0,0
1771684927264000,1771684927264000,0,0,0,93,13,0,20
1771684928068000,1771684928068000,0,0,0,93,0,0,20
1771684928068000,1771684928068000,0,0,0,73,0,0,20
1771684928068000,1771684928068000,0,0,0,73,0,0,20
1771684928168000,1771684928168000,0,0,0,73,0,0,20
1771684928500000,1771684928500000,0,0,0,93,3,0,20
1771684929304000,1771684929304000,0,0,0,93,0,0,20
1771684935412000,1771684935412000,0,0,0,93,3,0,20
1771684936216000,1771684936216000,0,0,0,93,0,0,20
1771684936444000,1771684936444000,0,0,0,93,6,0,20
1771684939456000,1771684939456000,0,0,0,93,0,0,20
1771684939456000,1771684939456000,0,0,0,73,0,0,20
1771685118760000,1771685118760000,0,0,0,93,4,0,20
1771685119264000,1771685119264000,0,0,0,93,0,0,20
