timestamp,timestamp_sample,pub_timestamp,device_id,x,y,z,temperature,error_count,publisher_id
1771684925040000,1771684925040000,1771684925040000,197388,0.2183006,0.008280731,0.43467227,0.0,0,25
1771684925044000,1771684925044000,1771684925044000,197388,0.22109567,0.008352875,0.42537397,0.0,0,25
1771684925048000,1771684925048000,1771684925048000,197388,0.21719004,0.017222913,0.43353295,0.0,0,25
1771684925052000,1771684925052000,1771684925052000,197388,0.2152928,0.010074502,0.4370311,0.0,0,25
1771684925056000,1771684925056000,1771684925056000,197388,0.2144087,0.0078055994,0.4337435,0.0,0,25
1771684925060000,1771684925060000,1771684925060000,197388,0.2108986,0.013424144,0.4218752,0.0,0,25
1771684925064000,1771684925064000,1771684925064000,197388,0.20735915,0.011254808,0.43394125,0.0,0,25
1771684925068000,1771684925068000,1771684925068000,197388,0.21232097,0.015393488,0.4264045,0.0,0,25
1771684925072000,1771684925072000,1771684925072000,197388,0.2220389,0.014940464,0.43500736,0.0,0,25
1771684925076000,1771684925076000,1771684925076000,197388,0.2179735,0.011082975,0.42214614,0.0,0,25
1771684925080000,1771684925080000,1771684925080000,197388,0.20923433,0.006251802,0.42308024,0.0,0,25
1771684925084000,1771684925084000,1771684925084000,197388,0.20348135,0.007984348,0.43501484,0.0,0,25
1771684925088000,1771684925088000,1771684925088000,197388,0.21965766,0.010160703,0.42596462,0.0,0,25
1771684925092000,1771684925092000,1771684925092000,197388,0.21257187,0.005403357,0.43260205,0.0,0,25
1771684925096000,1771684925096000,1771684925096000,197388,0.21465321,0.02011505,0.43403563,0.0,0,25
1771684925100000,1771684925100000,1771684925100000,197388,0.20766035,0.01131372,0.43380502,0.0,0,25
1771684925104000,1771684925104000,1771684925104000,197388,0.20767495,0.012272032,0.42726824,0.0,0,25
1771684925108000,1771684925108000,1771684925108000,197388,0.21375549,0.00054730376,0.43683526,0.0,0,25
1771684925112000,1771684925112000,1771684925112000,197388,0.21329747,0.0062458673,0.4320471,0.0,0,25
1771684925116000,1771684925116000,1771684925116000,197388,0.21412067,0.01481813,0.42500818,0.0,0,25
1771684925120000,1771684925120000,1771684925120000,197388,0.21443625,0.015268166,0.43503076,0.0,0,25
1771684925124000,1771684925124000,1771684925124000,197388,0.20396979,0.010347941,0.43602294,0.0,0,25
1771684925128000,1771684925128000,1771684925128000,197388,0.21456768,0.0034873763,0.4369578,0.0,0,25
1771684925132000,1771684925132000,1771684925132000,197388,0.21949752,0.015755316,0.43335322,0.0,0,25
1771684925136000,1771684925136000,1771684925136000,197388,0.21653719,0.011389781,0.4422099,0.0,0,25
1771684925140000,1771684925140000,1771684925140000,197388,0.2103046,0.00497398,0.43533614,0.0,0,25
1771684925144000,1771684925144000,1771684925144000,197388,0.22294587,0.0050111027,0.4313142,0.0,0,25
1771684925148000,1771684925148000,1771684925148000,197388,0.2082349,-4.67804e-05,0.42434525,0.0,0,25
1771684925152000,1771684925152000,1771684925152000,197388,0.20940937,0.010306683,0.42343125,0.0,0,25
1771684925156000,1771684925156000,1771684925156000,197388,0.21389286,0.015485492,0.4340627,0.0,0,25
1771684925160000,1771684925160000,1771684925160000,197388,0.22016615,0.013435813,0.42189786,0.0,0,25
1771684925164000,1771684925164000,1771684925164000,197388,0.21453485,0.0130789885,0.41896334,0.0,0,25
1771684925168000,1771684925168000,1771684925168000,197388,0.2072715,0.008672992,0.42004275,0.0,0,25
1771684925172000,1771684925172000,1771684925172000,197388,0.20574363,0.0034635644,0.42410457,0.0,0,25
1771684925176000,1771684925176000,1771684925176000,197388,0.2168324,0.006272851,0.43883014,0.0,0,25
1771684925180000,1771684925180000,1771684925180000,197388,0.21193631,0.006945292,0.4352628,0.0,0,25
1771684925184000,1771684925184000,1771684925184000,197388,0.21416481,0.01577021,0.42619818,0.0,0,25
1771684925188000,1771684925188000,1771684925188000,197388,0.2190594,0.009183086,0.42736247,0.0,0,25
1771684925192000,1771684925192000,1771684925192000,197388,0.22276789,0.0037826237,0.43785718,0.0,0,25
1771684925196000,1771684925196000,1771684925196000,197388,0.21016882,0.004791953,0.4279271,0.0,0,25
1771684925200000,1771684925200000,1771684925200000,197388,0.20954917,0.018907292,0.43108892,0.0,0,25
1771684925204000,1771684925204000,1771684925204000,197388,0.21538478,0.010990045,0.4279766,0.0,0,25
1771684925208000,1771684925208000,1771684925208000,197388,0.21715198,0.0058201374,0.43353996,0.0,0,25
1771684925212000,1771684925212000,1771684925212000,197388,0.21717545,0.010535346,0.42650914,0.0,0,25
1771684925216000,1771684925216000,1771684925216000,197388,0.21952201,0.010650007,0.41978514,0.0,0,25
1771684925220000,1771684925220000,1771684925220000,197388,0.20816447,0.0071036867,0.42743185,0.0,0,25
1771684925224000,1771684925224000,1771684925224000,197388,0.22383827,0.006724955,0.43313816,0.0,0,25
1771684925228000,1771684925228000,1771684925228000,197388,0.22292964,0.012887,0.4350562,0.0,0,25
1771684925232000,1771684925232000,1771684925232000,197388,0.22037615,0.011243417,0.43450987,0.0,0,25
1771684925236000,1771684925236000,1771684925236000,197388,0.20867804,0.01779089,0.4335712,0.0,0,25
1771684925240000,1771684925240000,1771684925240000,197388,0.20350198,0.014584879,0.42588744,0.0,0,25
1771684925244000,1771684925244000,1771684925244000,197388,0.21213253,0.0014729756,0.43815428,0.0,0,25
1771684925248000,1771684925248000,1771684925248000,197388,0.21449815,0.009107102,0.43260804,0.0,0,25
1771684925252000,1771684925252000,1771684925252000,197388,0.21478239,0.0061331056,0.4310105,0.0,0,25
1771684925256000,1771684925256000,1771684925256000,197388,0.2217076,0.009496002,0.42635214,0.0,0,25
1771684925260000,1771684925260000,1771684925260000,197388,0.2148892,0.008686591,0.42670345,0.0,0,25
1771684925264000,1771684925264000,1771684925264000,197388,0.21849033,0.012262282,0.4333396,0.0,0,25
1771684925268000,1771684925268000,1771684925268000,197388,0.21553992,0.008138547,0.42935765,0.0,0,25
1771684925272000,1771684925272000,1771684925272000,197388,0.21594366,0.010206715,0.42905334,0.0,0,25
1771684925276000,1771684925276000,1771684925276000,197388,0.22257721,0.01212499,0.4343676,0.0,0,25
1771684925280000,1771684925280000,1771684925280000,197388,0.22682756,0.00452846,0.42712757,0.0,0,25
1771684925284000,1771684925284000,1771684925284000,197388,0.22584811,0.01292122,0.42928335,0.0,0,25
1771684925288000,1771684925288000,1771684925288000,197388,0.21542491,0.016861016,0.42612046,0.0,0,25
1771684925292000,1771684925292000,1771684925292000,197388,0.21038276,0.005682481,0.4291903,0.0,0,25
1771684925296000,1771684925296000,1771684925296000,197388,0.22298451,0.00990665,0.42546526,0.0,0,25
1771684925300000,1771684925300000,1771684925300000,197388,0.22817934,0.010386948,0.44052696,0.0,0,25
1771684925304000,1771684925304000,1771684925304000,197388,0.22068582,0.00966124,0.4204577,0.0,0,25
1771684925308000,1771684925308000,1771684925308000,197388,0.21823643,-0.0019401303,0.42631584,0.0,0,25
1771684925312000,1771684925312000,1771684925312000,197388,0.21821171,0.010032085,0.43466485,0.0,0,25
1771684925316000,1771684925316000,1771684925316000,197388,0.22297584,0.013723938,0.42159483,0.0,0,25
1771684925320000,1771684925320000,1771684925320000,197388,0.21753933,0.007919745,0.42143917,0.0,0,25
1771684925324000,1771684925324000,1771684925324000,197388,0.2143726,0.00911247,0.43063384,0.0,0,25
1771684925328000,1771684925328000,1771684925328000,197388,0.22903399,0.017027132,0.43513674,0.0,0,25
1771684925332000,1771684925332000,1771684925332000,197388,0.21368723,0.016700452,0.4422749,0.0,0,25
1771684925336000,1771684925336000,1771684925336000,197388,0.21004419,0.0093293935,0.42257598,0.0,0,25
1771684925340000,1771684925340000,1771684925340000,197388,0.20725307,0.00826935,0.42859095,0.0,0,25
1771684925344000,1771684925344000,1771684925344000,197388,0.22204803,0.010680591,0.43010837,0.0,0,25
1771684925348000,1771684925348000,1771684925348000,197388,0.21407238,0.007037267,0.43802625,0.0,0,25
1771684925352000,1771684925352000,1771684925352000,197388,0.21664682,0.0075229253,0.42977974,0.0,0,25
1771684925356000,1771684925356000,1771684925356000,197388,0.21148308,0.007850239,0.42599615,0.0,0,25
1771684925360000,1771684925360000,1771684925360000,197388,0.21855949,0.011069055,0.4177424,0.0,0,25
1771684925364000,1771684925364000,1771684925364000,197388,0.20825958,0.014113254,0.42616338,0.0,0,25
1771684925368000,1771684925368000,1771684925368000,197388,0.21363842,0.0053891116,0.43419066,0.0,0,25
1771684925372000,1771684925372000,1771684925372000,197388,0.21601425,0.015003078,0.4269677,0.0,0,25
1771684925376000,1771684925376000,1771684925376000,197388,0.21434194,0.00939948,0.43714184,0.0,0,25
1771684925380000,1771684925380000,1771684925380000,197388,0.21522665,0.012077729,0.43239996,0.0,0,25
1771684925384000,1771684925384000,1771684925384000,197388,0.21268559,0.010913831,0.4334936,0.0,0,25
1771684925388000,1771684925388000,1771684925388000,197388,0.21250626,0.010665817,0.4376652,0.0,0,25
1771684925392000,1771684925392000,1771684925392000,197388,0.2088122,0.014218429,0.42777753,0.0,0,25
1771684925396000,1771684925396000,1771684925396000,197388,0.212071,0.008433642,0.4284922,0.0,0,25
1771684925400000,1771684925400000,1771684925400000,197388,0.21142083,0.00805816,0.4215635,0.0,0,25
1771684925404000,1771684925404000,1771684925404000,197388,0.20748024,0.01181849,0.4306779,0.0,0,25
1771684925408000,1771684925408000,1771684925408000,197388,0.21763298,0.0069126845,0.42885572,0.0,0,25
1771684925412000,1771684925412000,1771684925412000,197388,0.20191754,0.011229285,0.42842278,0.0,0,25
1771684925416000,1771684925416000,1771684925416000,197388,0.21811509,0.011037366,0.4331094,0.0,0,25
