timestamp,pub_timestamp,publisher_id,led_mask,color,mode,num_blinks,priority
1771684923100000,1771684923100000,93,255,1,5,0,0
1771684927264000,1771684927264000,93,255,2,5,0,0
1771684927972000,1771684927972000,93,255,1,5,0,0
1771684928500000,1771684928500000,93,255,2,5,0,0
1771684929208000,1771684929208000,93,255,1,5,0,0
1771684929472000,1771684929472000,93,255,2,6,0,0
1771684929604000,1771684929604000,93,255,2,6,0,0
1771684935412000,1771684935412000,93,255,2,5,0,0
1771684936120000,1771684936120000,93,255,2,6,0,0
1771684936444000,1771684936444000,93,255,2,1,0,0
1771684936468000,1771684936468000,93,255,2,1,0,0
1771685003776000,1771685003776000,93,255,2,1,0,0
1771685003776000,1771685003776000,93,255,2,1,0,0
1771685003776000,1771685003776000,93,255,2,1,0,0
1771685026036000,1771685026036000,93,255,2,1,0,0
1771685026060000,1771685026060000,93,255,2,1,0,0
1771685026060000,1771685026060000,93,255,2,1,0,0
1771685026060000,1771685026060000,93,255,2,1,0,0
1771685026060000,1771685026060000,93,255,2,1,0,0
1771685026060000,1771685026060000,93,255,2,1,0,0
1771685026060000,1771685026060000,93,255,2,1,0,0
1771685116780000,1771685116780000,93,255,2,1,0,0
1771685118760000,1771685118760000,93,255,8,5,0,0
1771685119468000,1771685119468000,93,255,2,6,0,0
