timestamp,pub_timestamp,timestamp_sample,position[0],position[1],position[2],q[0],q[1],q[2],q[3],velocity[0],velocity[1],velocity[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],position_variance[0],position_variance[1],position_variance[2],orientation_variance[0],orientation_variance[1],orientation_variance[2],velocity_variance[0],velocity_variance[1],velocity_variance[2],publisher_id,pose_frame,velocity_frame,reset_counter,quality
1771684924908000,1771684924908000,1771684924908000,-0.010445806,0.002341408,0.010904886,0.99998033,-4.661283e-05,0.00047966806,0.00624242,-0.012795599,0.00025840913,0.008793422,-0.009740871,-0.0040448336,0.0034087626,0.00011157211,0.00011151375,0.1705264,0.00036082126,0.0003585004,0.037317455,0.001036275,0.0010336876,0.0064838636,160,1,1,7,0
1771684924916000,1771684924916000,1771684924916000,-0.010423677,0.0023339596,0.01094747,0.99998015,-6.568318e-05,0.00046669395,0.0062635387,-0.012899801,4.9435697e-05,0.008769075,-0.004680988,-0.001647851,0.006870822,0.00011597519,0.000115911156,0.17063926,0.00036084486,0.0003585179,0.03731752,0.001059678,0.0010569709,0.0065197623,160,1,1,7,0
1771684924924000,1771684924924000,1771684924924000,-0.010402206,0.0023266627,0.010990512,0.99998003,-8.066283e-05,0.00048530046,0.0062796893,-0.012655386,0.00023470639,0.008759622,-0.0036156604,0.0062084785,0.00567238,0.00012054278,0.00012047262,0.1707532,0.00036086052,0.0003585347,0.037317596,0.0010833439,0.0010805168,0.006555756,160,1,1,7,0
1771684924932000,1771684924932000,1771684924932000,-0.010381868,0.0023194323,0.011038271,0.9999798,-6.522791e-05,0.00050582347,0.006333495,-0.012881804,4.264716e-05,0.008900184,0.0039743264,0.006607813,0.015126682,0.00012527895,0.00012520218,0.16851765,0.00036090307,0.00035855285,0.037317637,0.0011072574,0.0011043294,0.0065876367,160,1,1,7,0
1771684924940000,1771684924940000,1771684924940000,-0.010363933,0.0023103012,0.01108763,0.99997944,-5.2801824e-05,0.0005104647,0.0063861418,-0.012839706,-0.00018340966,0.009185004,0.003175529,0.0026132609,0.014860298,0.00013018776,0.00013010392,0.16863215,0.000360972,0.00035857086,0.037317667,0.001131487,0.001128438,0.006623801,160,1,1,7,0
1771684924948000,1771684924948000,1771684924948000,-0.010345801,0.0022990091,0.011139938,0.9999793,-5.7173118e-05,0.0004831553,0.0063928757,-0.012604371,-0.0005448369,0.009278952,-0.0010855404,-0.0053763823,0.0034086776,0.0001352734,0.00013518198,0.16874775,0.00036106625,0.0003585898,0.037317667,0.0011560644,0.0011528876,0.006660059,160,1,1,7,0
1771684924956000,1771684924956000,1771684924956000,-0.010326412,0.0022849164,0.011192567,0.9999793,-4.5565626e-05,0.00046680294,0.0064063743,-0.012317981,-0.0007492481,0.009206071,0.002909223,-0.0027131066,0.0051398217,0.00014052547,0.00014042866,0.16886444,0.00036105927,0.0003586089,0.037238553,0.001180728,0.0011775121,0.0066964105,160,1,1,7,0
1771684924964000,1771684924964000,1771684924964000,-0.010309548,0.0022706238,0.011244594,0.99997944,6.017978e-06,0.00045251398,0.0064044665,-0.012817063,-0.0006015047,0.009082008,0.012896062,-0.0023136649,8.4823645e-05,0.00014597688,0.00014587159,0.16898224,0.00036106797,0.0003586269,0.037238646,0.001205912,0.0012025664,0.006732858,160,1,1,7,0
1771684924972000,1771684924972000,1771684924972000,-0.010293975,0.0022577578,0.011257884,0.9999794,4.5508066e-05,0.00042342444,0.0064103943,-0.012588631,-0.00040522905,0.008717804,0.009833376,-0.0060422057,0.0020821346,0.00014847727,0.00014837291,0.16790646,0.00036078444,0.00035834924,0.03723864,0.001194692,0.0011913388,0.0057896,160,1,1,7,0
1771684924980000,1771684924980000,1771684924980000,-0.010276634,0.0022459074,0.011266161,0.999979,6.0280192e-05,0.00043250146,0.0064545614,-0.012126054,-0.000340565,0.008778777,0.0037077037,0.0035402353,0.011669591,0.00015413872,0.00015402552,0.16573605,0.0003607965,0.00035836926,0.037238732,0.0012200145,0.001216498,0.005818718,160,1,1,7,0
1771684924988000,1771684924988000,1771684924988000,-0.010256884,0.0022349942,0.011276867,0.9999791,5.503974e-05,0.0004075515,0.0064611123,-0.011642574,-0.00014671539,0.008932356,-0.0013521358,-0.004981817,0.002215295,0.00015999311,0.00015987048,0.16583829,0.0003607487,0.00035839068,0.037238885,0.0012455342,0.0012418858,0.0058512585,160,1,1,7,0
1771684924996000,1771684924996000,1771684924996000,-0.010203935,0.0022170898,0.011289721,0.999979,3.8613634e-05,0.00038860663,0.006453509,-0.010738423,-0.00018492866,0.008914856,-0.004148476,-0.003517032,-0.0013799688,6.241232e-05,6.239356e-05,0.16594148,0.00035724373,0.00035463818,0.037238743,0.00071195303,0.0007097781,0.005883886,160,1,1,7,0
1771684925004000,1771684925004000,1771684925004000,-0.010147324,0.002198388,0.011305268,0.999979,4.088379e-05,0.000329133,0.006448204,-0.01045731,-0.00029800413,0.009311195,0.00062811456,-0.013165353,-0.0008474333,6.477806e-05,6.4756365e-05,0.16604564,0.00035729754,0.00035464033,0.03723877,0.00073072664,0.00072844943,0.0059165987,160,1,1,7,0
