timestamp,timestamp_sample,pub_timestamp,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_filtered[0],innovation_filtered[1],innovation_filtered[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],test_ratio_filtered[0],test_ratio_filtered[1],test_ratio_filtered[2],publisher_id,estimator_instance,innovation_rejected,fused
1771684924908000,1771684924756000,0,1771684924756000,0,-0.00010840476,0.00093544624,-0.9999996,1.0,1.0,1.0,0.0011106645,-0.00093276193,5.9604645e-08,0.001009308,-0.00022068896,-5.959918e-06,1.0003586,1.0003618,1.0,1.9730134e-05,1.3915684e-05,5.684342e-14,7.761749e-05,-5.829816e-06,-1.3830215e-09,0,0,0,1
1771684924916000,1771684924764000,0,1771684924764000,0,0.0010875288,0.0030496803,-0.99999475,1.0,1.0,1.0,-9.778573e-05,-0.0030848486,-4.7683716e-06,0.0009918734,-0.00026579385,-5.941153e-06,1.0003586,1.0003618,1.0,1.5293793e-07,0.0001522056,3.6379788e-10,7.639276e-05,-8.134946e-06,-1.3669708e-09,0,0,0,1
1771684924924000,1771684924772000,0,1771684924772000,0,-0.0005500886,-0.0001689281,-0.99999976,1.0,1.0,1.0,0.0015384012,0.00013183411,1.7881393e-07,0.0010004801,-0.00025953198,-5.844776e-06,1.0003586,1.0003618,1.0,3.7853282e-05,2.7798282e-07,5.1159077e-13,7.5785836e-05,-8.002459e-06,-1.3454357e-09,0,0,0,1
1771684924932000,1771684924780000,0,1771684924780000,0,-0.0013647204,-0.008539062,-0.99996257,1.0,1.0,1.0,0.0023201206,0.008479636,-3.7014484e-05,0.0010212619,-0.00012190729,-6.334699e-06,1.0003586,1.0003618,1.0,8.609648e-05,0.0011500516,2.185061e-08,7.5948206e-05,1.0234614e-05,-1.6683518e-09,0,0,0,1
1771684924940000,1771684924788000,0,1771684924788000,0,0.00014542551,-0.0045092083,-0.9999898,1.0,1.0,1.0,0.00074588886,0.0044414992,-9.834766e-06,0.0010169253,-5.0042618e-05,-6.3888792e-06,1.0003587,1.0003618,1.0,8.898412e-06,0.00031551652,1.5288606e-09,7.4892305e-05,1.5042203e-05,-1.6661551e-09,0,0,0,1
1771684924948000,1771684924796000,0,1771684924796000,0,0.00044118447,-0.0031046548,-0.9999951,1.0,1.0,1.0,0.00035784874,0.0030205753,-4.5895576e-06,0.0010065462,-1.6864324e-06,-6.3586663e-06,1.0003587,1.0003618,1.0,2.0481568e-06,0.00014592921,3.1974423e-10,7.3745156e-05,1.7103415e-05,-1.6449517e-09,0,0,0,1
1771684924956000,1771684924804000,0,1771684924804000,0,0.0033661355,-0.00041050737,-0.9999943,1.0,1.0,1.0,-0.0025431318,0.00031802166,-5.364418e-06,0.0009506458,3.348342e-06,-6.343009e-06,1.0003587,1.0003619,1.0,0.000103443206,1.6176198e-06,4.604317e-10,7.095479e-05,1.6859545e-05,-1.6262979e-09,0,0,0,1
1771684924964000,1771684924812000,0,1771684924812000,0,0.0005453122,-0.0017347714,-0.99999833,1.0,1.0,1.0,0.0002877884,0.0016742653,-1.3709068e-06,0.0009402071,2.9661995e-05,-6.264708e-06,1.0003587,1.0003619,1.0,1.3246794e-06,4.48344e-05,3.007017e-11,6.985825e-05,1.7300094e-05,-1.6011604e-09,0,0,0,1
1771684924972000,1771684924820000,0,1771684924820000,0,-0.0072303535,-0.0018244622,-0.9999721,1.0,1.0,1.0,0.008086387,0.0017390146,-2.7537346e-05,0.0010527454,5.6580928e-05,-6.5997106e-06,1.0003587,1.0003619,1.0,0.0010458593,4.8369224e-05,1.2132887e-08,8.522835e-05,1.778937e-05,-1.7670144e-09,0,0,0,1
1771684924980000,1771684924828000,0,1771684924828000,0,-0.0031691124,-0.00029569658,-0.99999493,1.0,1.0,1.0,0.0040146844,0.00018671066,-4.708767e-06,0.0010993901,5.8630212e-05,-6.569932e-06,1.0003585,1.0003617,1.0,0.00025779064,5.575713e-07,3.5475978e-10,8.794587e-05,1.7518003e-05,-1.7447742e-09,0,0,0,1
1771684924988000,1771684924836000,0,1771684924836000,0,0.0038976297,-0.0048618796,-0.99998057,1.0,1.0,1.0,-0.002979376,0.0047071273,-1.8954277e-05,0.0010351576,0.0001318349,-6.7649607e-06,1.0003585,1.0003617,1.0,0.00014197601,0.0003543846,5.748234e-09,8.432505e-05,2.282299e-05,-1.8078208e-09,0,0,0,1
1771684924996000,1771684924844000,0,1771684924844000,0,-0.00046253396,-0.00057468476,-0.99999976,1.0,1.0,1.0,0.0013430561,0.00044389692,1.1920929e-07,0.0010400064,0.00013674925,-6.6565485e-06,1.0003585,1.0003617,1.0,2.8850454e-05,3.151571e-06,2.2737368e-13,8.3451436e-05,2.2513203e-05,-1.7793476e-09,0,0,0,1
1771684925004000,1771684924852000,0,1771684924852000,0,0.00015368428,7.403667e-05,-0.99999994,1.0,1.0,1.0,0.00049281993,-0.00016029907,1.7881393e-07,0.0010313893,0.00013207132,-6.548905e-06,1.0003548,1.000358,1.0,3.8845656e-06,4.1098568e-07,5.1159077e-13,8.2198414e-05,2.2152191e-05,-1.7513183e-09,0,0,0,1
1771684925012000,1771684924860000,0,1771684924860000,0,-0.003312247,-0.0013849714,-0.9999935,1.0,1.0,1.0,0.0039587175,0.0013246546,-6.3180923e-06,0.001077489,0.00015085215,-6.54527e-06,1.0003548,1.000358,1.0,0.00025065418,2.8065304e-05,6.3869265e-10,8.485126e-05,2.224531e-05,-1.7337967e-09,0,0,0,1
1771684925020000,1771684924868000,0,1771684924868000,0,-0.0070538423,-0.0048873518,-0.9999631,1.0,1.0,1.0,0.0077110687,0.0047757053,-3.671646e-05,0.0011819549,0.00022368447,-7.020407e-06,1.0003545,1.0003577,1.0,0.0009510321,0.0003647872,2.1569576e-08,9.84919e-05,2.7639671e-05,-2.0461712e-09,0,0,0,1
1771684925028000,1771684924876000,0,1771684924876000,0,-0.004129812,-0.0026340075,-0.999988,1.0,1.0,1.0,0.0047151987,0.0025900465,-1.1861324e-05,0.0012375965,0.00026095,-7.0966416e-06,1.0003545,1.0003577,1.0,0.0003556035,0.00010729505,2.2510562e-09,0.0001025409,2.8894086e-05,-2.0493978e-09,0,0,0,1
1771684925036000,1771684924884000,0,1771684924884000,0,0.0016396448,0.0032611783,-0.9999933,1.0,1.0,1.0,-0.0010355543,-0.0032814373,-6.4969063e-06,0.0012017989,0.00020516438,-7.087197e-06,1.0003545,1.0003577,1.0,1.7151884e-05,0.00017222368,6.7535666e-10,0.000100655976,2.5726877e-05,-2.0277593e-09,0,0,0,1
1771684925044000,1771684924892000,0,1771684924892000,0,-0.001304695,-0.0002961059,-0.9999991,1.0,1.0,1.0,0.0018911727,0.000265393,-8.34465e-07,0.0012126552,0.00020611286,-6.9887287e-06,1.0003545,1.0003577,1.0,5.7204266e-05,1.1265316e-06,1.114131e-11,9.9971694e-05,2.533947e-05,-1.9960016e-09,0,0,0,1
1771684925052000,1771684924900000,0,1771684924900000,0,0.0007083293,-0.001251426,-0.9999989,1.0,1.0,1.0,-0.00014369847,0.001254747,-9.536743e-07,0.0011912953,0.00022262678,-6.8936884e-06,1.0003545,1.0003577,1.0,3.3027092e-07,2.5181234e-05,1.4551915e-11,9.8392135e-05,2.5336978e-05,-1.9647977e-09,0,0,0,1
1771684925060000,1771684924908000,0,1771684924908000,0,-0.00015750279,-0.00049031,-0.99999994,1.0,1.0,1.0,0.00068929244,0.0005710479,0.0,0.0011833898,0.00022811373,-6.7851265e-06,1.0003545,1.0003577,1.0,7.5992907e-06,5.2156643e-06,0.0,9.696233e-05,2.5020106e-05,-1.933856e-09,0,0,0,1
1771684925068000,1771684924916000,0,1771684924916000,0,-0.0024573703,-0.0024716225,-0.999994,1.0,1.0,1.0,0.0029752036,0.0025895287,-5.9604645e-06,0.0012116074,0.00026530138,-6.77214e-06,1.0003545,1.0003577,1.0,0.00014157919,0.00010725218,5.684342e-10,9.766495e-05,2.63151e-05,-1.9123532e-09,0,0,0,1
1771684925076000,1771684924924000,0,1771684924924000,0,0.0021442226,0.0025243526,-0.9999945,1.0,1.0,1.0,-0.0015783045,-0.0023785187,-5.364418e-06,0.0011676718,0.00022366641,-6.749971e-06,1.0003545,1.0003577,1.0,3.9842595e-05,9.048525e-05,4.604317e-10,9.549948e-05,2.4475725e-05,-1.8894883e-09,0,0,0,1
