timestamp,pub_timestamp,can_arm_mode_flags,can_run_mode_flags,health_is_present_flags,health_warning_flags,health_error_flags,arming_check_warning_flags,arming_check_error_flags,publisher_id
1771684923748000,1771684923748000,80768,80768,939661570,0,0,136,17956864,93
1771684925800000,1771684925800000,80768,80768,939662594,0,0,136,17956864,93
1771684927852000,1771684927852000,80768,80768,939662594,0,0,136,17956864,93
1771684929928000,1771684929928000,8338360,8338360,939662602,0,0,128,1048576,93
1771684934896000,1771684934896000,8338352,8338352,939662602,0,0,128,1048576,93
1771684936912000,1771684936912000,8338360,8338360,939662602,0,0,128,1048576,93
