timestamp,pub_timestamp,current_seq,land_start_index,land_index,mission_id,geofence_id,safe_points_id,count,mission_dataman_id,fence_dataman_id,safepoint_dataman_id,publisher_id
1771684922564000,0,1,1,1,1908733938,0,485274205,2,7,3,0,0
1771684934824000,0,0,-1,-1,0,0,485274205,0,6,3,0,0
1771684934848000,0,0,-1,-1,0,0,485274205,0,7,3,0,0
1771684935376000,0,0,-1,-1,0,0,1682734790,0,7,3,1,0
1771684935404000,0,0,1,1,3600267706,0,1682734790,2,6,3,1,0
1771685003764000,1771685003764000,1,1,1,3600267706,0,1682734790,2,6,3,1,96
