timestamp,pub_timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2],publisher_id,reset_integral
1771684924992000,1771684924992000,-0.00037599594,-0.003165103,2.5881454e-05,0.0,0.0,-0.001,53,0
1771684924996000,1771684924996000,-0.00032897518,-0.0031067943,4.270114e-05,0.0,0.0,-0.001,53,0
1771684925000000,1771684925000000,-0.00032160367,-0.0029242397,1.5059486e-06,0.0,0.0,-0.001,53,0
1771684925004000,1771684925004000,-0.00034404767,-0.0026309,2.979301e-05,0.0,0.0,-0.001,53,0
1771684925008000,1771684925008000,-0.00034097215,-0.0023510896,6.0589984e-05,0.0,0.0,-0.001,53,0
1771684925012000,1771684925012000,-0.0002696885,-0.0021266774,0.00018373877,0.0,0.0,-0.001,53,0
1771684925016000,1771684925016000,-0.0002606508,-0.0019066941,0.00018362794,0.0,0.0,-0.001,53,0
1771684925020000,1771684925020000,-0.00036676458,-0.0017378286,0.00023897644,0.0,0.0,-0.001,53,0
1771684925024000,1771684925024000,-0.00034524887,-0.0016547575,-8.621719e-05,0.0,0.0,-0.001,53,0
1771684925028000,1771684925028000,-0.00017461783,-0.0015716824,-0.00015759002,0.0,0.0,-0.001,53,0
1771684925032000,1771684925032000,-0.0001021109,-0.0015360995,-2.7211383e-05,0.0,0.0,-0.001,53,0
1771684925036000,1771684925036000,-0.00011480323,-0.0016411339,-4.5465305e-05,0.0,0.0,-0.001,53,0
1771684925040000,1771684925040000,-7.212302e-05,-0.0017894884,-3.6690384e-05,0.0,0.0,-0.001,53,0
1771684925044000,1771684925044000,-4.222639e-05,-0.0018185343,-8.233171e-05,0.0,0.0,-0.001,53,0
1771684925048000,1771684925048000,-0.00015301694,-0.0016777763,-3.708154e-05,0.0,0.0,-0.001,53,0
1771684925052000,1771684925052000,-0.0003404782,-0.0014816268,-3.8365833e-05,0.0,0.0,-0.001,53,0
1771684925056000,1771684925056000,-0.0004044138,-0.001405457,8.776225e-05,0.0,0.0,-0.001,53,0
1771684925060000,1771684925060000,-0.00037457154,-0.0014528682,0.00025303196,0.0,0.0,-0.001,53,0
1771684925064000,1771684925064000,-0.0003618117,-0.0014796094,0.00015590806,0.0,0.0,-0.001,53,0
1771684925068000,1771684925068000,-0.00043860945,-0.0014296313,0.00019249413,0.0,0.0,-0.001,53,0
1771684925072000,1771684925072000,-0.0006092628,-0.001431357,-4.736893e-05,0.0,0.0,-0.001,53,0
1771684925076000,1771684925076000,-0.00069471495,-0.0015396022,-9.479001e-05,0.0,0.0,-0.001,53,0
1771684925080000,1771684925080000,-0.000677928,-0.0015888271,-8.058455e-05,0.0,0.0,-0.001,53,0
1771684925084000,1771684925084000,-0.0006653826,-0.0015571008,-0.00014037266,0.0,0.0,-0.001,53,0
1771684925088000,1771684925088000,-0.0006742257,-0.0015258953,-2.740696e-05,0.0,0.0,-0.001,53,0
1771684925092000,1771684925092000,-0.0007000933,-0.0015500919,-4.594773e-05,0.0,0.0,-0.001,53,0
1771684925096000,1771684925096000,-0.000764408,-0.0016899055,-3.084261e-05,0.0,0.0,-0.001,53,0
1771684925100000,1771684925100000,-0.00082872604,-0.0018808505,-7.669255e-05,0.0,0.0,-0.001,53,0
1771684925104000,1771684925104000,-0.0008164296,-0.0020340648,2.530776e-05,0.0,0.0,-0.001,53,0
1771684925108000,1771684925108000,-0.0007529651,-0.002102072,9.222794e-05,0.0,0.0,-0.001,53,0
1771684925112000,1771684925112000,-0.0006980846,-0.0020854569,4.8620626e-05,0.0,0.0,-0.001,53,0
1771684925116000,1771684925116000,-0.0006219592,-0.0020816047,1.9564293e-05,0.0,0.0,-0.001,53,0
1771684925120000,1771684925120000,-0.00062681607,-0.0021292628,-0.00011256151,0.0,0.0,-0.001,53,0
1771684925124000,1771684925124000,-0.0008106104,-0.0020874469,-0.00017448794,0.0,0.0,-0.001,53,0
1771684925128000,1771684925128000,-0.0009943378,-0.0019865285,2.460368e-05,0.0,0.0,-0.001,53,0
1771684925132000,1771684925132000,-0.0011098654,-0.0019665784,4.3079257e-05,0.0,0.0,-0.001,53,0
1771684925136000,1771684925136000,-0.0011572079,-0.002049495,5.867332e-07,0.0,0.0,-0.001,53,0
1771684925140000,1771684925140000,-0.0011662084,-0.002132407,-1.994893e-06,0.0,0.0,-0.001,53,0
1771684925144000,1771684925144000,-0.0011921892,-0.0020753043,3.0353665e-05,0.0,0.0,-0.001,53,0
1771684925148000,1771684925148000,-0.0012692437,-0.001996931,0.00016190577,0.0,0.0,-0.001,53,0
1771684925152000,1771684925152000,-0.0014314986,-0.0019661007,0.00013760198,0.0,0.0,-0.001,53,0
1771684925156000,1771684925156000,-0.0015512037,-0.0019309719,0.00020937249,0.0,0.0,-0.001,53,0
1771684925160000,1771684925160000,-0.0015772482,-0.001973303,5.079806e-05,0.0,0.0,-0.001,53,0
1771684925164000,1771684925164000,-0.0015479646,-0.0020752358,3.5699457e-05,0.0,0.0,-0.001,53,0
1771684925168000,1771684925168000,-0.0014761238,-0.0020500307,-8.049328e-05,0.0,0.0,-0.001,53,0
1771684925172000,1771684925172000,-0.0014724545,-0.0018629103,-0.00014332589,0.0,0.0,-0.001,53,0
1771684925176000,1771684925176000,-0.0016264018,-0.0016851021,2.9401854e-06,0.0,0.0,-0.001,53,0
1771684925180000,1771684925180000,-0.0017462369,-0.0015286186,1.4596619e-05,0.0,0.0,-0.001,53,0
1771684925184000,1771684925184000,-0.0017213105,-0.0014406022,-6.889552e-05,0.0,0.0,-0.001,53,0
1771684925188000,1771684925188000,-0.0016836012,-0.0014846768,-0.00013804529,0.0,0.0,-0.001,53,0
1771684925192000,1771684925192000,-0.0016033178,-0.0015294132,-3.6084093e-05,0.0,0.0,-0.001,53,0
1771684925196000,1771684925196000,-0.0014974689,-0.0015784134,-0.00010519475,0.0,0.0,-0.001,53,0
1771684925200000,1771684925200000,-0.0014513463,-0.001666405,-2.7133152e-05,0.0,0.0,-0.001,53,0
1771684925204000,1771684925204000,-0.0014349878,-0.0017629741,5.2929856e-05,0.0,0.0,-0.001,53,0
1771684925208000,1771684925208000,-0.0015083626,-0.0018641704,0.00012221653,0.0,0.0,-0.001,53,0
1771684925212000,1771684925212000,-0.001637126,-0.0019440664,0.00026213285,0.0,0.0,-0.001,53,0
1771684925216000,1771684925216000,-0.0016981892,-0.001977767,0.00016293582,0.0,0.0,-0.001,53,0
1771684925220000,1771684925220000,-0.0017167145,-0.001947491,0.000259988,0.0,0.0,-0.001,53,0
1771684925224000,1771684925224000,-0.0017182104,-0.0019050008,1.0991469e-05,0.0,0.0,-0.001,53,0
