timestamp,pub_timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],publisher_id,calibration_count
1771684924668000,1771684924668000,1771684924668000,197388,0.2159191,0.022691311,0.4312026,126,0
1771684924800000,1771684924800000,1771684924736000,197388,0.21396783,0.0091611,0.4291968,126,0
1771684924804000,1771684924804000,1771684924804000,197388,0.2146514,0.006533909,0.4236259,126,0
1771684924936000,1771684924936000,1771684924872000,197388,0.21618976,0.008728365,0.42892593,126,0
1771684924940000,1771684924940000,1771684924940000,197388,0.20892332,0.01182907,0.43354478,126,0
1771684925072000,1771684925072000,1771684925008000,197388,0.21606977,0.010729275,0.42982408,126,0
1771684925076000,1771684925076000,1771684925076000,197388,0.2179735,0.011082968,0.42214614,126,0
1771684925208000,1771684925208000,1771684925144000,197388,0.21317078,0.009339575,0.43056905,126,0
1771684925212000,1771684925212000,1771684925212000,197388,0.21717545,0.010535339,0.42650914,126,0
1771684925344000,1771684925344000,1771684925280000,197388,0.21761538,0.009982301,0.42975253,126,0
1771684925348000,1771684925348000,1771684925348000,197388,0.21407238,0.0070372596,0.43802625,126,0
1771684925480000,1771684925480000,1771684925416000,197388,0.21432623,0.009308908,0.42973542,126,0
1771684925484000,1771684925484000,1771684925484000,197388,0.21154797,0.01093519,0.43361434,126,0
1771684925616000,1771684925616000,1771684925552000,197388,0.21578068,0.010117041,0.43033725,126,0
1771684925620000,1771684925620000,1771684925620000,197388,0.21411231,0.007461501,0.42584735,126,0
1771684925752000,1771684925752000,1771684925688000,197388,0.2156899,0.011144315,0.4282434,126,0
1771684925756000,1771684925756000,1771684925756000,197388,0.21544284,0.021523118,0.4300855,126,0
1771684925888000,1771684925888000,1771684925824000,197388,0.21463022,0.010550144,0.43061963,126,0
1771684925892000,1771684925892000,1771684925892000,197388,0.21309888,-0.00028594295,0.4319395,126,0
1771684926024000,1771684926024000,1771684925960000,197388,0.21616955,0.008394765,0.43081236,126,0
1771684926028000,1771684926028000,1771684926028000,197388,0.21586739,0.011586069,0.4350522,126,0
1771684926160000,1771684926160000,1771684926096000,197388,0.21601559,0.011944317,0.43015817,126,0
1771684926164000,1771684926164000,1771684926164000,197388,0.21236968,0.008595833,0.42652604,126,0
1771684926296000,1771684926296000,1771684926232000,197388,0.21478342,0.010091156,0.4302112,126,0
1771684926300000,1771684926300000,1771684926300000,197388,0.21568786,0.0052311723,0.4273901,126,0
1771684926432000,1771684926432000,1771684926368000,197388,0.21454705,0.009192824,0.42966428,126,0
1771684926436000,1771684926436000,1771684926436000,197388,0.22099844,0.00016921115,0.43237287,126,0
1771684926568000,1771684926568000,1771684926504000,197388,0.21441552,0.010273646,0.42925996,126,0
1771684926572000,1771684926572000,1771684926572000,197388,0.20631121,0.0064945016,0.42109442,126,0
1771684926704000,1771684926704000,1771684926640000,197388,0.2152424,0.009900236,0.4308138,126,0
1771684926708000,1771684926708000,1771684926708000,197388,0.22049114,0.010691645,0.42633945,126,0
1771684926840000,1771684926840000,1771684926776000,197388,0.21360478,0.009923874,0.42876714,126,0
1771684926844000,1771684926844000,1771684926844000,197388,0.22101068,0.0048376694,0.43745282,126,0
1771684926976000,1771684926976000,1771684926912000,197388,0.2146876,0.010178907,0.4294275,126,0
1771684926980000,1771684926980000,1771684926980000,197388,0.2134921,0.017743703,0.43591225,126,0
1771684927112000,1771684927112000,1771684927048000,197388,0.21420556,0.010892105,0.42975065,126,0
1771684927116000,1771684927116000,1771684927116000,197388,0.22481006,0.006153454,0.43158868,126,0
1771684927248000,1771684927248000,1771684927184000,197388,0.21453041,0.009262127,0.42919314,126,0
1771684927252000,1771684927252000,1771684927252000,197388,0.22185984,0.016693983,0.42545685,126,0
1771684927384000,1771684927384000,1771684927320000,197388,0.2160102,0.010212926,0.42948252,126,0
1771684927388000,1771684927388000,1771684927388000,197388,0.20258445,0.010286931,0.42342332,126,0
1771684927520000,1771684927520000,1771684927456000,197388,0.21536903,0.009912635,0.4288222,126,0
1771684927524000,1771684927524000,1771684927524000,197388,0.21454088,0.008871791,0.42900738,126,0
1771684927656000,1771684927656000,1771684927592000,197388,0.21605116,0.010861032,0.42940453,126,0
1771684927660000,1771684927660000,1771684927660000,197388,0.2133815,0.011948538,0.42796144,126,0
1771684927792000,1771684927792000,1771684927728000,197388,0.21484943,0.007666651,0.42946973,126,0
1771684927796000,1771684927796000,1771684927796000,197388,0.21822925,0.008030246,0.43191633,126,0
1771684927928000,1771684927928000,1771684927864000,197388,0.21340008,0.010133974,0.42905647,126,0
1771684927932000,1771684927932000,1771684927932000,197388,0.2140782,0.015475335,0.42461908,126,0
1771684928064000,1771684928064000,1771684928000000,197388,0.2146003,0.009541917,0.42954484,126,0
1771684928068000,1771684928068000,1771684928068000,197388,0.21426377,0.0062972424,0.4218818,126,0
1771684928200000,1771684928200000,1771684928136000,197388,0.21426305,0.0095907105,0.42927164,126,0
1771684928204000,1771684928204000,1771684928204000,197388,0.2177344,0.014294672,0.4232102,126,0
