timestamp,pub_timestamp,position[0],position[1],position[2],velocity[0],velocity[1],velocity[2],acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],yaw,yawspeed,publisher_id
1771684925628000,1771684925628000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.013147126,nan,14
1771684925644000,1771684925644000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.01312244,nan,14
1771684925668000,1771684925668000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.013166391,nan,14
1771684925684000,1771684925684000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.013121455,nan,14
1771684925708000,1771684925708000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.013112101,nan,14
1771684925724000,1771684925724000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.013121903,nan,14
1771684925748000,1771684925748000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.013181981,nan,14
1771684925764000,1771684925764000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.013187668,nan,14
1771684925788000,1771684925788000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.013094412,nan,14
1771684925804000,1771684925804000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.013141105,nan,14
1771684925828000,1771684925828000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.013095311,nan,14
1771684925844000,1771684925844000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012974191,nan,14
1771684925868000,1771684925868000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012927476,nan,14
1771684925884000,1771684925884000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012894362,nan,14
1771684925908000,1771684925908000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012938613,nan,14
1771684925924000,1771684925924000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012805263,nan,14
1771684925948000,1771684925948000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012663205,nan,14
1771684925964000,1771684925964000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012657588,nan,14
1771684925988000,1771684925988000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012657867,nan,14
1771684926004000,1771684926004000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.0125991795,nan,14
1771684926028000,1771684926028000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012660543,nan,14
1771684926044000,1771684926044000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012778431,nan,14
1771684926068000,1771684926068000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012767349,nan,14
1771684926084000,1771684926084000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012670075,nan,14
1771684926108000,1771684926108000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012614398,nan,14
1771684926124000,1771684926124000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012697286,nan,14
1771684926148000,1771684926148000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012693841,nan,14
1771684926164000,1771684926164000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012570195,nan,14
1771684926188000,1771684926188000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012601053,nan,14
1771684926204000,1771684926204000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012666563,nan,14
1771684926228000,1771684926228000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.0127015915,nan,14
1771684926244000,1771684926244000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012815222,nan,14
1771684926268000,1771684926268000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012756257,nan,14
1771684926284000,1771684926284000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012776354,nan,14
1771684926308000,1771684926308000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.01286105,nan,14
1771684926324000,1771684926324000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.0129147805,nan,14
1771684926348000,1771684926348000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012947684,nan,14
1771684926364000,1771684926364000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012907954,nan,14
1771684926388000,1771684926388000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.01282614,nan,14
1771684926404000,1771684926404000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012777168,nan,14
1771684926428000,1771684926428000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012850011,nan,14
1771684926444000,1771684926444000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.0129376585,nan,14
1771684926468000,1771684926468000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.0129385,nan,14
1771684926484000,1771684926484000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.01295504,nan,14
1771684926508000,1771684926508000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012852562,nan,14
1771684926524000,1771684926524000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.01270701,nan,14
1771684926548000,1771684926548000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012679851,nan,14
1771684926564000,1771684926564000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012677163,nan,14
1771684926588000,1771684926588000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012793806,nan,14
1771684926604000,1771684926604000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012836539,nan,14
1771684926628000,1771684926628000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012891813,nan,14
1771684926644000,1771684926644000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012870466,nan,14
1771684926668000,1771684926668000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.0128772305,nan,14
1771684926684000,1771684926684000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012862142,nan,14
1771684926708000,1771684926708000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012803908,nan,14
1771684926724000,1771684926724000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.0127826175,nan,14
1771684926748000,1771684926748000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012746094,nan,14
1771684926764000,1771684926764000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012739006,nan,14
1771684926788000,1771684926788000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012648872,nan,14
1771684926804000,1771684926804000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.01268506,nan,14
1771684926828000,1771684926828000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012776543,nan,14
1771684926844000,1771684926844000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012806177,nan,14
1771684926868000,1771684926868000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012678249,nan,14
1771684926884000,1771684926884000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.01266077,nan,14
1771684926908000,1771684926908000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012625258,nan,14
1771684926924000,1771684926924000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012534368,nan,14
1771684926948000,1771684926948000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012536032,nan,14
1771684926964000,1771684926964000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012505644,nan,14
1771684926988000,1771684926988000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012483402,nan,14
1771684927004000,1771684927004000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012521276,nan,14
1771684927028000,1771684927028000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012645759,nan,14
1771684927044000,1771684927044000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012645056,nan,14
1771684927068000,1771684927068000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.0126847075,nan,14
1771684927084000,1771684927084000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012540966,nan,14
1771684927108000,1771684927108000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012473299,nan,14
1771684927124000,1771684927124000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012570751,nan,14
1771684927148000,1771684927148000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012665289,nan,14
1771684927164000,1771684927164000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012627804,nan,14
1771684927188000,1771684927188000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012643122,nan,14
1771684927204000,1771684927204000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012626162,nan,14
1771684927228000,1771684927228000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012566906,nan,14
1771684927244000,1771684927244000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.01259599,nan,14
1771684927268000,1771684927268000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012481993,nan,14
1771684927284000,1771684927284000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012491223,nan,14
1771684927308000,1771684927308000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012530669,nan,14
1771684927324000,1771684927324000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012546273,nan,14
1771684927348000,1771684927348000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.01249252,nan,14
1771684927364000,1771684927364000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012442778,nan,14
1771684927388000,1771684927388000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012347179,nan,14
1771684927404000,1771684927404000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012290102,nan,14
1771684927428000,1771684927428000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012305802,nan,14
1771684927444000,1771684927444000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012405577,nan,14
1771684927468000,1771684927468000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012304983,nan,14
1771684927484000,1771684927484000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012342865,nan,14
1771684927508000,1771684927508000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012436567,nan,14
1771684927524000,1771684927524000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012326662,nan,14
1771684927548000,1771684927548000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012283355,nan,14
1771684927564000,1771684927564000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012185893,nan,14
1771684927588000,1771684927588000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012167995,nan,14
1771684927604000,1771684927604000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012188505,nan,14
1771684927628000,1771684927628000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012238681,nan,14
1771684927644000,1771684927644000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012163748,nan,14
1771684927668000,1771684927668000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012333707,nan,14
1771684927684000,1771684927684000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012454788,nan,14
1771684927708000,1771684927708000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.01253285,nan,14
1771684927724000,1771684927724000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012427817,nan,14
1771684927748000,1771684927748000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012399209,nan,14
1771684927764000,1771684927764000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012337281,nan,14
1771684927788000,1771684927788000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012299066,nan,14
1771684927804000,1771684927804000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.01235105,nan,14
1771684927828000,1771684927828000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012651772,nan,14
1771684927844000,1771684927844000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012795316,nan,14
1771684927868000,1771684927868000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012887641,nan,14
1771684927884000,1771684927884000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012752836,nan,14
1771684927908000,1771684927908000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012883129,nan,14
1771684927924000,1771684927924000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.012965305,nan,14
1771684927948000,1771684927948000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.013006493,nan,14
1771684927964000,1771684927964000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.013162734,nan,14
1771684927988000,1771684927988000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.013159549,nan,14
